Candidate,n_tools,Gene_Name,Product,Tools
Inverse autotransporter beta-domain domain-containing protein,5,NA,Inverse autotransporter beta-domain domain-containing protein,"panaroo, peppen, pirate, ppanggolin, roary"
Outer membrane protein,5,NA,Outer membrane protein,"panaroo, peppen, pirate, ppanggolin, roary"
Outer membrane protein X,5,NA,Outer membrane protein X,"panaroo, peppen, pirate, ppanggolin, roary"
Porin,5,NA,Porin,"panaroo, peppen, pirate, ppanggolin, roary"
bcfC,5,bcfC,fimbrial usher BcfC,"panaroo, peppen, pirate, ppanggolin, roary"
chiP,5,chiP,chitoporin,"panaroo, peppen, pirate, ppanggolin, roary"
fimF,5,fimF,type I fimbriae adaptor protein FimF,"panaroo, peppen, pirate, ppanggolin, roary"
fimH,5,fimH,"type I fimbriae minor fimbrial subunit FimH, adhesin","panaroo, peppen, pirate, ppanggolin, roary"
flgB,5,flgB,flagellar basal body rod protein FlgB,"panaroo, peppen, pirate, ppanggolin, roary"
flgC,5,flgC,flagellar basal body rod protein FlgC,"panaroo, peppen, pirate, ppanggolin, roary"
flgE,5,flgE,flagellar hook protein FlgE,"panaroo, peppen, pirate, ppanggolin, roary"
flgF,5,flgF,Flagellar basal-body rod protein FlgF,"panaroo, peppen, pirate, ppanggolin, roary"
fliE,5,fliE,flagellar hook-basal body complex protein FliE,"panaroo, peppen, pirate, ppanggolin, roary"
hofQ,5,hofQ,DNA uptake porin HofQ,"panaroo, peppen, pirate, ppanggolin, roary"
lptD,5,lptD,LPS assembly protein LptD,"panaroo, peppen, pirate, ppanggolin, roary"
lptE,5,lptE,LPS assembly lipoprotein LptE,"panaroo, peppen, pirate, ppanggolin, roary"
misL,5,misL,putative autotransporter,"panaroo, peppen, pirate, ppanggolin, roary"
ompF,5,ompF,porin OmpF,"panaroo, peppen, pirate, ppanggolin, roary"
ompL,5,ompL,porin OmpL,"panaroo, peppen, pirate, ppanggolin, roary"
pagN,5,pagN,adhesin/invasin protein PagN,"panaroo, peppen, pirate, ppanggolin, roary"
pgtE,5,pgtE,omptin family outer membrane protease PgtE,"panaroo, peppen, pirate, ppanggolin, roary"
phoE,5,phoE,phosphoporin PhoE,"panaroo, peppen, pirate, ppanggolin, roary"
sinH,5,sinH,intimin-like inverse autotransporter SinH,"panaroo, peppen, pirate, ppanggolin, roary"
stbD,5,stbD,fimbrial usher protein StbD,"panaroo, peppen, pirate, ppanggolin, roary"
tolC,5,tolC,Outer membrane protein TolC,"panaroo, peppen, pirate, ppanggolin, roary"
tonB,5,tonB,TonB system transport protein TonB,"panaroo, peppen, pirate, ppanggolin, roary"
yaiW,5,yaiW,surface-exposed outer membrane lipoprotein YaiW,"panaroo, peppen, pirate, ppanggolin, roary"
Autotransporter domain-containing protein,4,NA,Autotransporter domain-containing protein,"panaroo, peppen, pirate, roary"
Outer membrane lipoprotein,4,NA,Outer membrane lipoprotein,"panaroo, peppen, ppanggolin, roary"
Type 1 fimbrial protein,4,NA,Type 1 fimbrial protein,"panaroo, peppen, ppanggolin, roary"
fimA,4,fimA,Pilin (type 1 fimbrial protein),"panaroo, peppen, ppanggolin, roary"
fimI,4,fimI,type 1 fimbrial protein subunit FimI,"panaroo, peppen, ppanggolin, roary"
pagC,4,pagC,virulence membrane protein PagC,"panaroo, peppen, ppanggolin, roary"
sadA,4,sadA,trimeric autotransporter adhesin SadA,"panaroo, peppen, pirate, ppanggolin"
siiE,4,siiE,non-fimbrial adhesin SiiE,"panaroo, peppen, pirate, ppanggolin"
slyB,4,slyB,outer membrane lipoprotein SlyB,"panaroo, peppen, ppanggolin, roary"
stdB,4,stdB,fimbrial outer membrane usher protein StdB,"panaroo, peppen, ppanggolin, roary"
Ail/Lom family outer membrane beta-barrel protein,3,NA,Ail/Lom family outer membrane beta-barrel protein,"peppen, pirate, roary"
Fimbrial usher protein,3,NA,Fimbrial usher protein,"peppen, pirate, roary"
Flagellar hook-associated protein 1,3,NA,Flagellar hook-associated protein 1,"peppen, pirate, roary"
Flagellar hook-associated protein 3,3,NA,Flagellar hook-associated protein 3,"peppen, pirate, roary"
Ion channel protein Tsx,3,NA,Ion channel protein Tsx,"peppen, pirate, roary"
Maltoporin,3,NA,Maltoporin,"peppen, pirate, roary"
Nucleoside-specific channel-forming protein Tsx,3,NA,Nucleoside-specific channel-forming protein Tsx,"peppen, pirate, roary"
Outer membrane porin C 2,3,NA,Outer membrane porin C 2,"peppen, pirate, roary"
Outer membrane protein W,3,NA,Outer membrane protein W,"peppen, pirate, roary"
Outer membrane protein beta-barrel domain-containing protein,3,NA,Outer membrane protein beta-barrel domain-containing protein,"peppen, pirate, roary"
Salt-induced outer membrane protein,3,NA,Salt-induced outer membrane protein,"peppen, pirate, roary"
fliB,3,fliB,flagellin lysine-N-methylase,"panaroo, pirate, ppanggolin"
ompA,3,ompA,OmpA family lipoprotein,"panaroo, peppen, ppanggolin"
ompS1,3,ompS1,porin OmpS1,"panaroo, pirate, ppanggolin"
ompS2,3,ompS2,porin OmpS2,"panaroo, pirate, ppanggolin"
ycfR,3,ycfR,Outer membrane protein YcfR,"peppen, pirate, roary"
yfaZ,3,yfaZ,Outer membrane protein YfaZ,"peppen, pirate, roary"
(pseudo) Putative outer membrane protein,2,NA,(pseudo) Putative outer membrane protein,"panaroo, ppanggolin"
(pseudo) cellulose synthase subunit BcsC-related outer membrane protein,2,NA,(pseudo) cellulose synthase subunit BcsC-related outer membrane protein,"panaroo, ppanggolin"
Autotransporter,2,NA,Autotransporter,"panaroo, ppanggolin"
Autotransporter domain-containing esterase,2,NA,Autotransporter domain-containing esterase,"peppen, pirate"
Flagellar L-ring protein,2,NA,Flagellar L-ring protein,"peppen, roary"
Flagellar P-ring protein,2,NA,Flagellar P-ring protein,"peppen, roary"
Glycoporin,2,NA,Glycoporin,"panaroo, ppanggolin"
N-acetylglucosamine-regulated outer membrane porin,2,NA,N-acetylglucosamine-regulated outer membrane porin,"panaroo, ppanggolin"
Outer membrane lipoprotein Blc,2,NA,Outer membrane lipoprotein Blc,"peppen, roary"
"Outer membrane pore protein N, non-specific",2,NA,"Outer membrane pore protein N, non-specific","peppen, roary"
Outer membrane porin protein C,2,NA,Outer membrane porin protein C,"peppen, roary"
Outer membrane protein C,2,NA,Outer membrane protein C,"panaroo, ppanggolin"
Outer membrane protein for export and assembly of type 1 fimbriae,2,NA,Outer membrane protein for export and assembly of type 1 fimbriae,"panaroo, ppanggolin"
bcsC,2,bcsC,cellulose synthase complex outer membrane protein BcsC,"panaroo, ppanggolin"
bigA,2,bigA,autotransporter adhesin BigA,"panaroo, pirate"
btuB,2,btuB,TonB-dependent vitamin B12 receptor BtuB,"panaroo, ppanggolin"
dolP,2,dolP,Outer membrane lipoprotein DolP,"peppen, roary"
exbD,2,exbD,TonB system transport protein ExbD,"panaroo, ppanggolin"
fepA,2,fepA,Outer membrane receptor for ferrienterochelin and colicins,"panaroo, ppanggolin"
fhuA,2,fhuA,ferrichrome porin FhuA,"panaroo, pirate"
fimD,2,fimD,fimbrial outer membrane usher protein,"panaroo, ppanggolin"
flgD,2,flgD,flagellar hook assembly protein FlgD,"panaroo, ppanggolin"
flgG,2,flgG,flagellar basal-body rod protein FlgG,"panaroo, ppanggolin"
flgH,2,flgH,flagellar basal body L-ring protein FlgH,"panaroo, ppanggolin"
flgI,2,flgI,Flagellar P-ring protein,"panaroo, ppanggolin"
flgK,2,flgK,flagellar hook-associated protein FlgK,"panaroo, ppanggolin"
flgL,2,flgL,flagellar hook-associated protein FlgL,"panaroo, ppanggolin"
fliF,2,fliF,flagellar basal-body MS-ring/collar protein FliF,"panaroo, ppanggolin"
fliK,2,fliK,flagellar hook length control protein FliK,"panaroo, ppanggolin"
fliL,2,fliL,flagellar basal body-associated protein FliL,"panaroo, ppanggolin"
glpF,2,glpF,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family),"panaroo, ppanggolin"
lamB,2,lamB,Maltoporin,"panaroo, ppanggolin"
lapB,2,lapB,lipopolysaccharide assembly protein LapB,"panaroo, ppanggolin"
lolA,2,lolA,outer membrane lipoprotein chaperone LolA,"panaroo, ppanggolin"
lolB,2,lolB,lipoprotein insertase outer membrane protein LolB,"panaroo, ppanggolin"
lpoA,2,lpoA,"Outer membrane lipoprotein LpoA, binds and activates PBP1a","panaroo, ppanggolin"
mdtQ,2,mdtQ,multidrug resistance outer membrane protein MdtQ,"panaroo, ppanggolin"
nodT,2,nodT,"RND efflux system, outer membrane lipoprotein, NodT family","peppen, roary"
ompC,2,ompC,Outer membrane porin OmpC/OmpF/PhoE,"panaroo, ppanggolin"
ompW,2,ompW,outer membrane protein OmpW,"panaroo, ppanggolin"
oprM,2,oprM,Outer membrane protein OprM,"panaroo, ppanggolin"
pqqU,2,pqqU,TonB-dependent receptor PqqU,"panaroo, ppanggolin"
putative outer membrane lipoprotein,2,NA,putative outer membrane lipoprotein,"panaroo, ppanggolin"
rcsF,2,rcsF,Outer membrane lipoprotein RcsF,"peppen, roary"
shdA,2,shdA,fibronectin-binding autotransporter adhesin ShdA,"panaroo, roary"
slp,2,slp,Starvation-inducible outer membrane lipoprotein Slp,"panaroo, ppanggolin"
stbC,2,stbC,Fimbrial outer membrane usher protein StbC,"panaroo, ppanggolin"
tsx,2,tsx,Nucleoside-specific channel-forming protein Tsx,"panaroo, ppanggolin"
type 1 fimbrial protein,2,NA,type 1 fimbrial protein,"panaroo, ppanggolin"
ydiY,2,ydiY,Putative salt-induced outer membrane protein YdiY,"panaroo, ppanggolin"
yhjY,2,yhjY,"Uncharacterized conserved protein YhjY, contains autotransporter beta-barrel domain","panaroo, ppanggolin"
Autotransporter outer membrane beta-barrel domain-containing protein,1,NA,Autotransporter outer membrane beta-barrel domain-containing protein,panaroo
Flagellin,1,NA,Flagellin,pirate
Major outer membrane lipoprotein Lpp,1,NA,Major outer membrane lipoprotein Lpp,ppanggolin
Outer membrane autotransporter barrel domain protein,1,NA,Outer membrane autotransporter barrel domain protein,roary
Outer membrane pore protein N%2C non-specific,1,NA,Outer membrane pore protein N%2C non-specific,pirate
Putative outer membrane protein,1,NA,Putative outer membrane protein,panaroo
Putative surface-exposed virulence protein,1,NA,Putative surface-exposed virulence protein,panaroo
Surface-exposed virulence protein,1,NA,Surface-exposed virulence protein,panaroo
autotransporter outer membrane beta-barrel domain-containing protein,1,NA,autotransporter outer membrane beta-barrel domain-containing protein,panaroo
autotransporter-associated beta strand repeat-containing protein,1,NA,autotransporter-associated beta strand repeat-containing protein,panaroo
ehaB,1,ehaB,autotransporter adhesin EhaB,panaroo
envY,1,envY,Porin thermoregulatory protein EnvY,ppanggolin
lpp2,1,lpp2,Major outer membrane lipoprotein Lpp 2,ppanggolin
ratB,1,ratB,putative outer membrane protein,ppanggolin
sfsB,1,sfsB,"putative transcriptional regulator, lambda repressor-like DNA-binding domain",panaroo
