Candidate,n_tools,Gene_Name,Product,Tools
Inverse autotransporter beta-domain domain-containing protein,5,NA,Inverse autotransporter beta-domain domain-containing protein,"panaroo, peppen, pirate, ppanggolin, roary"
Outer membrane protein,5,NA,Outer membrane protein,"panaroo, peppen, pirate, ppanggolin, roary"
Outer membrane protein X,5,NA,Outer membrane protein X,"panaroo, peppen, pirate, ppanggolin, roary"
Porin,5,NA,Porin,"panaroo, peppen, pirate, ppanggolin, roary"
bcfC,5,bcfC,fimbrial usher BcfC,"panaroo, peppen, pirate, ppanggolin, roary"
chiP,5,chiP,chitoporin,"panaroo, peppen, pirate, ppanggolin, roary"
fimF,5,fimF,type I fimbriae adaptor protein FimF,"panaroo, peppen, pirate, ppanggolin, roary"
fimH,5,fimH,"type I fimbriae minor fimbrial subunit FimH, adhesin","panaroo, peppen, pirate, ppanggolin, roary"
flgB,5,flgB,flagellar basal body rod protein FlgB,"panaroo, peppen, pirate, ppanggolin, roary"
flgC,5,flgC,flagellar basal body rod protein FlgC,"panaroo, peppen, pirate, ppanggolin, roary"
flgE,5,flgE,flagellar hook protein FlgE,"panaroo, peppen, pirate, ppanggolin, roary"
flgF,5,flgF,Flagellar basal-body rod protein FlgF,"panaroo, peppen, pirate, ppanggolin, roary"
fliE,5,fliE,flagellar hook-basal body complex protein FliE,"panaroo, peppen, pirate, ppanggolin, roary"
hofQ,5,hofQ,DNA uptake porin HofQ,"panaroo, peppen, pirate, ppanggolin, roary"
lptD,5,lptD,LPS assembly protein LptD,"panaroo, peppen, pirate, ppanggolin, roary"
lptE,5,lptE,LPS assembly lipoprotein LptE,"panaroo, peppen, pirate, ppanggolin, roary"
misL,5,misL,putative autotransporter,"panaroo, peppen, pirate, ppanggolin, roary"
ompF,5,ompF,porin OmpF,"panaroo, peppen, pirate, ppanggolin, roary"
ompL,5,ompL,porin OmpL,"panaroo, peppen, pirate, ppanggolin, roary"
pagN,5,pagN,adhesin/invasin protein PagN,"panaroo, peppen, pirate, ppanggolin, roary"
pgtE,5,pgtE,omptin family outer membrane protease PgtE,"panaroo, peppen, pirate, ppanggolin, roary"
phoE,5,phoE,phosphoporin PhoE,"panaroo, peppen, pirate, ppanggolin, roary"
sinH,5,sinH,intimin-like inverse autotransporter SinH,"panaroo, peppen, pirate, ppanggolin, roary"
stbD,5,stbD,fimbrial usher protein StbD,"panaroo, peppen, pirate, ppanggolin, roary"
tolC,5,tolC,Outer membrane protein TolC,"panaroo, peppen, pirate, ppanggolin, roary"
tonB,5,tonB,TonB system transport protein TonB,"panaroo, peppen, pirate, ppanggolin, roary"
yaiW,5,yaiW,surface-exposed outer membrane lipoprotein YaiW,"panaroo, peppen, pirate, ppanggolin, roary"
