module_id	nb_families	nb_genomes	partition	mean_number_of_occurrence
module_43	5	2	cloud	1.1
module_30	6	6	shell	1.028
module_37	6	5	shell	1.0
module_54	3	2	cloud	1.167
module_57	4	4	cloud	1.0
module_78	3	2	cloud	1.0
module_47	5	2	cloud	1.0
module_64	7	3	cloud	1.0
module_6	4	8	persistent	1.188
module_17	10	3	cloud	1.033
module_29	3	7	shell	0.952
module_35	5	6	shell	1.0
module_3	12	6	shell	1.028
module_19	3	3	cloud	1.0
module_42	5	6	shell	1.0
module_68	7	2	cloud	1.0
module_90	3	2	cloud	1.0
module_28	25	2	cloud	1.02
module_51	14	2	cloud	1.0
module_79	6	2	cloud	1.0
module_8	19	2	cloud	1.053
module_23	8	2	cloud	1.0
module_50	8	2	cloud	1.0
module_63	9	2	cloud	1.056
module_83	3	2	cloud	1.0
module_70	8	2	cloud	1.0
module_76	6	3	cloud	1.0
module_59	6	5	cloud	1.033
module_65	5	2	cloud	1.0
module_86	5	2	cloud	1.0
module_16	12	3	cloud	1.361
module_52	4	2	cloud	1.0
module_88	10	2	cloud	1.0
module_61	4	5	cloud	1.0
module_80	17	2	cloud	1.0
module_72	3	3	cloud	1.111
module_5	4	2	cloud	1.0
module_33	6	7	shell	0.952
module_46	3	2	cloud	1.0
module_85	7	2	cloud	1.0
module_2	7	3	cloud	1.0
module_69	12	3	cloud	1.0
module_87	15	2	cloud	1.0
module_12	3	2	cloud	1.0
module_36	3	4	cloud	1.0
module_82	4	2	cloud	1.0
module_10	4	3	cloud	1.0
module_21	4	6	cloud	1.0
module_40	5	3	cloud	1.0
module_74	5	2	cloud	1.0
module_4	8	7	shell	1.0
module_14	3	3	cloud	1.0
module_38	18	7	shell	0.865
module_89	5	2	cloud	1.0
module_11	3	2	cloud	1.0
module_27	3	2	cloud	1.0
module_34	3	3	cloud	1.222
module_71	3	3	cloud	1.0
module_81	6	2	cloud	1.0
module_67	8	2	cloud	1.0
module_31	4	5	shell	1.0
module_41	7	6	shell	1.0
module_84	3	3	cloud	1.0
module_0	3	9	persistent	2.704
module_58	3	3	cloud	1.0
module_55	5	4	cloud	1.5
module_22	3	4	cloud	1.0
module_39	18	5	shell	1.0
module_75	6	3	cloud	1.0
module_26	8	2	cloud	1.0
module_62	5	2	cloud	1.0
module_1	6	7	shell	1.0
module_9	4	3	cloud	1.0
module_18	4	2	cloud	1.0
module_45	29	2	cloud	1.0
module_13	17	6	shell	1.588
module_77	4	2	cloud	1.125
module_7	3	5	shell	1.267
module_25	4	2	cloud	1.0
module_49	22	2	cloud	1.023
module_56	20	4	cloud	1.25
module_20	3	2	cloud	1.0
module_32	4	5	cloud	1.05
module_48	4	2	cloud	1.0
module_66	6	2	cloud	1.083
module_15	3	7	shell	0.905
module_53	4	2	cloud	1.0
module_60	3	2	cloud	1.0
module_24	8	9	persistent	2.097
module_44	5	3	cloud	1.067
module_73	6	2	cloud	1.0
