"Gene","Non-unique Gene name","Annotation","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"rfbM","rfbM","mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase;mannose-1-phosphate guanylyltransferase RfbM","AJBGEP_11240","HFCAGB_11745","BEJGEH_10530","GEGEGB_04185","ODDLKH_12915","LNHIMF_11140","","IKCLMC_09600","PKJKAM_20385"
"group_3099",";pstS","Phosphate ABC transporter substrate-binding protein;ABC-type phosphate transport system periplasmic component","AJBGEP_18585","HFCAGB_18855","BEJGEH_17825","","ODDLKH_19895","LNHIMF_17880","ONMMKP_16595","IKCLMC_14310","PKJKAM_19215"
"group_3071",";tPR","Sel1 repeat family protein;TPR repeat","AJBGEP_02290","HFCAGB_02310","BEJGEH_02230","GEGEGB_12775","ODDLKH_04630","","ONMMKP_08605","IKCLMC_11000","PKJKAM_16535"
"group_3070","","Zinc-regulated secreted antivirulence protein C-terminal domain-containing protein","AJBGEP_08785","HFCAGB_08065","BEJGEH_07005","GEGEGB_08325","ODDLKH_10790","","ONMMKP_01855","IKCLMC_22505","PKJKAM_22585"
"group_3028","","DUF2094 domain-containing protein;Cytoplasmic protein","AJBGEP_01505","HFCAGB_01495","BEJGEH_01480","GEGEGB_13565","ODDLKH_03875","LNHIMF_01505","","IKCLMC_10195","PKJKAM_17355"
"group_3022","queA;","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase);Queuosine biosynthesis protein","AJBGEP_08160","","BEJGEH_07685","GEGEGB_07750","ODDLKH_10165","LNHIMF_08020","ONMMKP_02510","IKCLMC_23120","PKJKAM_23215"
"group_3016",";tPR","Putative periplasmic protein;Sel1 repeat family protein;TPR repeat","AJBGEP_02285","HFCAGB_02305","BEJGEH_02225","GEGEGB_12790;GEGEGB_12780;GEGEGB_12785","ODDLKH_04625","","ONMMKP_08610","IKCLMC_10995","PKJKAM_16540"
"group_3014","lysR","DNA-binding transcriptional regulator LysR family","AJBGEP_00160","HFCAGB_00165","BEJGEH_00165","GEGEGB_00175","ODDLKH_02540","LNHIMF_00160","","IKCLMC_15885","PKJKAM_10380"
"araC~~~sbmC","araC;sbmC;","AraC family transcriptional regulator;DNA gyrase inhibitor GyrI/SbmC;GyrI-like domain-containing protein","AJBGEP_16765","HFCAGB_17040","BEJGEH_15995","GEGEGB_16280","ODDLKH_18065","","ONMMKP_18320","IKCLMC_18395;IKCLMC_18400","PKJKAM_09495"
"sseJ","sseJ","SPI-2 type III secretion system effector SseJ","AJBGEP_08590","HFCAGB_08270","BEJGEH_07210","","ODDLKH_10595","LNHIMF_08460","ONMMKP_02055","IKCLMC_22705","PKJKAM_22785"
"group_2982","","Inner membrane protein","AJBGEP_04180","HFCAGB_04445","BEJGEH_04045","GEGEGB_10965","ODDLKH_06510","","ONMMKP_06535","IKCLMC_07010","PKJKAM_05435"
"group_2972",";ubiH","FAD-dependent monooxygenase;Monooxygenase;2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases","AJBGEP_08150","","BEJGEH_07695","GEGEGB_07735;GEGEGB_07740","ODDLKH_10155","LNHIMF_08010","ONMMKP_02520","IKCLMC_23130","PKJKAM_23225"
"group_2971","","DUF4427 domain-containing protein","AJBGEP_09385","","BEJGEH_06405","GEGEGB_05810","ODDLKH_11385","LNHIMF_09285","ONMMKP_01260","IKCLMC_21905","PKJKAM_21985"
"group_2962","","DUF1493 domain-containing protein","AJBGEP_13415","HFCAGB_13930","BEJGEH_12690","","ODDLKH_15085","LNHIMF_13230","ONMMKP_21685","IKCLMC_06360","PKJKAM_13805"
"group_2959","","Cytoplasmic protein;Transposase","AJBGEP_15365","HFCAGB_15585","BEJGEH_14500","GEGEGB_14750","ODDLKH_16675","LNHIMF_14725","ONMMKP_19830","","PKJKAM_12375"
"group_2948","","Phage protein","AJBGEP_05085","HFCAGB_05350","","GEGEGB_10065","ODDLKH_08360","LNHIMF_10945","ONMMKP_05610","IKCLMC_00970","PKJKAM_01340"
"lpp2","lpp2","Major outer membrane lipoprotein Lpp 2","AJBGEP_07285","1_refound_19","BEJGEH_08555","GEGEGB_06605","4_refound_62","","ONMMKP_03375","IKCLMC_24000","PKJKAM_04200"
"gatA","gatA","PTS galactitol transporter subunit IIA","","HFCAGB_17445","BEJGEH_16415","GEGEGB_16740","ODDLKH_18495","LNHIMF_16545","ONMMKP_17915","IKCLMC_17965","PKJKAM_08865"
"alkP~~~aslA","alkP;;aslA","Arylsulfatase A or related enzyme AlkP superfamily;Exported sulfatase;hypothetical protein","AJBGEP_00445","","BEJGEH_00440","GEGEGB_00445;GEGEGB_00455;GEGEGB_00450","ODDLKH_02815","LNHIMF_00435","ONMMKP_10490","IKCLMC_15615;IKCLMC_15610","PKJKAM_10105"
"group_2880","","Integrase catalytic domain-containing protein;Integrase;integrase core domain-containing protein;Transposase","AJBGEP_01585","HFCAGB_01585","","GEGEGB_13495","ODDLKH_03940","LNHIMF_01575","ONMMKP_09360","IKCLMC_10300","PKJKAM_17245"
"yceF","yceF","7-methyl-GTP pyrophosphatase","AJBGEP_05950","HFCAGB_10560","BEJGEH_09535","GEGEGB_09160","ODDLKH_07980","LNHIMF_06125","ONMMKP_04750","IKCLMC_04170",""
