#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000004.1:11267-13066|+   -            600 182107at2            -            492  6.4e-222  735.2   6.4   1   1  1.6e-222  7.4e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABFG01000004.1_13 # 11267 # 13066 # 1 # ID=47_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABFG01000008.1:136757-138580|- -            608 182107at2            -            492   2.7e-44  149.4   3.4   1   2   1.2e-41   5.4e-39  131.9   1.9     1   232     5   279     5   287 0.76 NZ_ABFG01000008.1_125 # 136757 # 138580 # -1 # ID=43_125;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFG01000008.1:136757-138580|- -            608 182107at2            -            492   2.7e-44  149.4   3.4   2   2   1.3e-06   0.00057   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABFG01000008.1_125 # 136757 # 138580 # -1 # ID=43_125;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFG01000002.1:448269-450383|+ -            705 182107at2            -            492   8.5e-33  111.5   0.1   1   4   4.4e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 182107at2            -            492   8.5e-33  111.5   0.1   2   4     0.045        20    1.4   0.0   118   160   246   291   239   305 0.76 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 182107at2            -            492   8.5e-33  111.5   0.1   3   4   1.9e-09   8.7e-07   25.7   0.0   157   314   312   491   295   504 0.69 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000002.1:448269-450383|+ -            705 182107at2            -            492   8.5e-33  111.5   0.1   4   4     0.024        11    2.3   0.0   322   351   612   641   601   691 0.71 NZ_ABFG01000002.1_398 # 448269 # 450383 # 1 # ID=49_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABFG01000007.1:115700-118378|+ -            893 182107at2            -            492   5.3e-26   89.0   0.6   1   2   2.3e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABFG01000007.1_108 # 115700 # 118378 # 1 # ID=44_108;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000007.1:115700-118378|+ -            893 182107at2            -            492   5.3e-26   89.0   0.6   2   2       1.2   5.3e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABFG01000007.1_108 # 115700 # 118378 # 1 # ID=44_108;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000006.1:197768-199357|- -            530 182107at2            -            492   1.5e-23   80.9   0.5   1   2   3.2e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABFG01000006.1_173 # 197768 # 199357 # -1 # ID=45_173;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABFG01000006.1:197768-199357|- -            530 182107at2            -            492   1.5e-23   80.9   0.5   2   2   6.3e-05     0.028   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABFG01000006.1_173 # 197768 # 199357 # -1 # ID=45_173;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.546
