#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000007.1:190449-190949|- -            167 984717at2            -            224   2.6e-33  113.4   2.2   1   1   1.8e-34   5.6e-32  109.0   2.2   110   221    27   156     8   162 0.84 NZ_ABEL01000007.1_158 # 190449 # 190949 # -1 # ID=42_158;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.517
NZ_ABEL01000007.1:117974-119446|- -            491 984717at2            -            224     5e-32  109.2   0.0   1   2     2e-17   6.4e-15   53.2   0.0     1   105     4   124     4   143 0.78 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000007.1:117974-119446|- -            491 984717at2            -            224     5e-32  109.2   0.0   2   2   1.7e-17   5.3e-15   53.5   0.2     2    88   205   300   204   337 0.72 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000026.1:22995-23273|+   -             93 984717at2            -            224   1.6e-30  104.3   0.1   1   1   5.4e-33   1.7e-30  104.2   0.1     1    76    10    92    10    93 0.83 NZ_ABEL01000026.1_23 # 22995 # 23273 # 1 # ID=23_23;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.513
NZ_ABEL01000003.1:444573-445976|+ -            468 984717at2            -            224   3.7e-13   47.5   0.0   1   1     2e-15   6.2e-13   46.7   0.0     2    84   232   320   231   364 0.86 NZ_ABEL01000003.1_394 # 444573 # 445976 # 1 # ID=46_394;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABEL01000020.1:3348-4628|-     -            427 984717at2            -            224   6.3e-08   30.4   0.4   1   1     5e-10   1.6e-07   29.1   0.4     2   105   200   309   199   330 0.77 NZ_ABEL01000020.1_5 # 3348 # 4628 # -1 # ID=29_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABEL01000003.1:61087-63405|+   -            773 984717at2            -            224   6.2e-07   27.1   0.1   1   1   3.1e-09   9.7e-07   26.5   0.1     2    90     6   103     5   139 0.75 NZ_ABEL01000003.1_58 # 61087 # 63405 # 1 # ID=46_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_ABEL01000006.1:190187-191359|- -            391 984717at2            -            224   1.6e-05   22.5   0.0   1   2   5.6e-06    0.0018   15.8   0.0     2    59   162   220   161   250 0.84 NZ_ABEL01000006.1_178 # 190187 # 191359 # -1 # ID=43_178;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEL01000006.1:190187-191359|- -            391 984717at2            -            224   1.6e-05   22.5   0.0   2   2     0.014       4.6    4.7   0.0    79   122   263   306   251   316 0.77 NZ_ABEL01000006.1_178 # 190187 # 191359 # -1 # ID=43_178;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABEL01000006.1:173579-176257|- -            893 984717at2            -            224   3.7e-05   21.3   0.1   1   3       5.6   1.8e+03   -3.8   0.5   159   199    84   124    82   128 0.84 NZ_ABEL01000006.1_164 # 173579 # 176257 # -1 # ID=43_164;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEL01000006.1:173579-176257|- -            893 984717at2            -            224   3.7e-05   21.3   0.1   2   3       3.2     1e+03   -3.0   0.1   129   145   348   364   316   379 0.53 NZ_ABEL01000006.1_164 # 173579 # 176257 # -1 # ID=43_164;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
