#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000009.1:199174-200973|- -            600 182107at2            -            492  6.3e-222  735.2   6.4   1   1  1.5e-222  7.2e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABEI01000009.1_178 # 199174 # 200973 # -1 # ID=45_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEI01000014.1:15795-17618|+   -            608 182107at2            -            492   4.4e-44  148.7   3.4   1   2   1.8e-41   8.7e-39  131.2   1.9     1   232     5   279     5   287 0.76 NZ_ABEI01000014.1_16 # 15795 # 17618 # 1 # ID=40_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEI01000014.1:15795-17618|+   -            608 182107at2            -            492   4.4e-44  148.7   3.4   2   2   1.1e-06   0.00055   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABEI01000014.1_16 # 15795 # 17618 # 1 # ID=40_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEI01000043.1:169-2283|-      -            705 182107at2            -            492   8.3e-33  111.5   0.1   1   4   3.9e-24   1.9e-21   74.0   0.0     2   134    11   168    10   201 0.79 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 182107at2            -            492   8.3e-33  111.5   0.1   2   4      0.04        20    1.4   0.0   118   160   246   291   239   305 0.76 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 182107at2            -            492   8.3e-33  111.5   0.1   3   4   1.8e-09   8.5e-07   25.7   0.0   157   314   312   491   295   504 0.69 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 182107at2            -            492   8.3e-33  111.5   0.1   4   4     0.021        10    2.3   0.0   322   351   612   641   601   691 0.71 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000008.1:174836-177514|- -            893 182107at2            -            492   5.2e-26   89.0   0.6   1   2     2e-28   9.9e-26   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABEI01000008.1_169 # 174836 # 177514 # -1 # ID=46_169;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABEI01000008.1:174836-177514|- -            893 182107at2            -            492   5.2e-26   89.0   0.6   2   2       1.1   5.2e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABEI01000008.1_169 # 174836 # 177514 # -1 # ID=46_169;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABEI01000003.1:2986-4575|+     -            530 182107at2            -            492   1.5e-23   80.9   0.5   1   2   2.9e-21   1.4e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABEI01000003.1_5 # 2986 # 4575 # 1 # ID=51_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEI01000003.1:2986-4575|+     -            530 182107at2            -            492   1.5e-23   80.9   0.5   2   2   5.7e-05     0.028   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABEI01000003.1_5 # 2986 # 4575 # 1 # ID=51_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEI01000011.1:107501-109351|- -            617 182107at2            -            492   1.9e-12   44.3   0.0   1   1   5.8e-15   2.8e-12   43.8   0.0     8   196     7   209     1   217 0.78 NZ_ABEI01000011.1_90 # 107501 # 109351 # -1 # ID=43_90;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.572
NZ_ABEI01000005.1:104173-105612|- -            480 182107at2            -            492   3.5e-11   40.1   0.1   1   2      0.14        70   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABEI01000005.1_111 # 104173 # 105612 # -1 # ID=49_111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEI01000005.1:104173-105612|- -            480 182107at2            -            492   3.5e-11   40.1   0.1   2   2   3.8e-13   1.9e-10   37.7   0.0    25   123    80   183    63   195 0.80 NZ_ABEI01000005.1_111 # 104173 # 105612 # -1 # ID=49_111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEI01000009.1:124075-125547|- -            491 182107at2            -            492   1.1e-09   35.2   0.0   1   2     0.033        16    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABEI01000009.1_113 # 124075 # 125547 # -1 # ID=45_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEI01000009.1:124075-125547|- -            491 182107at2            -            492   1.1e-09   35.2   0.0   2   2   3.4e-11   1.6e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABEI01000009.1_113 # 124075 # 125547 # -1 # ID=45_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEI01000009.1:196327-197232|- -            302 182107at2            -            492   0.00018   18.0   0.1   1   1   5.4e-07   0.00027   17.4   0.1     5   157    12   175     9   185 0.75 NZ_ABEI01000009.1_175 # 196327 # 197232 # -1 # ID=45_175;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000171275.1_ASM17127v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171275.1_ASM17127v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000171275.1_ASM17127v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:52:26 2026
# [ok]
