#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1252739-1253218|- -            160 1846503at2           -            110   5.3e-38  127.4   0.2   1   1   4.3e-39   3.9e-36  121.3   0.2     1   108     3   137     3   139 0.87 NZ_ABFH02000001.1_1126 # 1252739 # 1253218 # -1 # ID=5_1126;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABFH02000001.1:313728-314960|-   -            411 1846503at2           -            110   4.2e-06   24.7   0.1   1   3     2e-07   0.00019   19.4   0.0     2    37    66   101    65   138 0.88 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:313728-314960|-   -            411 1846503at2           -            110   4.2e-06   24.7   0.1   2   3     0.042        39    2.3   0.0     8    31   283   306   276   315 0.87 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:313728-314960|-   -            411 1846503at2           -            110   4.2e-06   24.7   0.1   3   3       3.1   2.9e+03   -3.8   0.0    47    61   369   383   367   385 0.82 NZ_ABFH02000001.1_276 # 313728 # 314960 # -1 # ID=5_276;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000002.1:1429890-1430540|+ -            217 1846503at2           -            110   0.00073   17.5   0.0   1   2   3.3e-06     0.003   15.5   0.0     2    28     8    34     7    44 0.81 NZ_ABFH02000002.1_1424 # 1429890 # 1430540 # 1 # ID=4_1424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544
NZ_ABFH02000002.1:1429890-1430540|+ -            217 1846503at2           -            110   0.00073   17.5   0.0   2   2      0.47   4.3e+02   -1.1   0.0    88   105   172   189   164   193 0.84 NZ_ABFH02000002.1_1424 # 1429890 # 1430540 # 1 # ID=4_1424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544
NZ_ABFH02000001.1:1797773-1799206|+ -            478 1846503at2           -            110    0.0027   15.6   0.0   1   1   7.3e-06    0.0068   14.4   0.0     3    39   343   379   341   386 0.88 NZ_ABFH02000001.1_1627 # 1797773 # 1799206 # 1 # ID=5_1627;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.573
NZ_ABFH02000001.1:229399-230367|-   -            323 1846503at2           -            110     0.011   13.6   0.0   1   2   3.1e-05     0.029   12.3   0.0    10    49   133   178   127   194 0.83 NZ_ABFH02000001.1_200 # 229399 # 230367 # -1 # ID=5_200;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:229399-230367|-   -            323 1846503at2           -            110     0.011   13.6   0.0   2   2         2   1.8e+03   -3.1   0.0    93   107   277   291   267   293 0.74 NZ_ABFH02000001.1_200 # 229399 # 230367 # -1 # ID=5_200;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     /output/GCF_000171535.2_ASM17153v2_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171535.2_ASM17153v2_genomic/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm /output/GCF_000171535.2_ASM17153v2_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:54:27 2026
# [ok]
