#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000016.3:55521-57320|-   -            600 182107at2            -            492  6.7e-222  735.2   6.4   1   1  1.3e-222  7.7e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABAO01000016.3_53 # 55521 # 57320 # -1 # ID=98_53;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABAO01000060.1:9147-10970|+    -            608 182107at2            -            492   3.2e-44  149.2   3.4   1   2   1.1e-41   6.6e-39  131.7   1.9     1   231     5   278     5   286 0.76 NZ_ABAO01000060.1_10 # 9147 # 10970 # 1 # ID=54_10;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAO01000060.1:9147-10970|+    -            608 182107at2            -            492   3.2e-44  149.2   3.4   2   2     1e-06   0.00059   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABAO01000060.1_10 # 9147 # 10970 # 1 # ID=54_10;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAO01000002.1:10863-13541|+   -            893 182107at2            -            492   5.6e-26   89.0   0.6   1   2   1.8e-28   1.1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABAO01000002.1_10 # 10863 # 13541 # 1 # ID=112_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABAO01000002.1:10863-13541|+   -            893 182107at2            -            492   5.6e-26   89.0   0.6   2   2      0.95   5.6e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABAO01000002.1_10 # 10863 # 13541 # 1 # ID=112_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABAO01000001.3:2746-4335|+     -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   2.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABAO01000001.3_5 # 2746 # 4335 # 1 # ID=113_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAO01000001.3:2746-4335|+     -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2     5e-05     0.029   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABAO01000001.3_5 # 2746 # 4335 # 1 # ID=113_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAO01000004.3:228567-230417|- -            617 182107at2            -            492   2.7e-12   43.9   0.0   1   1   6.6e-15   3.8e-12   43.4   0.0     8   196     7   209     1   217 0.78 NZ_ABAO01000004.3_195 # 228567 # 230417 # -1 # ID=110_195;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NZ_ABAO01000021.1:50465-51904|-   -            480 182107at2            -            492   4.7e-11   39.8   0.1   1   2      0.13        75   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABAO01000021.1_56 # 50465 # 51904 # -1 # ID=93_56;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABAO01000021.1:50465-51904|-   -            480 182107at2            -            492   4.7e-11   39.8   0.1   2   2   4.2e-13   2.5e-10   37.4   0.0    25   122    80   182    63   195 0.80 NZ_ABAO01000021.1_56 # 50465 # 51904 # -1 # ID=93_56;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_ABAO01000009.1:119015-120487|- -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2     0.029        17    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABAO01000009.1_99 # 119015 # 120487 # -1 # ID=105_99;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
