module_id	genome	completion
module_43	GCF_000020925.1	1.0
module_43	GCF_000022165.1	1.0
module_30	GCF_000170215.1	1.0
module_30	GCF_000020925.1	1.0
module_30	GCF_000020885.1	1.0
module_30	GCF_000171535.2	1.0
module_30	GCF_000022165.1	1.0
module_30	GCF_000171415.1	1.0
module_37	GCF_000170215.1	1.0
module_37	GCF_000020925.1	1.0
module_37	GCF_000171515.1	1.0
module_37	GCF_000022165.1	1.0
module_37	GCF_000171415.1	1.0
module_54	GCF_000020925.1	1.0
module_54	GCF_000007545.1	1.0
module_57	GCF_000020925.1	1.0
module_57	GCF_000007545.1	1.0
module_57	GCF_000020885.1	1.0
module_57	GCF_000171535.2	1.0
module_78	GCF_000007545.1	1.0
module_78	GCF_000171415.1	1.0
module_47	GCF_000020925.1	1.0
module_47	GCF_000007545.1	1.0
module_64	GCF_000020745.1	1.0
module_64	GCF_000170215.1	1.0
module_64	GCF_000020925.1	1.0
module_6	GCF_000020745.1	1.0
module_6	GCF_000170215.1	1.0
module_6	GCF_000020925.1	1.0
module_6	GCF_000007545.1	1.0
module_6	GCF_000022165.1	1.0
module_6	GCF_000171515.1	0.75
module_6	GCF_000171535.2	1.0
module_6	GCF_000171415.1	1.0
module_17	GCF_000020745.1	1.0
module_17	GCF_000020925.1	1.0
module_17	GCF_000022165.1	1.0
module_29	GCF_000020745.1	0.67
module_29	GCF_000170215.1	1.0
module_29	GCF_000020885.1	1.0
module_29	GCF_000171535.2	1.0
module_29	GCF_000171515.1	1.0
module_29	GCF_000022165.1	1.0
module_29	GCF_000171415.1	1.0
module_35	GCF_000170215.1	1.0
module_35	GCF_000020925.1	1.0
module_35	GCF_000171535.2	1.0
module_35	GCF_000171515.1	1.0
module_35	GCF_000022165.1	1.0
module_35	GCF_000171415.1	1.0
module_3	GCF_000020745.1	1.0
module_3	GCF_000170215.1	1.0
module_3	GCF_000007545.1	1.0
module_3	GCF_000022165.1	1.0
module_3	GCF_000171535.2	1.0
module_3	GCF_000171415.1	1.0
module_19	GCF_000020745.1	1.0
module_19	GCF_000020925.1	1.0
module_19	GCF_000022165.1	1.0
module_42	GCF_000170215.1	1.0
module_42	GCF_000020885.1	1.0
module_42	GCF_000171535.2	1.0
module_42	GCF_000171515.1	1.0
module_42	GCF_000022165.1	1.0
module_42	GCF_000171415.1	1.0
module_68	GCF_000020885.1	1.0
module_68	GCF_000007545.1	1.0
module_90	GCF_000171515.1	1.0
module_90	GCF_000171415.1	1.0
module_28	GCF_000022165.1	1.0
module_28	GCF_000170215.1	1.0
module_51	GCF_000020885.1	1.0
module_51	GCF_000020925.1	1.0
module_79	GCF_000020745.1	1.0
module_79	GCF_000170215.1	1.0
module_8	GCF_000020925.1	1.0
module_8	GCF_000022165.1	1.0
module_23	GCF_000022165.1	1.0
module_23	GCF_000170215.1	1.0
module_50	GCF_000020925.1	1.0
module_50	GCF_000171515.1	1.0
module_63	GCF_000020925.1	1.0
module_63	GCF_000171415.1	1.0
module_83	GCF_000020745.1	1.0
module_83	GCF_000171535.2	1.0
module_70	GCF_000020885.1	1.0
module_70	GCF_000007545.1	1.0
module_76	GCF_000020745.1	1.0
module_76	GCF_000171515.1	1.0
module_76	GCF_000007545.1	1.0
module_59	GCF_000020925.1	1.0
module_59	GCF_000007545.1	1.0
module_59	GCF_000020885.1	1.0
module_59	GCF_000171515.1	1.0
module_59	GCF_000171535.2	1.0
module_65	GCF_000020885.1	1.0
module_65	GCF_000171535.2	1.0
module_86	GCF_000171515.1	1.0
module_86	GCF_000171535.2	1.0
module_16	GCF_000020745.1	1.0
module_16	GCF_000020925.1	1.0
module_16	GCF_000022165.1	1.0
module_52	GCF_000020925.1	1.0
module_52	GCF_000007545.1	1.0
module_88	GCF_000171515.1	1.0
module_88	GCF_000171415.1	1.0
module_61	GCF_000020745.1	1.0
module_61	GCF_000020925.1	1.0
module_61	GCF_000007545.1	1.0
module_61	GCF_000171515.1	1.0
module_61	GCF_000171415.1	1.0
module_80	GCF_000020745.1	1.0
module_80	GCF_000171535.2	1.0
module_72	GCF_000020885.1	1.0
module_72	GCF_000020745.1	1.0
module_72	GCF_000007545.1	1.0
module_5	GCF_000020745.1	1.0
module_5	GCF_000022165.1	1.0
module_33	GCF_000170215.1	1.0
module_33	GCF_000020925.1	1.0
module_33	GCF_000020885.1	0.67
module_33	GCF_000171535.2	0.83
module_33	GCF_000171515.1	1.0
module_33	GCF_000022165.1	1.0
module_33	GCF_000171415.1	1.0
module_46	GCF_000020925.1	1.0
module_46	GCF_000022165.1	1.0
module_85	GCF_000171515.1	1.0
module_85	GCF_000171535.2	1.0
module_2	GCF_000171515.1	1.0
module_2	GCF_000170215.1	1.0
module_2	GCF_000022165.1	1.0
module_69	GCF_000020885.1	1.0
module_69	GCF_000171515.1	1.0
module_69	GCF_000171535.2	1.0
module_87	GCF_000171515.1	1.0
module_87	GCF_000171535.2	1.0
module_12	GCF_000022165.1	1.0
module_12	GCF_000171415.1	1.0
module_36	GCF_000170215.1	1.0
module_36	GCF_000007545.1	1.0
module_36	GCF_000020885.1	1.0
module_36	GCF_000022165.1	1.0
module_82	GCF_000020745.1	1.0
module_82	GCF_000171515.1	1.0
module_10	GCF_000170215.1	1.0
module_10	GCF_000022165.1	1.0
module_10	GCF_000171415.1	1.0
module_21	GCF_000020745.1	1.0
module_21	GCF_000170215.1	1.0
module_21	GCF_000020925.1	1.0
module_21	GCF_000007545.1	1.0
module_21	GCF_000020885.1	1.0
module_21	GCF_000022165.1	1.0
module_40	GCF_000007545.1	1.0
module_40	GCF_000170215.1	1.0
module_40	GCF_000022165.1	1.0
module_74	GCF_000020745.1	1.0
module_74	GCF_000007545.1	1.0
module_4	GCF_000020745.1	1.0
module_4	GCF_000170215.1	1.0
module_4	GCF_000020925.1	1.0
module_4	GCF_000171535.2	1.0
module_4	GCF_000171515.1	1.0
module_4	GCF_000022165.1	1.0
module_4	GCF_000171415.1	1.0
module_14	GCF_000170215.1	1.0
module_14	GCF_000022165.1	1.0
module_14	GCF_000171415.1	1.0
module_38	GCF_000170215.1	1.0
module_38	GCF_000020925.1	0.056
module_38	GCF_000020885.1	1.0
module_38	GCF_000171535.2	1.0
module_38	GCF_000171515.1	1.0
module_38	GCF_000022165.1	1.0
module_38	GCF_000171415.1	1.0
module_89	GCF_000171515.1	1.0
module_89	GCF_000171415.1	1.0
module_11	GCF_000022165.1	1.0
module_11	GCF_000171415.1	1.0
module_27	GCF_000022165.1	1.0
module_27	GCF_000171415.1	1.0
module_34	GCF_000170215.1	1.0
module_34	GCF_000020925.1	1.0
module_34	GCF_000022165.1	1.0
module_71	GCF_000020885.1	1.0
module_71	GCF_000020745.1	1.0
module_71	GCF_000007545.1	1.0
module_81	GCF_000020745.1	1.0
module_81	GCF_000171535.2	1.0
module_67	GCF_000020885.1	1.0
module_67	GCF_000020745.1	1.0
module_31	GCF_000170215.1	1.0
module_31	GCF_000007545.1	1.0
module_31	GCF_000171515.1	1.0
module_31	GCF_000022165.1	1.0
module_31	GCF_000171415.1	1.0
module_41	GCF_000020745.1	1.0
module_41	GCF_000170215.1	1.0
module_41	GCF_000020925.1	1.0
module_41	GCF_000171515.1	1.0
module_41	GCF_000022165.1	1.0
module_41	GCF_000171415.1	1.0
module_84	GCF_000171515.1	1.0
module_84	GCF_000171535.2	1.0
module_84	GCF_000171415.1	1.0
module_0	GCF_000020745.1	1.0
module_0	GCF_000170215.1	1.0
module_0	GCF_000020925.1	1.0
module_0	GCF_000007545.1	1.0
module_0	GCF_000020885.1	1.0
module_0	GCF_000171535.2	1.0
module_0	GCF_000171515.1	1.0
module_0	GCF_000022165.1	1.0
module_0	GCF_000171415.1	1.0
module_58	GCF_000020885.1	1.0
module_58	GCF_000171515.1	1.0
module_58	GCF_000020925.1	1.0
module_55	GCF_000020925.1	1.0
module_55	GCF_000007545.1	1.0
module_55	GCF_000020885.1	1.0
module_55	GCF_000171535.2	1.0
module_22	GCF_000020745.1	1.0
module_22	GCF_000170215.1	1.0
module_22	GCF_000020885.1	1.0
module_22	GCF_000022165.1	1.0
module_39	GCF_000170215.1	1.0
module_39	GCF_000020885.1	1.0
module_39	GCF_000171535.2	1.0
module_39	GCF_000171515.1	1.0
module_39	GCF_000022165.1	1.0
module_75	GCF_000020745.1	1.0
module_75	GCF_000007545.1	1.0
module_75	GCF_000171535.2	1.0
module_26	GCF_000022165.1	1.0
module_26	GCF_000171415.1	1.0
module_62	GCF_000020925.1	1.0
module_62	GCF_000007545.1	1.0
module_1	GCF_000170215.1	1.0
module_1	GCF_000020925.1	1.0
module_1	GCF_000020885.1	1.0
module_1	GCF_000171535.2	1.0
module_1	GCF_000171515.1	1.0
module_1	GCF_000022165.1	1.0
module_1	GCF_000171415.1	1.0
module_9	GCF_000020925.1	1.0
module_9	GCF_000022165.1	1.0
module_9	GCF_000171415.1	1.0
module_18	GCF_000020925.1	1.0
module_18	GCF_000022165.1	1.0
module_45	GCF_000020925.1	1.0
module_45	GCF_000022165.1	1.0
module_13	GCF_000020745.1	0.41
module_13	GCF_000170215.1	1.0
module_13	GCF_000171515.1	1.0
module_13	GCF_000022165.1	1.0
module_13	GCF_000171535.2	1.0
module_13	GCF_000171415.1	1.0
module_77	GCF_000020745.1	1.0
module_77	GCF_000007545.1	1.0
module_7	GCF_000170215.1	1.0
module_7	GCF_000020925.1	1.0
module_7	GCF_000171515.1	1.0
module_7	GCF_000022165.1	1.0
module_7	GCF_000171415.1	1.0
module_25	GCF_000022165.1	1.0
module_25	GCF_000171415.1	1.0
module_49	GCF_000020885.1	1.0
module_49	GCF_000020925.1	1.0
module_56	GCF_000020925.1	1.0
module_56	GCF_000007545.1	1.0
module_56	GCF_000020885.1	1.0
module_56	GCF_000171535.2	1.0
module_20	GCF_000020925.1	1.0
module_20	GCF_000022165.1	1.0
module_32	GCF_000170215.1	1.0
module_32	GCF_000020925.1	1.0
module_32	GCF_000020885.1	1.0
module_32	GCF_000022165.1	1.0
module_32	GCF_000171415.1	1.0
module_48	GCF_000020885.1	1.0
module_48	GCF_000020925.1	1.0
module_66	GCF_000020885.1	1.0
module_66	GCF_000171415.1	1.0
module_15	GCF_000020745.1	0.67
module_15	GCF_000170215.1	1.0
module_15	GCF_000020925.1	1.0
module_15	GCF_000171535.2	1.0
module_15	GCF_000171515.1	1.0
module_15	GCF_000022165.1	1.0
module_15	GCF_000171415.1	0.67
module_53	GCF_000020925.1	1.0
module_53	GCF_000020745.1	1.0
module_60	GCF_000020925.1	1.0
module_60	GCF_000007545.1	1.0
module_24	GCF_000020745.1	1.0
module_24	GCF_000170215.1	1.0
module_24	GCF_000020925.1	1.0
module_24	GCF_000007545.1	1.0
module_24	GCF_000020885.1	1.0
module_24	GCF_000171535.2	1.0
module_24	GCF_000171515.1	1.0
module_24	GCF_000022165.1	1.0
module_24	GCF_000171415.1	1.0
module_44	GCF_000007545.1	1.0
module_44	GCF_000020925.1	1.0
module_44	GCF_000022165.1	1.0
module_73	GCF_000020885.1	1.0
module_73	GCF_000020745.1	1.0
