#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000009.1:32938-33399|-   -            154 1827295at2           -             74   8.6e-25   84.5   0.8   1   1   1.8e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABFG01000009.1_39 # 32938 # 33399 # -1 # ID=42_39;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NZ_ABFG01000025.1:6916-8823|-     -            636 1827295at2           -             74   0.00026   18.9   0.1   1   2    0.0052       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABFG01000025.1_7 # 6916 # 8823 # -1 # ID=26_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABFG01000025.1:6916-8823|-     -            636 1827295at2           -             74   0.00026   18.9   0.1   2   2    0.0015      0.33    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABFG01000025.1_7 # 6916 # 8823 # -1 # ID=26_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABFG01000006.1:225989-226945|+ -            319 1827295at2           -             74    0.0005   18.0   0.1   1   2   6.3e-06    0.0014   16.5   0.1    10    31     6    27     3    34 0.88 NZ_ABFG01000006.1_200 # 225989 # 226945 # 1 # ID=45_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000006.1:225989-226945|+ -            319 1827295at2           -             74    0.0005   18.0   0.1   2   2         7   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABFG01000006.1_200 # 225989 # 226945 # 1 # ID=45_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFG01000003.1:424006-426645|- -            880 1827295at2           -             74   0.00064   17.6   0.1   1   2    0.0028      0.63    8.0   0.0    12    32   236   257   223   263 0.83 NZ_ABFG01000003.1_419 # 424006 # 426645 # -1 # ID=48_419;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABFG01000003.1:424006-426645|- -            880 1827295at2           -             74   0.00064   17.6   0.1   2   2    0.0066       1.5    6.9   0.0     8    32   606   635   595   641 0.78 NZ_ABFG01000003.1_419 # 424006 # 426645 # -1 # ID=48_419;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABFG01000002.1:408017-408538|+ -            174 1827295at2           -             74   0.00072   17.5   0.0   1   1   6.7e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABFG01000002.1_358 # 408017 # 408538 # 1 # ID=49_358;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFG01000005.1:353086-355659|+ -            858 1827295at2           -             74    0.0015   16.4   0.0   1   2     0.006       1.3    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABFG01000005.1_318 # 353086 # 355659 # 1 # ID=46_318;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABFG01000005.1:353086-355659|+ -            858 1827295at2           -             74    0.0015   16.4   0.0   2   2    0.0093       2.1    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABFG01000005.1_318 # 353086 # 355659 # 1 # ID=46_318;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABFG01000010.1:153257-154993|+ -            579 1827295at2           -             74    0.0021   16.0   0.7   1   2    0.0011      0.25    9.3   0.1     9    31    34    56    19    63 0.82 NZ_ABFG01000010.1_139 # 153257 # 154993 # 1 # ID=41_139;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFG01000010.1:153257-154993|+ -            579 1827295at2           -             74    0.0021   16.0   0.7   2   2     0.036       8.2    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABFG01000010.1_139 # 153257 # 154993 # 1 # ID=41_139;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFG01000010.1:14819-15502|-   -            228 1827295at2           -             74    0.0023   15.8   0.1   1   1     2e-05    0.0044   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABFG01000010.1_15 # 14819 # 15502 # -1 # ID=41_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABFG01000008.1:260627-262132|- -            502 1827295at2           -             74    0.0026   15.7   0.4   1   2    0.0046         1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABFG01000008.1_231 # 260627 # 262132 # -1 # ID=43_231;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
