#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:312191-313990|+   -            600 182107at2            -            492  6.6e-222  735.2   6.4   1   1  1.8e-222  7.6e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_004631.1_276 # 312191 # 313990 # 1 # ID=1_276;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NC_004631.1:3711782-3713605|- -            608 182107at2            -            492   3.2e-44  149.2   3.8   1   2   1.3e-41   5.5e-39  131.9   1.9     1   232     5   279     5   287 0.76 NC_004631.1_3595 # 3711782 # 3713605 # -1 # ID=1_3595;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:3711782-3713605|- -            608 182107at2            -            492   3.2e-44  149.2   3.8   2   2   1.3e-06   0.00053   16.5   0.0   260   350   340   424   309   430 0.79 NC_004631.1_3595 # 3711782 # 3713605 # -1 # ID=1_3595;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:4212478-4214592|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   2   4     0.049        21    1.4   0.0   118   160   246   291   239   305 0.76 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   3   4   2.1e-09     9e-07   25.7   0.0   157   314   312   491   295   504 0.69 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:4212478-4214592|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NC_004631.1_4056 # 4212478 # 4214592 # 1 # ID=1_4056;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_004631.1:3294916-3297594|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   1   2   2.5e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NC_004631.1_3198 # 3294916 # 3297594 # -1 # ID=1_3198;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:3294916-3297594|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   2   2       1.3   5.5e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NC_004631.1_3198 # 3294916 # 3297594 # -1 # ID=1_3198;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:4753377-4754966|+ -            530 182107at2            -            492   1.8e-23   80.8   0.5   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NC_004631.1_4596 # 4753377 # 4754966 # 1 # ID=1_4596;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_004631.1:4753377-4754966|+ -            530 182107at2            -            492   1.8e-23   80.8   0.5   2   2   7.3e-05     0.031   10.7   0.1   220   312   372   469   202   482 0.71 NC_004631.1_4596 # 4753377 # 4754966 # 1 # ID=1_4596;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_004631.1:3575081-3576265|- -            395 182107at2            -            492   6.2e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_004631.1_3466 # 3575081 # 3576265 # -1 # ID=1_3466;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_004631.1:4214664-4215848|+ -            395 182107at2            -            492   6.2e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NC_004631.1_4057 # 4214664 # 4215848 # 1 # ID=1_4057;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NC_004631.1:3960899-3962749|+ -            617 182107at2            -            492   2.1e-12   44.3   0.0   1   1   7.1e-15     3e-12   43.7   0.0     8   196     7   209     1   217 0.77 NC_004631.1_3828 # 3960899 # 3962749 # 1 # ID=1_3828;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.569
NC_004631.1:2908372-2909811|- -            480 182107at2            -            492     4e-11   40.0   0.1   1   2      0.17        74   -0.4   0.0     8    24    34    50    29    58 0.80 NC_004631.1_2824 # 2908372 # 2909811 # -1 # ID=1_2824;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:2908372-2909811|- -            480 182107at2            -            492     4e-11   40.0   0.1   2   2   5.1e-13   2.1e-10   37.6   0.0    25   122    80   182    63   195 0.81 NC_004631.1_2824 # 2908372 # 2909811 # -1 # ID=1_2824;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:387670-389142|+   -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2      0.04        17    1.7   0.0    66   152    73   159     5   173 0.68 NC_004631.1_343 # 387670 # 389142 # 1 # ID=1_343;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_004631.1:387670-389142|+   -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   4.1e-11   1.7e-08   31.3   0.1     5   158   206   375   203   388 0.73 NC_004631.1_343 # 387670 # 389142 # 1 # ID=1_343;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_004631.1:315932-316837|+   -            302 182107at2            -            492   0.00011   18.7   0.1   1   1     4e-07   0.00017   18.2   0.1     5   157    12   175     9   185 0.75 NC_004631.1_279 # 315932 # 316837 # 1 # ID=1_279;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.519
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000007545.1_ASM754v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000007545.1_ASM754v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000007545.1_ASM754v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:48:23 2026
# [ok]
