"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"Inner membrane protein",NA,148,"GEGEGB_02495","RefSeq:WP_000639889.1, SO:0001217, UniParc:UPI0000059B14, UniRef:UniRef100_A0A8E6XFM3, UniRef:UniRef50_S5MSM4, UniRef:UniRef90_S5MSM4"
"putative arabinose efflux permease AraJ, MFS family","araJ",99,"GEGEGB_01385","COG:COG2814, COG:G, RefSeq:WP_000807800.1, SO:0001217, UniParc:UPI0000059A58, UniRef:UniRef100_A0A725VJ50, UniRef:UniRef50_A0A085G5U1, UniRef:UniRef90_A0A0K0HDI9"
"Sugar phosphate permease","uhpC",87,"GEGEGB_00420","COG:COG2271, COG:G, RefSeq:WP_001136168.1, SO:0001217, UniParc:UPI00000599B0, UniRef:UniRef100_A0A725FXR8, UniRef:UniRef50_P31679, UniRef:UniRef90_A9MQG9"
"MFS transporter","ycaD",39,"GEGEGB_03510","RefSeq:WP_000477131.1, SO:0001217, UniParc:UPI000190B5AB, UniRef:UniRef100_UPI000190B5AB, UniRef:UniRef50_A0A4Z0PGZ8, UniRef:UniRef90_A0A4Z0PGZ8"
"Amino acid permease","lysP",36,"GEGEGB_02745","COG:COG0833, COG:E, SO:0001217, UniParc:UPI0000059B3F, UniRef:UniRef100_A0A3Z7WC53, UniRef:UniRef50_E5YLF7, UniRef:UniRef90_A0A379TVT1"
"Small-conductance mechanosensitive channel","mscS",36,"GEGEGB_06020","COG:COG0668, COG:M, RefSeq:WP_000456065.1, SO:0001217, UniParc:UPI0000059D84, UniRef:UniRef100_A0A5J0VN88, UniRef:UniRef50_C9Y0J6, UniRef:UniRef90_A0A2I5HHN3"
"Outer membrane protein",NA,31,"GEGEGB_00860","RefSeq:WP_000765363.1, SO:0001217, UniParc:UPI0000059A00, UniRef:UniRef100_A0A5I0S5B0, UniRef:UniRef50_A0A806Z0M5, UniRef:UniRef90_A0A3L2NSX4"
"Na+/melibiose symporter or related transporter","melB",30,"GEGEGB_00235","COG:COG2211, COG:G, RefSeq:WP_010989104.1, SO:0001217, UniParc:UPI000005998C, UniRef:UniRef100_A0A726A8Z1, UniRef:UniRef50_A0A0J1MXE3, UniRef:UniRef90_A0A0J1MXE3"
"Permease of the drug/metabolite transporter (DMT) superfamily","rhaT",29,"GEGEGB_16960","COG:COG0697, COG:GER, RefSeq:WP_000813052.1, SO:0001217, UniParc:UPI000005A4FF, UniRef:UniRef100_A0A6C7HUA2, UniRef:UniRef50_P0AA74, UniRef:UniRef90_E3G0W5"
"Serine transporter YbeC, amino acid:H+ symporter family","potE",27,"GEGEGB_02735","COG:COG0531, COG:E, RefSeq:WP_000072509.1, SO:0001217, UniParc:UPI0000059B3D, UniRef:UniRef100_A0A725K478, UniRef:UniRef50_A9MJ66, UniRef:UniRef90_A9MJ66"
"Uncharacterized membrane protein YccC","yccC",27,"GEGEGB_04335","COG:COG1289, COG:S, RefSeq:WP_001200856.1, SO:0001217, UniParc:UPI0000059C5F, UniRef:UniRef100_A0A725G659, UniRef:UniRef50_P33011, UniRef:UniRef90_A0A379S0Q8"
"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family","dedA",22,"GEGEGB_00570","COG:COG0586, COG:M, RefSeq:WP_001148375.1, SO:0001217, UniParc:UPI00000599CC, UniRef:UniRef100_A0A725FVK6, UniRef:UniRef50_P30149, UniRef:UniRef90_A0A5R1YXB8"
"Porin",NA,21,"GEGEGB_03055","SO:0001217, UniRef:UniRef50_P76471, UniRef:UniRef90_A9MJC9"
"Outer membrane porin OmpC/OmpF/PhoE","ompC",20,"GEGEGB_12380","COG:COG3203, COG:M, RefSeq:WP_000152873.1, SO:0001217, UniParc:UPI000005A1DB, UniRef:UniRef100_A0A725GD25, UniRef:UniRef50_A0A1X1D1Y9, UniRef:UniRef90_C0PVG1"
"ABC-type transport system involved in cytochrome c biogenesis, permease component","ccmC",19,"GEGEGB_03295","COG:COG0755, COG:O, SO:0001217, UniParc:UPI000005A6AA, UniRef:UniRef100_Q8Z2M1, UniRef:UniRef50_P45034, UniRef:UniRef90_A0A379WQS2"
"Transporter",NA,19,"GEGEGB_01130","SO:0001217, UniRef:UniRef50_A0A379WEF6, UniRef:UniRef90_A0A379WEF6"
"ABC transporter ATP-binding protein","yheS",18,"GEGEGB_09835","GO:0005524, RefSeq:WP_000053045.1, SO:0001217, UniParc:UPI000005A016, UniRef:UniRef100_A0A725JUG9, UniRef:UniRef50_P43672, UniRef:UniRef90_A0A1B7JDD0"
"ABC-type amino acid transport system, permease component","hisM",18,"GEGEGB_08105","COG:COG0765, COG:E, SO:0001217, UniRef:UniRef50_A0A2I5HGJ5, UniRef:UniRef90_A0A6X8CNR7"
"ABC-type dipeptide/oligopeptide/nickel transport system, permease component","dppB",18,"GEGEGB_06000","COG:COG0601, COG:EP, RefSeq:WP_001520270.1, SO:0001217, UniParc:UPI00000CD029, UniRef:UniRef100_Q8Z6C5, UniRef:UniRef50_A0A383PBH0, UniRef:UniRef90_A0A2I5HIF2"
"ABC-type proline/glycine betaine transport system, permease component","opuBB",18,"GEGEGB_03695","COG:COG1174, COG:E, RefSeq:WP_001278102.1, SO:0001217, UniParc:UPI0000059BED, UniRef:UniRef100_A0A725K1T9, UniRef:UniRef50_P33361, UniRef:UniRef90_A0A3Y9LNP0"
"EamA family transporter RarD","rarD",18,"GEGEGB_15210","COG:COG2962, COG:R, GO:0005215, GO:0005886, GO:0006810, SO:0001217, UniParc:UPI000005A3D2, UniRef:UniRef100_A0A455S0Y2, UniRef:UniRef50_C0PXH5, UniRef:UniRef90_C0PXH5"
"Ferritin-like metal-binding protein YciE","yciE",18,"GEGEGB_08680","COG:COG3685, COG:P, RefSeq:WP_001022822.1, SO:0001217, UniParc:UPI0000059F4C, UniRef:UniRef100_A0A3Z3HUK5, UniRef:UniRef50_P21362, UniRef:UniRef90_A0A7U6BDR4"
"Integral membrane protein YbhL, putative Ca2+ regulator, Bax inhibitor (BI-1)/TMBIM family","ybhL",18,"GEGEGB_10975","COG:COG0670, COG:P, SO:0001217, UniParc:UPI0001912D67, UniRef:UniRef100_A0A655BNG7, UniRef:UniRef50_P0AAC5, UniRef:UniRef90_G9Z590"
"L-fucose:H+ symporter permease","fucP",18,"GEGEGB_15145","COG:COG0738, COG:G, GO:0005886, GO:0006004, GO:0015150, GO:0015517, GO:0015518, GO:0015535, GO:0015751, GO:0015756, GO:0015757, GO:0016020, RefSeq:WP_000528619.1, SO:0001217, UniParc:UPI000005A3C7, UniRef:UniRef100_A0A3U8Y0N5, UniRef:UniRef50_P11551, UniRef:UniRef90_P11551"
"LPS export ABC transporter ATP-binding protein","lptB",18,"GEGEGB_10930","COG:COG1131, COG:V, EC:7.5.2.5, GO:0005524, GO:0009898, GO:0015221, GO:0015920, GO:0016887, GO:0042626, GO:0043190, RefSeq:WP_001287626.1, SO:0001217, UniParc:UPI000005A0E1, UniRef:UniRef100_A0A725K2F6, UniRef:UniRef50_P0A9U1, UniRef:UniRef90_P0A9U1"
"Opacity protein LomR and related surface antigens","lomR",18,"GEGEGB_13255","COG:COG3637, COG:M, RefSeq:WP_000830239.1, SO:0001217, UniParc:UPI000005A278, UniRef:UniRef100_A0A5U9HXT3, UniRef:UniRef50_A0A6N2XZW8, UniRef:UniRef90_A0A447R8K3"
"Outer membrane lipoprotein",NA,18,"GEGEGB_05055","RefSeq:WP_000803230.1, SO:0001217, UniParc:UPI0000059CD2, UniRef:UniRef100_A0A725FW51, UniRef:UniRef50_P76308, UniRef:UniRef90_A0A3V9NLG3"
"Outer membrane receptor for ferrienterochelin and colicins","fepA",18,"GEGEGB_12035","COG:COG4771, COG:P, RefSeq:WP_001034967.1, SO:0001217, UniParc:UPI000005A1A0, UniRef:UniRef100_A0A725G4E0, UniRef:UniRef50_P05825, UniRef:UniRef90_A0A379SBE6"
"PTS ascorbate transporter subunit IIC","ulaA",18,"GEGEGB_02820","COG:COG3037, COG:G, RefSeq:WP_001681684.1, SO:0001217, UniParc:UPI0000059B4E, UniRef:UniRef100_A0A3U6YC01, UniRef:UniRef50_Q93SD8, UniRef:UniRef90_A0A3U6YC01"
"PTS glucose transporter subunit IIBC","ptsG",18,"GEGEGB_09085","COG:COG1264, COG:G, EC:2.7.1.199, GO:0005355, GO:0005886, GO:0008982, GO:0009401, GO:0016301, GO:0016310, GO:0090564, GO:1904659, RefSeq:WP_000475735.1, SO:0001217, UniParc:UPI0000059F94, UniRef:UniRef100_A0A725VI24, UniRef:UniRef50_P37439, UniRef:UniRef90_P37439"
"Pilin (type 1 fimbrial protein)","fimA",18,"GEGEGB_13290","COG:COG3539, COG:N, RefSeq:WP_000062036.1, SO:0001217, UniParc:UPI000005A27E, UniRef:UniRef100_A0A725VKY6, UniRef:UniRef50_A0A344R594, UniRef:UniRef90_A0A344R594"
"Sensor histidine kinase DipB regulating citrate/malate metabolism","citA",18,"GEGEGB_00290","COG:COG3290, COG:T, SO:0001217, UniRef:UniRef50_P52687, UniRef:UniRef90_A0A0T9Y0C6"
"Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family","yeaQ",18,"GEGEGB_05735","COG:COG2261, COG:R, RefSeq:WP_000511323.1, SO:0001217, UniParc:UPI0000059D50, UniRef:UniRef100_A0A3V7PAZ7, UniRef:UniRef50_A0A090V055, UniRef:UniRef90_A0A3V7PAZ7"
"citrate lyase subunit alpha","citF",18,"GEGEGB_00330","COG:C, COG:COG3051, EC:2.8.3.10, EC:4.1.3.6, GO:0005737, GO:0006084, GO:0006113, GO:0008814, GO:0008815, GO:0009346, RefSeq:WP_000665586.1, SO:0001217, UniParc:UPI000005999F, UniRef:UniRef100_A0A726AB57, UniRef:UniRef50_P45413, UniRef:UniRef90_P45413"
"fimbrial outer membrane usher protein","fimD",18,"GEGEGB_13305","COG:COG3188, COG:NW, KEGG:K07347, SO:0001217, UniRef:UniRef50_A0A514EPK1, UniRef:UniRef90_A0A447NZW9"
"fimbrial protein","fimA",18,"GEGEGB_15475","RefSeq:WP_001244646.1, SO:0001217, UniParc:UPI000005A3FB, UniRef:UniRef100_A0A725K5Q5, UniRef:UniRef50_A0A974QCL8, UniRef:UniRef90_A0A3S4EPI3"
"gluconate transporter","gntU",18,"GEGEGB_21040","COG:COG2610, COG:G, GO:0015128, GO:0016020, GO:0035429, RefSeq:WP_000105950.1, SO:0001217, UniParc:UPI000005A79F, UniRef:UniRef100_A0A3U7XMK6, UniRef:UniRef50_P0AC97, UniRef:UniRef90_A0A0K0HFP7"
"molybdate ABC transporter substrate-binding protein","modA",18,"GEGEGB_11110","COG:COG0725, COG:P, EC:7.3.2.-, GO:0015689, RefSeq:WP_000951413.1, SO:0001217, UniParc:UPI000005A101, UniRef:UniRef100_A0A725GDC3, UniRef:UniRef50_P37329, UniRef:UniRef90_A0A5H6PVG2"
"nitrate reductase molybdenum cofactor assembly chaperone","narW",18,"GEGEGB_07875","COG:COG2180, COG:CPO, GO:0051082, GO:0051131, SO:0001217, UniRef:UniRef50_P19317, UniRef:UniRef90_A0A6D2G9S9"
"nitrate reductase subunit alpha","narZ",18,"GEGEGB_07865","COG:COG5013, COG:CP, EC:1.7.99.4, GO:0008940, GO:0009061, GO:0009325, RefSeq:WP_000040363.1, SO:0001217, UniParc:UPI0000059EBF, UniRef:UniRef100_A0A725VE92, UniRef:UniRef50_P42175, UniRef:UniRef90_C0Q4Q5"
"nitrate reductase subunit beta","narH",18,"GEGEGB_07870","COG:COG1140, COG:CP, EC:1.7.5.1, EC:1.7.99.-, EC:1.7.99.4, GO:0008940, GO:0009061, GO:0009325, KEGG:K00371, RefSeq:WP_000702603.1, SO:0001217, UniParc:UPI0000059EC0, UniRef:UniRef100_A0A725FVR0, UniRef:UniRef50_P19318, UniRef:UniRef90_A0A1S2ACM4"
"prepilin peptidase-dependent protein","pulJ",18,"GEGEGB_15275","COG:COG4795, COG:U, RefSeq:WP_000029148.1, SO:0001217, UniParc:UPI000005A3DD, UniRef:UniRef100_A0A725VJD8, UniRef:UniRef50_A0A0F6TZN4, UniRef:UniRef90_C0PXI6"
"putative PurR-regulated permease PerM","tqsA",18,"GEGEGB_07375","COG:COG0628, COG:R, RefSeq:WP_001118268.1, SO:0001217, UniParc:UPI0000059E73, UniRef:UniRef100_A0A3Z3GFH9, UniRef:UniRef50_P0AFS5, UniRef:UniRef90_A0A212IKN6"
"ABC-type multidrug transport system, permease component","yadH",17,"GEGEGB_10935","COG:COG0842, COG:V, RefSeq:WP_000045765.1, SO:0001217, UniParc:UPI000005A0E2, UniRef:UniRef100_A0A3U7XQD2, UniRef:UniRef50_P0AFQ4, UniRef:UniRef90_A0A0V9JPZ5"
"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA","acrR",17,"GEGEGB_06925","COG:COG1309, COG:K, RefSeq:WP_001041823.1, SO:0001217, UniParc:UPI0000059E19, UniRef:UniRef100_A0A8E6Y0G0, UniRef:UniRef50_P67431, UniRef:UniRef90_A0A379SJM7"
"ABC-type nickel/cobalt efflux system, permease component RcnA","rcnA",16,"GEGEGB_01655","COG:COG2215, COG:P, KEGG:K08970, SO:0001217, UniRef:UniRef50_E1SAR9, UniRef:UniRef90_G5LS93"
"[citrate (pro-3S)-lyase] ligase","citC",12,"GEGEGB_11820","COG:C, COG:COG3053, EC:6.2.1.22, GO:0006101, GO:0008771, RefSeq:WP_001723760.1, SO:0001217, UniParc:UPI000005A17B, UniRef:UniRef100_A0A2T8MN64, UniRef:UniRef50_P77390, UniRef:UniRef90_A0A702ED79"
"Membrane protein MutK/YedI, may be involved in DNA repair","mutK",10,"GEGEGB_04775","COG:COG2354, COG:L, KEGG:K09781, RefSeq:WP_000929121.1, SO:0001217, UniParc:UPI000190C435, UniRef:UniRef100_A0A379XNR9, UniRef:UniRef50_A0A2E8KJ27, UniRef:UniRef90_A0A379XNR9"
"Outer membrane protein TolC","tolC",10,"GEGEGB_13920","COG:COG1538, COG:M, RefSeq:WP_000533850.1, SO:0001217, UniParc:UPI000005A2EA, UniRef:UniRef100_A0A725K3B1, UniRef:UniRef50_A0A085G5N7, UniRef:UniRef90_S5NI70"
"Uncharacterized conserved protein YhjY, contains autotransporter beta-barrel domain","yhjY",10,"GEGEGB_20495","COG:COG5571, COG:R, RefSeq:WP_000637074.1, SO:0001217, UniParc:UPI000005A742, UniRef:UniRef100_A0A726A669, UniRef:UniRef50_P37663, UniRef:UniRef90_A0A379TUY7"
"citrate (pro-3S)-lyase subunit beta","citE",10,"GEGEGB_00325","COG:COG2301, COG:G, EC:4.1.3.34, EC:4.1.3.6, GO:0006113, GO:0008815, GO:0009346, RefSeq:WP_001247810.1, SO:0001217, UniParc:UPI000005999E, UniRef:UniRef100_A0A725GD10, UniRef:UniRef50_P17725, UniRef:UniRef90_A0A3R0RUA6"
"flagellin lysine-N-methylase","fliB",10,"GEGEGB_04935","EC:2.1.1.-, KEGG:K18475, SO:0001217, UniRef:UniRef50_UPI0016541DBE, UniRef:UniRef90_UPI001BAF48EA"
"intimin-like inverse autotransporter SinH","sinH",10,"GEGEGB_01850","SO:0001217, UniParc:UPI0002BBF3A9, UniRef:UniRef100_A0A5I0FKH9, UniRef:UniRef50_G9Y5J8, UniRef:UniRef90_A0A6C8G9Z3"
