#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:190418-190879|+ -            154 1827295at2           -             74   8.1e-25   84.5   0.8   1   1   1.7e-26   3.7e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEH02000001.1_153 # 190418 # 190879 # 1 # ID=19_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEH02000007.1:336081-337988|+ -            636 1827295at2           -             74   0.00025   18.9   0.1   1   2    0.0049       1.1    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABEH02000007.1_308 # 336081 # 337988 # 1 # ID=13_308;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABEH02000007.1:336081-337988|+ -            636 1827295at2           -             74   0.00025   18.9   0.1   2   2    0.0014      0.31    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABEH02000007.1_308 # 336081 # 337988 # 1 # ID=13_308;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABEH02000001.1:335695-336651|- -            319 1827295at2           -             74   0.00046   18.0   0.1   1   2   5.7e-06    0.0013   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABEH02000001.1_302 # 335695 # 336651 # -1 # ID=19_302;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEH02000001.1:335695-336651|- -            319 1827295at2           -             74   0.00046   18.0   0.1   2   2       6.6   1.5e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABEH02000001.1_302 # 335695 # 336651 # -1 # ID=19_302;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEH02000004.1:435095-435616|+ -            174 1827295at2           -             74   0.00067   17.5   0.0   1   1   6.4e-06    0.0014   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABEH02000004.1_389 # 435095 # 435616 # 1 # ID=16_389;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEH02000006.1:139640-142213|+ -            858 1827295at2           -             74    0.0014   16.4   0.0   1   2    0.0057       1.3    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000006.1:139640-142213|+ -            858 1827295at2           -             74    0.0014   16.4   0.0   2   2    0.0088         2    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000007.1:251061-251744|+ -            228 1827295at2           -             74    0.0022   15.8   0.1   1   1   1.9e-05    0.0041   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABEH02000007.1_230 # 251061 # 251744 # 1 # ID=13_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABEH02000004.1:8088-9593|-     -            502 1827295at2           -             74    0.0025   15.7   0.4   1   2    0.0044      0.97    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABEH02000004.1_8 # 8088 # 9593 # -1 # ID=16_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABEH02000004.1:8088-9593|-     -            502 1827295at2           -             74    0.0025   15.7   0.4   2   2     0.012       2.7    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABEH02000004.1_8 # 8088 # 9593 # -1 # ID=16_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABEH02000007.1:210840-213116|+ -            759 1827295at2           -             74    0.0025   15.6   0.1   1   2     0.021       4.7    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 1827295at2           -             74    0.0025   15.6   0.1   2   2    0.0033      0.72    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
