#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:245380-245841|+   -            154 1827295at2           -             74   8.3e-25   84.5   0.8   1   1   1.8e-26   3.9e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABAM02000001.1_210 # 245380 # 245841 # 1 # ID=2_210;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:1561419-1563326|+ -            636 1827295at2           -             74   0.00025   18.9   0.1   1   2    0.0052       1.1    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABAM02000001.1_1393 # 1561419 # 1563326 # 1 # ID=2_1393;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABAM02000001.1:1561419-1563326|+ -            636 1827295at2           -             74   0.00025   18.9   0.1   2   2    0.0015      0.32    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABAM02000001.1_1393 # 1561419 # 1563326 # 1 # ID=2_1393;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABAM02000001.1:430164-431120|-   -            319 1827295at2           -             74   0.00047   18.0   0.1   1   2     6e-06    0.0013   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABAM02000001.1_382 # 430164 # 431120 # -1 # ID=2_382;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:430164-431120|-   -            319 1827295at2           -             74   0.00047   18.0   0.1   2   2         7   1.5e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABAM02000001.1_382 # 430164 # 431120 # -1 # ID=2_382;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:812390-815029|+   -            880 1827295at2           -             74   0.00063   17.6   0.1   1   2    0.0028      0.61    8.0   0.0    12    32   236   257   223   263 0.83 NZ_ABAM02000001.1_713 # 812390 # 815029 # 1 # ID=2_713;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598
NZ_ABAM02000001.1:812390-815029|+   -            880 1827295at2           -             74   0.00063   17.6   0.1   2   2     0.007       1.5    6.8   0.0     8    32   606   635   597   641 0.78 NZ_ABAM02000001.1_713 # 812390 # 815029 # 1 # ID=2_713;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598
NZ_ABAM02000001.1:4014898-4015419|- -            174 1827295at2           -             74   0.00069   17.5   0.0   1   1   6.7e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABAM02000001.1_3729 # 4014898 # 4015419 # -1 # ID=2_3729;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.502
NZ_ABAM02000001.1:3211618-3214191|- -            858 1827295at2           -             74    0.0015   16.4   0.0   1   2     0.006       1.3    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABAM02000001.1_2963 # 3211618 # 3214191 # -1 # ID=2_2963;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.530
NZ_ABAM02000001.1:3211618-3214191|- -            858 1827295at2           -             74    0.0015   16.4   0.0   2   2    0.0093         2    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABAM02000001.1_2963 # 3211618 # 3214191 # -1 # ID=2_2963;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.530
NZ_ABAM02000001.1:1520246-1520929|+ -            228 1827295at2           -             74    0.0023   15.8   0.1   1   1     2e-05    0.0042   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABAM02000001.1_1363 # 1520246 # 1520929 # 1 # ID=2_1363;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABAM02000001.1:4460175-4461680|+ -            502 1827295at2           -             74    0.0025   15.7   0.4   1   2    0.0046         1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABAM02000001.1_4117 # 4460175 # 4461680 # 1 # ID=2_4117;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABAM02000001.1:4460175-4461680|+ -            502 1827295at2           -             74    0.0025   15.7   0.4   2   2     0.013       2.8    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABAM02000001.1_4117 # 4460175 # 4461680 # 1 # ID=2_4117;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABAM02000001.1:1478631-1480907|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   1   2     0.022       4.9    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABAM02000001.1_1332 # 1478631 # 1480907 # 1 # ID=2_1332;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAM02000001.1:1478631-1480907|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   2   2    0.0034      0.75    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABAM02000001.1_1332 # 1478631 # 1480907 # 1 # ID=2_1332;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABAM02000001.1:1380594-1382330|- -            579 1827295at2           -             74     0.003   15.4   0.7   1   2    0.0017      0.37    8.7   0.1    10    31    35    56    18    63 0.83 NZ_ABAM02000001.1_1239 # 1380594 # 1382330 # -1 # ID=2_1239;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABAM02000001.1:1380594-1382330|- -            579 1827295at2           -             74     0.003   15.4   0.7   2   2     0.036       7.9    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABAM02000001.1_1239 # 1380594 # 1382330 # -1 # ID=2_1239;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABAM02000001.1:231500-232477|+   -            326 1827295at2           -             74    0.0071   14.2   0.0   1   1   0.00011     0.024   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABAM02000001.1_200 # 231500 # 232477 # 1 # ID=2_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABAM02000001.1:945186-948326|-   -           1047 1827295at2           -             74     0.015   13.2   0.0   1   1   0.00018     0.039   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABAM02000001.1_833 # 945186 # 948326 # -1 # ID=2_833;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABAM02000001.1:1003018-1004289|+ -            424 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00019      0.04   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABAM02000001.1_887 # 1003018 # 1004289 # 1 # ID=2_887;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABAM02000001.1:3226643-3228004|- -            454 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00019     0.041   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABAM02000001.1_2978 # 3226643 # 3228004 # -1 # ID=2_2978;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:4101106-4101819|- -            238 1827295at2           -             74     0.024   12.6   0.1   1   1    0.0002     0.044   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABAM02000001.1_3800 # 4101106 # 4101819 # -1 # ID=2_3800;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
