"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"AJBGEP_01610","persistent","Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family","9","9","1.0","NA","NA","","","","821","821","821.0","AJBGEP_01610","HFCAGB_01605","BEJGEH_01550","GEGEGB_13465","ODDLKH_03965","LNHIMF_01600","ONMMKP_09335","IKCLMC_10330","PKJKAM_17220"
"AJBGEP_01620","persistent","putative HTH-type transcriptional regulator SinR","9","9","1.0","NA","NA","","","","947","947","947.0","AJBGEP_01620","HFCAGB_01615","BEJGEH_01555","GEGEGB_13455","ODDLKH_03970","LNHIMF_01605","ONMMKP_09330","IKCLMC_10335","PKJKAM_17215"
"AJBGEP_01625","persistent","adhesin/invasin protein PagN","9","9","1.0","NA","NA","","","","659","719","712.33","AJBGEP_01625","HFCAGB_01620","BEJGEH_01575","GEGEGB_13410","ODDLKH_03975","LNHIMF_01660","ONMMKP_09285","IKCLMC_10340","PKJKAM_17210"
"AJBGEP_01630","persistent","Periplasmic chaperone Spy, Spy/CpxP family","9","9","1.0","NA","NA","","","","407","407","407.0","AJBGEP_01630","HFCAGB_01625","BEJGEH_01580","GEGEGB_13405","ODDLKH_03980","LNHIMF_01665","ONMMKP_09280","IKCLMC_10345","PKJKAM_17205"
"AJBGEP_01635","persistent","amidohydrolase","9","9","1.0","NA","NA","","","","767","767","767.0","AJBGEP_01635","HFCAGB_01630","BEJGEH_01585","GEGEGB_13400","ODDLKH_03985","LNHIMF_01670","ONMMKP_09275","IKCLMC_10350","PKJKAM_17200"
"AJBGEP_01640","persistent","acyl-CoA dehydrogenase FadE","9","9","1.0","NA","NA","","","","2444","2444","2444.0","AJBGEP_01640","HFCAGB_01635","BEJGEH_01590","GEGEGB_13395","ODDLKH_03990","LNHIMF_01675","ONMMKP_09270","IKCLMC_10355","PKJKAM_17195"
"AJBGEP_01645","persistent","D-sedoheptulose 7-phosphate isomerase","9","9","1.0","NA","NA","","","","578","578","578.0","AJBGEP_01645","HFCAGB_01640","BEJGEH_01595","GEGEGB_13390","ODDLKH_03995","LNHIMF_01680","ONMMKP_09265","IKCLMC_10360","PKJKAM_17190"
"AJBGEP_01650","persistent","putative glutamine amidotransferase YafJ","9","9","1.0","NA","NA","","","","767","767","767.0","AJBGEP_01650","HFCAGB_01645","BEJGEH_01600","GEGEGB_13385","ODDLKH_04000","LNHIMF_01685","ONMMKP_09260","IKCLMC_10365","PKJKAM_17185"
"AJBGEP_01655","persistent","peptidoglycan meso-diaminopimelic acid protein amidase","9","9","1.0","NA","NA","","","","740","740","740.0","AJBGEP_01655","HFCAGB_01650","BEJGEH_01605","GEGEGB_13380","ODDLKH_04005","LNHIMF_01690","ONMMKP_09255","IKCLMC_10370","PKJKAM_17180"
"AJBGEP_01660","persistent","DNA polymerase IV","9","9","1.0","NA","NA","","","","1055","1055","1055.0","AJBGEP_01660","HFCAGB_01655","BEJGEH_01610","GEGEGB_13375","ODDLKH_04010","LNHIMF_01695","ONMMKP_09250","IKCLMC_10375","PKJKAM_17175"
