#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	249	617	+	PKJKAM_00005	13.7	11.1		
contig_2	256	774	+	PKJKAM_00010	19.6	9.1		RefSeq:WP_000116157.1, SO:0001217, UniParc:UPI00016C1835, UniRef:UniRef100_UPI002118C338, UniRef:UniRef50_A0A376JUL7, UniRef:UniRef90_A0A8T3UQF6
contig_4	496	720	-	PKJKAM_00020	8.4	4.5		RefSeq:WP_000528431.1, SO:0001217, UniParc:UPI00016C1834, UniRef:UniRef100_A0A5Z2TPJ8, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_7	460	855	-	PKJKAM_00040	15.2	8.6		SO:0001217, UniParc:UPI000230A96B, UniRef:UniRef100_G5LKF9, UniRef:UniRef50_G5LKF9, UniRef:UniRef90_G5LKF9
contig_11	526	879	+	PKJKAM_00070	13.1	9.2		SO:0001217, UniParc:UPI0003FDCBCC, UniRef:UniRef100_A0A447JQS0, UniRef:UniRef50_G5QXK3, UniRef:UniRef90_G5QXK3
contig_25	924	1199	+	PKJKAM_00265	10.6	11.6		RefSeq:WP_258232230.1, SO:0001217, UniParc:UPI000438201A, UniRef:UniRef100_A0A655E879, UniRef:UniRef50_A0A8B4CGH8, UniRef:UniRef90_A0A655E879
contig_25	3328	3435	-	PKJKAM_00280	4.2	9.3		SO:0001217, UniRef:UniRef50_A0A379QJQ3, UniRef:UniRef50_A0A447TZS5, UniRef:UniRef90_A0A447TZS5, UniRef:UniRef90_A0A7D8IJY8
contig_26	205	411	+	PKJKAM_00300	7.8	6.0		SO:0001217, UniRef:UniRef50_A0A379UMT4, UniRef:UniRef90_A0A379UMT4
contig_28	7610	7990	-	PKJKAM_00530	14.0	7.6		SO:0001217, UniParc:UPI0001603CD5, UniRef:UniRef100_A0A8D4YQT8, UniRef:UniRef50_A0A0H2VCZ3, UniRef:UniRef90_A0A0H2VCZ3
contig_33	4686	4967	+	PKJKAM_01145	11.1	4.6		RefSeq:WP_233668320.1, SO:0001217, UniParc:UPI0002EA79AB, UniRef:UniRef100_A0A1X8WCV5, UniRef:UniRef50_A0A379S3M9, UniRef:UniRef90_A0A379S3M9
contig_33	9432	9674	-	PKJKAM_01170	8.6	9.6		RefSeq:WP_000178826.1, SO:0001217, UniParc:UPI0001812CB5, UniRef:UniRef100_A0A5I9C0U1, UniRef:UniRef50_A0A379WV70, UniRef:UniRef90_A0A379WV70
contig_33	40251	40484	-	PKJKAM_01375	8.7	5.0		RefSeq:WP_065304563.1, SO:0001217, UniParc:UPI000806497D, UniRef:UniRef100_A0A5W3W8E4, UniRef:UniRef50_A0A2I8SBH0, UniRef:UniRef90_A0A6D2GB82
contig_34	61	387	+	PKJKAM_01380	12.0	9.3		
contig_36	39362	39487	+	PKJKAM_02125	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_36	63444	64082	-	PKJKAM_02270	22.3	10.8		SO:0001217, UniRef:UniRef50_A0A515HKK3
contig_37	41694	41900	+	PKJKAM_02535	8.1	9.5		RefSeq:WP_000787626.1, SO:0001217, UniParc:UPI00016C2269, UniRef:UniRef100_A0A3V2VXR8, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A447JGW4
contig_38	55104	55292	+	PKJKAM_03080	7.1	5.8		SO:0001217, UniRef:UniRef50_A0A2T8T3L0, UniRef:UniRef90_A0A379VSB1
contig_38	110314	110472	+	PKJKAM_03380	5.8	6.1		SO:0001217, UniParc:UPI00016C1FDE, UniRef:UniRef100_A0A735FLM7, UniRef:UniRef50_A0A749FB01, UniRef:UniRef90_A0A749FB01
contig_38	111575	111934	-	PKJKAM_03390	12.8	6.0		
contig_39	84323	84424	+	PKJKAM_03780	3.8	4.7		
contig_44	103432	103533	+	PKJKAM_08655	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_44	199482	199688	+	PKJKAM_09170	7.6	8.1		RefSeq:WP_000353142.1, SO:0001217, UniParc:UPI00016C2258, UniRef:UniRef100_A0A5T4AAV0, UniRef:UniRef50_A0A5T4AAV0, UniRef:UniRef90_A0A5T4AAV0
contig_44	220856	221017	-	PKJKAM_09295	6.2	9.9		RefSeq:WP_001128281.1, SO:0001217, UniParc:UPI00016BEBCB, UniRef:UniRef100_A0A5T4ACE7, UniRef:UniRef50_A0A826VYG8, UniRef:UniRef90_A0A5T4ACE7
contig_44	325208	325906	+	PKJKAM_09810	26.9	9.1		RefSeq:WP_000966916.1, SO:0001217, UniParc:UPI00016C16C2, UniRef:UniRef100_A0A3X9IMH2, UniRef:UniRef50_A0A1D8JZG7, UniRef:UniRef90_A0A3V9HI74
contig_44	327746	329659	-	PKJKAM_09820	73.7	6.6		RefSeq:WP_000999377.1, SO:0001217, UniParc:UPI00016C16C4, UniRef:UniRef100_A0A454ENT9, UniRef:UniRef50_A0A431SGX8, UniRef:UniRef90_A0A3V9HIZ9
contig_44	329685	329840	+	PKJKAM_09825	5.9	7.9		
contig_45	103285	103494	-	PKJKAM_10315	7.8	6.4		SO:0001217, UniParc:UPI0003E4EAFA, UniRef:UniRef100_A0A8D4Z1X2, UniRef:UniRef50_A0A3S5DPZ4, UniRef:UniRef90_E3GA15
