persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
AJBGEP_01610	0.0	1.0	True
AJBGEP_01620	0.0	1.0	True
AJBGEP_01625	0.0	1.0	True
AJBGEP_01630	0.0	1.0	True
AJBGEP_01635	0.0	1.0	True
AJBGEP_01640	0.0	1.0	True
AJBGEP_01645	0.0	1.0	True
AJBGEP_01650	0.0	1.0	True
AJBGEP_01655	0.0	1.0	True
AJBGEP_01660	0.0	1.0	True
AJBGEP_01675	0.0	1.0	True
AJBGEP_01680	0.0	1.0	True
AJBGEP_01685	0.0	1.0	True
AJBGEP_01690	0.0	1.0	True
AJBGEP_01695	0.0	1.0	True
AJBGEP_01705	0.0	1.0	True
AJBGEP_01785	0.0	1.333	True
AJBGEP_01795	0.0	1.0	True
AJBGEP_01800	0.0	1.0	True
AJBGEP_01805	0.0	1.0	True
AJBGEP_01810	0.0	1.111	True
AJBGEP_01815	0.0	1.0	True
AJBGEP_01820	0.0	1.0	True
AJBGEP_01825	0.0	1.111	True
AJBGEP_01830	0.0	1.0	True
AJBGEP_01835	0.0	1.0	True
AJBGEP_01840	0.0	1.0	True
AJBGEP_01845	0.0	1.0	True
AJBGEP_01850	0.0	1.0	True
AJBGEP_01855	0.0	1.0	True
AJBGEP_01865	0.0	1.0	True
AJBGEP_01870	0.0	1.0	True
AJBGEP_01875	0.0	1.0	True
AJBGEP_01880	0.0	1.0	True
AJBGEP_01885	0.0	1.111	True
AJBGEP_01890	0.0	1.0	True
AJBGEP_01895	0.0	1.0	True
AJBGEP_01905	0.0	1.0	True
AJBGEP_01910	0.0	1.0	True
AJBGEP_01920	0.0	1.0	True
AJBGEP_01925	0.0	1.0	True
AJBGEP_01940	0.0	1.0	True
AJBGEP_01945	0.0	1.0	True
AJBGEP_01950	0.0	1.0	True
AJBGEP_01955	0.0	1.0	True
AJBGEP_01965	0.0	1.0	True
AJBGEP_01970	0.0	1.0	True
AJBGEP_01975	0.0	1.0	True
AJBGEP_01980	0.0	1.0	True
AJBGEP_01985	0.0	1.0	True
AJBGEP_01990	0.0	1.0	True
AJBGEP_01995	0.0	1.0	True
AJBGEP_02000	0.0	1.0	True
AJBGEP_02010	0.0	1.0	True
AJBGEP_02015	0.0	1.0	True
AJBGEP_02020	0.0	1.0	True
AJBGEP_02025	0.0	1.0	True
AJBGEP_02030	0.0	1.0	True
AJBGEP_02035	0.0	1.0	True
AJBGEP_02045	0.0	1.111	True
AJBGEP_02050	0.0	1.0	True
AJBGEP_02055	0.0	1.0	True
AJBGEP_02060	0.0	1.0	True
AJBGEP_02065	0.0	1.222	True
AJBGEP_02075	0.0	1.0	True
AJBGEP_02080	0.0	1.0	True
AJBGEP_02085	0.0	1.0	True
AJBGEP_02090	0.0	1.0	True
AJBGEP_02095	0.0	1.0	True
AJBGEP_02105	0.0	1.0	True
AJBGEP_02110	0.0	1.0	True
AJBGEP_03760	0.0	1.0	True
AJBGEP_03765	0.0	1.0	True
AJBGEP_03770	0.0	1.0	True
AJBGEP_03780	0.0	1.0	True
AJBGEP_03785	0.0	1.0	True
AJBGEP_03790	0.0	1.0	True
AJBGEP_03795	0.0	1.0	True
AJBGEP_03805	0.0	1.0	True
AJBGEP_03810	0.0	1.0	True
AJBGEP_03815	0.0	1.0	True
AJBGEP_03825	0.0	1.0	True
AJBGEP_03830	0.0	1.0	True
AJBGEP_03835	0.0	1.0	True
AJBGEP_03845	0.0	1.0	True
AJBGEP_03850	0.0	1.0	True
AJBGEP_03855	0.0	1.0	True
AJBGEP_03860	0.0	1.0	True
AJBGEP_03865	0.0	1.0	True
