#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:4293097-4293576|+ -            160 1846503at2           -            110     5e-38  127.4   0.2   1   1   4.3e-39   3.7e-36  121.3   0.2     1   108     3   137     3   139 0.87 NZ_ABAM02000001.1_3964 # 4293097 # 4293576 # 1 # ID=2_3964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NZ_ABAM02000001.1:479673-480905|+   -            411 1846503at2           -            110     4e-06   24.7   0.1   1   3     2e-07   0.00018   19.4   0.0     2    37    66   101    65   138 0.88 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:479673-480905|+   -            411 1846503at2           -            110     4e-06   24.7   0.1   2   3     0.042        37    2.3   0.0     8    31   283   306   276   315 0.87 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:479673-480905|+   -            411 1846503at2           -            110     4e-06   24.7   0.1   3   3       3.1   2.7e+03   -3.8   0.0    47    61   369   383   367   385 0.82 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:1205754-1206404|- -            217 1846503at2           -            110    0.0007   17.5   0.0   1   2   3.3e-06    0.0029   15.5   0.0     2    28     8    34     7    44 0.81 NZ_ABAM02000001.1_1080 # 1205754 # 1206404 # -1 # ID=2_1080;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_ABAM02000001.1:1205754-1206404|- -            217 1846503at2           -            110    0.0007   17.5   0.0   2   2      0.47   4.1e+02   -1.1   0.0    88   105   172   189   164   193 0.84 NZ_ABAM02000001.1_1080 # 1205754 # 1206404 # -1 # ID=2_1080;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_ABAM02000001.1:3736255-3737688|- -            478 1846503at2           -            110    0.0026   15.6   0.0   1   1   7.3e-06    0.0064   14.4   0.0     3    39   343   379   341   386 0.88 NZ_ABAM02000001.1_3448 # 3736255 # 3737688 # -1 # ID=2_3448;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABAM02000001.1:570007-570975|+   -            323 1846503at2           -            110      0.01   13.7   0.0   1   2   3.1e-05     0.027   12.3   0.0    10    49   133   178   127   194 0.83 NZ_ABAM02000001.1_506 # 570007 # 570975 # 1 # ID=2_506;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:570007-570975|+   -            323 1846503at2           -            110      0.01   13.7   0.0   2   2       1.8   1.6e+03   -3.0   0.0    93   107   277   291   267   293 0.74 NZ_ABAM02000001.1_506 # 570007 # 570975 # 1 # ID=2_506;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000170215.1_ASM17021v1_genomic/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm /output/GCF_000170215.1_ASM17021v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:50:57 2026
# [ok]
