#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000006.1:208740-209201|+ -            154 1827295at2           -             74   8.4e-25   84.5   0.8   1   1   1.9e-26   3.9e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEI01000006.1_180 # 208740 # 209201 # 1 # ID=48_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NZ_ABEI01000017.1:40068-41975|+   -            636 1827295at2           -             74   0.00025   18.9   0.1   1   2    0.0055       1.1    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABEI01000017.1_32 # 40068 # 41975 # 1 # ID=37_32;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABEI01000017.1:40068-41975|+   -            636 1827295at2           -             74   0.00025   18.9   0.1   2   2    0.0015      0.32    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABEI01000017.1_32 # 40068 # 41975 # 1 # ID=37_32;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABEI01000013.1:127098-128054|- -            319 1827295at2           -             74   0.00048   18.0   0.1   1   2   6.3e-06    0.0013   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABEI01000013.1_118 # 127098 # 128054 # -1 # ID=41_118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEI01000013.1:127098-128054|- -            319 1827295at2           -             74   0.00048   18.0   0.1   2   2       7.3   1.5e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABEI01000013.1_118 # 127098 # 128054 # -1 # ID=41_118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEI01000010.1:16225-18864|+   -            880 1827295at2           -             74   0.00062   17.6   0.1   1   2    0.0029      0.61    8.0   0.0    12    32   236   257   223   263 0.83 NZ_ABEI01000010.1_17 # 16225 # 18864 # 1 # ID=44_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEI01000010.1:16225-18864|+   -            880 1827295at2           -             74   0.00062   17.6   0.1   2   2    0.0069       1.4    6.9   0.0     8    32   606   635   595   641 0.78 NZ_ABEI01000010.1_17 # 16225 # 18864 # 1 # ID=44_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEI01000012.1:39459-39980|-   -            174 1827295at2           -             74    0.0007   17.5   0.0   1   1   7.1e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABEI01000012.1_40 # 39459 # 39980 # -1 # ID=42_40;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEI01000027.1:39-2612|-       -            858 1827295at2           -             74    0.0015   16.4   0.0   1   2    0.0063       1.3    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABEI01000027.1_1 # 39 # 2612 # -1 # ID=27_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEI01000027.1:39-2612|-       -            858 1827295at2           -             74    0.0015   16.4   0.0   2   2    0.0098         2    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABEI01000027.1_1 # 39 # 2612 # -1 # ID=27_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEI01000004.1:290825-291508|+ -            228 1827295at2           -             74    0.0023   15.8   0.1   1   1   2.1e-05    0.0043   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABEI01000004.1_267 # 290825 # 291508 # 1 # ID=50_267;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEI01000032.1:17010-18515|+   -            502 1827295at2           -             74    0.0023   15.8   0.3   1   2    0.0049         1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABEI01000032.1_18 # 17010 # 18515 # 1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEI01000032.1:17010-18515|+   -            502 1827295at2           -             74    0.0023   15.8   0.3   2   2     0.013       2.7    6.0   0.0     9    31   279   301   269   309 0.81 NZ_ABEI01000032.1_18 # 17010 # 18515 # 1 # ID=22_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEI01000004.1:229190-231466|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   1   2     0.024       4.9    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABEI01000004.1_216 # 229190 # 231466 # 1 # ID=50_216;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEI01000004.1:229190-231466|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   2   2    0.0036      0.75    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABEI01000004.1_216 # 229190 # 231466 # 1 # ID=50_216;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.545
NZ_ABEI01000004.1:129911-131647|- -            579 1827295at2           -             74     0.003   15.4   0.7   1   2    0.0018      0.37    8.8   0.1    10    31    35    56    18    63 0.83 NZ_ABEI01000004.1_122 # 129911 # 131647 # -1 # ID=50_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_ABEI01000004.1:129911-131647|- -            579 1827295at2           -             74     0.003   15.4   0.7   2   2     0.038         8    4.5   0.1     8    29   353   376   336   382 0.78 NZ_ABEI01000004.1_122 # 129911 # 131647 # -1 # ID=50_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_ABEI01000006.1:195301-196278|+ -            326 1827295at2           -             74    0.0071   14.2   0.0   1   1   0.00012     0.024   12.5   0.0    31    64   102   136    94   141 0.78 NZ_ABEI01000006.1_170 # 195301 # 196278 # 1 # ID=48_170;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABEI01000001.1:3252-5012|-     -            587 1827295at2           -             74     0.014   13.3   2.6   1   2       0.1        22    3.1   0.1    10    32    10    32     3    37 0.84 NZ_ABEI01000001.1_4 # 3252 # 5012 # -1 # ID=53_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.584
NZ_ABEI01000001.1:3252-5012|-     -            587 1827295at2           -             74     0.014   13.3   2.6   2   2   0.00095       0.2    9.6   0.4     9    33   327   351   317   354 0.84 NZ_ABEI01000001.1_4 # 3252 # 5012 # -1 # ID=53_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.584
NZ_ABEI01000010.1:166304-169444|- -           1047 1827295at2           -             74     0.015   13.2   0.0   1   1   0.00019     0.039   11.9   0.0    10    33    32    55    21    61 0.84 NZ_ABEI01000010.1_152 # 166304 # 169444 # -1 # ID=44_152;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEI01000007.1:5378-6649|+     -            424 1827295at2           -             74     0.018   13.0   0.1   1   1   0.00019     0.041   11.8   0.1     5    33   109   137   102   144 0.85 NZ_ABEI01000007.1_6 # 5378 # 6649 # 1 # ID=47_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABEI01000027.1:15828-17189|-   -            454 1827295at2           -             74     0.018   13.0   0.1   1   1    0.0002     0.041   11.8   0.1     2    33    91   125    89   130 0.85 NZ_ABEI01000027.1_17 # 15828 # 17189 # -1 # ID=27_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABEI01000030.1:17238-17927|+   -            230 1827295at2           -             74     0.022   12.6   0.1   1   1   0.00019      0.04   11.8   0.1     8    32    28    53    14    62 0.78 NZ_ABEI01000030.1_19 # 17238 # 17927 # 1 # ID=24_19;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.591
NZ_ABEI01000012.1:125653-126366|- -            238 1827295at2           -             74     0.024   12.6   0.1   1   1   0.00021     0.044   11.7   0.1     8    29    29    52    16    59 0.80 NZ_ABEI01000012.1_110 # 125653 # 126366 # -1 # ID=42_110;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
NZ_ABEI01000020.1:6081-11039|-    -           1653 1827295at2           -             74     0.029   12.3   0.1   1   2   0.00061      0.13   10.2   0.0     8    32  1075  1101  1064  1105 0.79 NZ_ABEI01000020.1_7 # 6081 # 11039 # -1 # ID=34_7;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.442
NZ_ABEI01000020.1:6081-11039|-    -           1653 1827295at2           -             74     0.029   12.3   0.1   2   2       3.9   8.2e+02   -2.0   0.0    52    73  1529  1547  1527  1548 0.75 NZ_ABEI01000020.1_7 # 6081 # 11039 # -1 # ID=34_7;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.442
NZ_ABEI01000010.1:201089-202198|- -            370 1827295at2           -             74     0.044   11.7   0.0   1   1   0.00051      0.11   10.5   0.0     9    29    45    65    30    71 0.84 NZ_ABEI01000010.1_185 # 201089 # 202198 # -1 # ID=44_185;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588
NZ_ABEI01000026.1:4216-4968|-     -            251 1827295at2           -             74     0.053   11.4   0.0   1   2    0.0012      0.25    9.3   0.0     8    27    27    48    13    53 0.82 NZ_ABEI01000026.1_6 # 4216 # 4968 # -1 # ID=28_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.550
NZ_ABEI01000026.1:4216-4968|-     -            251 1827295at2           -             74     0.053   11.4   0.0   2   2       2.6   5.5e+02   -1.4   0.0    12    33   112   133   104   136 0.83 NZ_ABEI01000026.1_6 # 4216 # 4968 # -1 # ID=28_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.550
NZ_ABEI01000014.1:87904-89439|+   -            512 1827295at2           -             74      0.11   10.4   1.7   1   2      0.03       6.3    4.8   0.2     9    29    38    58    26    61 0.82 NZ_ABEI01000014.1_87 # 87904 # 89439 # 1 # ID=40_87;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.513
NZ_ABEI01000014.1:87904-89439|+   -            512 1827295at2           -             74      0.11   10.4   1.7   2   2      0.05        10    4.1   0.1     9    28   290   309   275   312 0.82 NZ_ABEI01000014.1_87 # 87904 # 89439 # 1 # ID=40_87;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.513
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm
# Target file:     /output/GCF_000171275.1_ASM17127v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171275.1_ASM17127v1_genomic/run_bacteria_odb10/hmmer_output/1827295at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1827295at2.hmm /output/GCF_000171275.1_ASM17127v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:52:26 2026
# [ok]
