#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000063.1:9015-9476|-     -            154 1827295at2           -             74   8.9e-25   84.5   0.8   1   1   1.5e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABAO01000063.1_11 # 9015 # 9476 # -1 # ID=51_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAO01000024.3:61069-62976|+   -            636 1827295at2           -             74   0.00027   18.9   0.1   1   2    0.0047       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABAO01000024.3_68 # 61069 # 62976 # 1 # ID=90_68;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABAO01000024.3:61069-62976|+   -            636 1827295at2           -             74   0.00027   18.9   0.1   2   2    0.0013      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABAO01000024.3_68 # 61069 # 62976 # 1 # ID=90_68;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABAO01000006.1:154572-155528|- -            319 1827295at2           -             74   0.00051   18.0   0.1   1   2   5.4e-06    0.0014   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABAO01000006.1_137 # 154572 # 155528 # -1 # ID=108_137;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAO01000006.1:154572-155528|- -            319 1827295at2           -             74   0.00051   18.0   0.1   2   2       6.3   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABAO01000006.1_137 # 154572 # 155528 # -1 # ID=108_137;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAO01000004.3:152-673|-       -            174 1827295at2           -             74   0.00075   17.5   0.0   1   1   6.1e-06    0.0016   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABAO01000004.3_1 # 152 # 673 # -1 # ID=110_1;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.502
NZ_ABAO01000014.1:128-2701|-      -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2    0.0054       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABAO01000014.1_2 # 128 # 2701 # -1 # ID=100_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABAO01000014.1:128-2701|-      -            858 1827295at2           -             74    0.0016   16.4   0.0   2   2    0.0084       2.2    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABAO01000014.1_2 # 128 # 2701 # -1 # ID=100_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABAO01000046.1:30990-31673|+   -            228 1827295at2           -             74    0.0025   15.8   0.1   1   1   1.8e-05    0.0046   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABAO01000046.1_23 # 30990 # 31673 # 1 # ID=68_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.557
NZ_ABAO01000051.1:16867-18372|+   -            502 1827295at2           -             74    0.0027   15.7   0.4   1   2    0.0042       1.1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABAO01000051.1_18 # 16867 # 18372 # 1 # ID=63_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.534
NZ_ABAO01000051.1:16867-18372|+   -            502 1827295at2           -             74    0.0027   15.7   0.4   2   2     0.012         3    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABAO01000051.1_18 # 16867 # 18372 # 1 # ID=63_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.534
