Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N90,auN,L50,L90,# N's per 100 kbp
GCF_000171415.1_ASM17141v1_genomic,63,35,24,23,20,15,4948011,4926459,4910543,4901456,4848985,4698417,63,741259,4948011,52.10,484233,89958,450795.3,5,12,0.00
GCF_000171535.2_ASM17153v2_genomic,5,5,3,2,2,2,4876885,4876885,4870009,4864129,4864129,4864129,5,3027433,4876885,52.07,3027433,1836696,2571079.9,1,2,0.06
GCF_000007545.1_ASM754v1_genomic,1,1,1,1,1,1,4791961,4791961,4791961,4791961,4791961,4791961,1,4791961,4791961,52.05,4791961,4791961,4791961.0,1,1,0.23
GCF_000020925.1_ASM2092v1_genomic,2,2,2,2,2,2,4917459,4917459,4917459,4917459,4917459,4917459,2,4842908,4917459,52.13,4842908,4842908,4770617.5,1,1,0.00
GCF_000170215.1_ASM17021v1_genomic,2,2,2,1,1,1,4726474,4726474,4726474,4719855,4719855,4719855,2,4719855,4726474,52.26,4719855,4719855,4713254.5,1,1,0.00
GCF_000170255.1_ASM17025v1_genomic,113,94,73,67,50,34,4895918,4879937,4824660,4777685,4483418,3881728,112,335352,4895525,52.27,103713,29559,129894.7,14,48,0.63
GCF_000171255.1_ASM17125v1_genomic,19,19,16,16,13,12,4546142,4546142,4541399,4541399,4491950,4462248,19,846299,4546142,52.24,471765,204763,472771.9,4,10,1.32
GCF_000171275.1_ASM17127v1_genomic,53,52,39,37,31,24,4696566,4696262,4671915,4659068,4566169,4297158,52,449075,4696262,52.16,233156,53712,223923.2,8,23,0.00
GCF_000171315.1_ASM17131v1_genomic,48,46,36,34,25,17,4728232,4727026,4702043,4687069,4527252,4220950,48,765595,4728232,52.12,308442,49961,369660.9,5,18,0.00
GCF_000171515.1_ASM17151v1_genomic,50,46,28,25,20,17,4793325,4789791,4758237,4740722,4644902,4537619,50,776389,4793325,52.27,370713,92588,379247.4,5,14,0.00
GCF_000020745.1_ASM2074v1_genomic,3,3,2,2,2,2,4823887,4823887,4819302,4819302,4819302,4819302,3,4709075,4823887,52.21,4709075,4709075,4599518.7,1,1,0.00
GCF_000020885.1_ASM2088v1_genomic,2,2,2,2,2,1,4836638,4836638,4836638,4836638,4836638,4798660,2,4798660,4836638,52.00,4798660,4798660,4761278.4,1,1,0.00
GCF_000022165.1_ASM2216v1_genomic,2,2,2,2,2,2,4964097,4964097,4964097,4964097,4964097,4964097,2,4870265,4964097,52.21,4870265,4870265,4779980.2,1,1,0.00
