#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:2409777-2411576|+ -            600 182107at2            -            492  6.6e-222  735.2   6.4   1   1  1.8e-222  7.5e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABFH02000001.1_2211 # 2409777 # 2411576 # 1 # ID=5_2211;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABFH02000001.1:913403-915226|-   -            608 182107at2            -            492   2.8e-44  149.4   3.4   1   2   1.3e-41   5.5e-39  131.9   1.9     1   232     5   279     5   287 0.76 NZ_ABFH02000001.1_818 # 913403 # 915226 # -1 # ID=5_818;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:913403-915226|-   -            608 182107at2            -            492   2.8e-44  149.4   3.4   2   2   1.4e-06   0.00058   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABFH02000001.1_818 # 913403 # 915226 # -1 # ID=5_818;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:1569260-1571374|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   2   4     0.049        21    1.4   0.0   118   160   246   291   239   305 0.76 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   3   4   2.1e-09     9e-07   25.7   0.0   157   314   312   491   295   504 0.69 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1569260-1571374|+ -            705 182107at2            -            492   8.7e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NZ_ABFH02000001.1_1398 # 1569260 # 1571374 # 1 # ID=5_1398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABFH02000001.1:1712635-1715313|+ -            893 182107at2            -            492   5.4e-26   89.0   0.6   1   2   2.5e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABFH02000001.1_1550 # 1712635 # 1715313 # 1 # ID=5_1550;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFH02000001.1:1712635-1715313|+ -            893 182107at2            -            492   5.4e-26   89.0   0.6   2   2       1.3   5.5e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABFH02000001.1_1550 # 1712635 # 1715313 # 1 # ID=5_1550;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFH02000001.1:335302-336891|-   -            530 182107at2            -            492   1.6e-23   80.9   0.6   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABFH02000001.1_296 # 335302 # 336891 # -1 # ID=5_296;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABFH02000001.1:335302-336891|-   -            530 182107at2            -            492   1.6e-23   80.9   0.6   2   2   6.9e-05     0.029   10.8   0.1   220   312   372   469   202   484 0.70 NZ_ABFH02000001.1_296 # 335302 # 336891 # -1 # ID=5_296;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABFH02000001.1:1571446-1572630|+ -            395 182107at2            -            492   6.2e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NZ_ABFH02000001.1_1399 # 1571446 # 1572630 # 1 # ID=5_1399;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABFH02000001.1:781566-782750|-   -            395 182107at2            -            492   6.2e-13   46.0   0.1   1   1   3.3e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 NZ_ABFH02000001.1_697 # 781566 # 782750 # -1 # ID=5_697;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABFH02000001.1:1302812-1304662|+ -            617 182107at2            -            492   2.7e-12   43.9   0.0   1   1     9e-15   3.8e-12   43.4   0.0     8   196     7   209     1   217 0.78 NZ_ABFH02000001.1_1171 # 1302812 # 1304662 # 1 # ID=5_1171;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.573
NZ_ABFH02000001.1:2112544-2113983|+ -            480 182107at2            -            492     4e-11   40.0   0.1   1   2      0.17        73   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABFH02000001.1_1911 # 2112544 # 2113983 # 1 # ID=5_1911;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABFH02000001.1:2112544-2113983|+ -            480 182107at2            -            492     4e-11   40.0   0.1   2   2   5.1e-13   2.1e-10   37.6   0.0    25   122    80   182    63   195 0.81 NZ_ABFH02000001.1_1911 # 2112544 # 2113983 # 1 # ID=5_1911;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NZ_ABFH02000001.1:2485354-2486826|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2      0.04        17    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABFH02000001.1_2276 # 2485354 # 2486826 # 1 # ID=5_2276;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:2485354-2486826|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   4.1e-11   1.7e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABFH02000001.1_2276 # 2485354 # 2486826 # 1 # ID=5_2276;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:2413518-2414423|+ -            302 182107at2            -            492   0.00019   18.0   0.1   1   1   6.7e-07   0.00028   17.4   0.1     5   157    12   175     9   185 0.75 NZ_ABFH02000001.1_2214 # 2413518 # 2414423 # 1 # ID=5_2214;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.519
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000171535.2_ASM17153v2_genomic/prodigal_output/predicted_genes/predicted.faa
