#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:4612717-4613178|+ -            154 1827295at2           -             74   8.8e-25   84.5   0.8   1   1   1.6e-26     4e-24   82.4   0.8     6    74    17   111    12   111 0.82 NC_016856.1_4299 # 4612717 # 4613178 # 1 # ID=1_4299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_016856.1:1110350-1112257|+ -            636 1827295at2           -             74   0.00027   18.9   0.1   1   2    0.0049       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NC_016856.1_1010 # 1110350 # 1112257 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NC_016856.1:1110350-1112257|+ -            636 1827295at2           -             74   0.00027   18.9   0.1   2   2    0.0014      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NC_016856.1_1010 # 1110350 # 1112257 # 1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NC_016856.1:4799133-4800089|- -            319 1827295at2           -             74   0.00051   18.0   0.1   1   2   5.7e-06    0.0014   16.6   0.1    10    31     6    27     2    34 0.88 NC_016856.1_4470 # 4799133 # 4800089 # -1 # ID=1_4470;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_016856.1:4799133-4800089|- -            319 1827295at2           -             74   0.00051   18.0   0.1   2   2       6.6   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NC_016856.1_4470 # 4799133 # 4800089 # -1 # ID=1_4470;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_016856.1:311894-314533|+   -            880 1827295at2           -             74   0.00065   17.7   0.1   1   2    0.0027      0.65    8.0   0.0    12    32   236   257   223   263 0.83 NC_016856.1_266 # 311894 # 314533 # 1 # ID=1_266;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NC_016856.1:311894-314533|+   -            880 1827295at2           -             74   0.00065   17.7   0.1   2   2    0.0062       1.5    6.9   0.0     8    32   606   635   595   641 0.78 NC_016856.1_266 # 311894 # 314533 # 1 # ID=1_266;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NC_016856.1:3656122-3656643|- -            174 1827295at2           -             74   0.00074   17.5   0.0   1   1   6.4e-06    0.0016   16.4   0.0    10    33     6    29     1    33 0.88 NC_016856.1_3468 # 3656122 # 3656643 # -1 # ID=1_3468;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.502
NC_016856.1:2856033-2858606|- -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2    0.0057       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NC_016856.1_2703 # 2856033 # 2858606 # -1 # ID=1_2703;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NC_016856.1:2856033-2858606|- -            858 1827295at2           -             74    0.0016   16.4   0.0   2   2    0.0088       2.2    6.4   0.0    11    30   601   620   586   625 0.87 NC_016856.1_2703 # 2856033 # 2858606 # -1 # ID=1_2703;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NC_016856.1:1023353-1024036|+ -            228 1827295at2           -             74    0.0024   15.8   0.1   1   1   1.9e-05    0.0045   14.9   0.1     9    35     6    32     1    54 0.87 NC_016856.1_923 # 1023353 # 1024036 # 1 # ID=1_923;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.557
