# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	132	326	-	ONMMKP_00005		RNAI modulator protein	RefSeq:WP_001041644.1, SO:0001217, UniParc:UPI00016C1C75, UniRef:UniRef100_A0A1Y2ZQD4, UniRef:UniRef50_A0A7U9DDM2, UniRef:UniRef90_G4VUV5
contig_1	oriT	364	589	?			origin of transfer	
contig_1	cds	598	921	+	ONMMKP_00010	mobA	plasmid mobilization protein MobA	GO:0006355, RefSeq:WP_000166966.1, SO:0001217, UniParc:UPI00000B8E45, UniRef:UniRef100_G4VUV6, UniRef:UniRef50_G4VUV6, UniRef:UniRef90_G4VUV6
contig_1	cds	1170	1874	-	ONMMKP_00015		Winged helix-turn-helix transcriptional regulator	RefSeq:WP_000805974.1, SO:0001217, UniParc:UPI00017F7892, UniRef:UniRef100_A0A853WIZ3, UniRef:UniRef50_A0A853WIZ3, UniRef:UniRef90_A0A853WIZ3
contig_1	cds	1877	2011	-	ONMMKP_00020		hypothetical protein	
contig_1	ncRNA	2554	2653	-	ONMMKP_00025	RNAI	RNAI	RFAM:RF00106, SO:0000655
contig_2	oriT	590	669	?			origin of transfer	
contig_2	cds	750	941	-	ONMMKP_00030	rop	Regulatory protein rop	GO:0042802, RefSeq:WP_000165985.1, SO:0001217, UniParc:UPI00000000E5, UniRef:UniRef100_P03051, UniRef:UniRef50_P03051, UniRef:UniRef90_P03051
contig_2	cds	973	1329	+	ONMMKP_00035	mbeC	Mobilization protein MbeC	GO:0003677, RefSeq:WP_000538661.1, SO:0001217, UniParc:UPI0001DC64C8, UniRef:UniRef100_P13657, UniRef:UniRef50_P13657, UniRef:UniRef90_P13657
contig_2	cds	2007	2525	+	ONMMKP_00040	mbeB	Mobilization protein MbeB	RefSeq:WP_000067500.1, SO:0001217, UniParc:UPI0000001574, UniRef:UniRef100_P13659, UniRef:UniRef50_P13659, UniRef:UniRef90_P13659
contig_2	cds	2532	2765	+	ONMMKP_00045	mbeD	MbeD family mobilization/exclusion protein	RefSeq:WP_000137445.1, SO:0001217, UniParc:UPI0000000949, UniRef:UniRef100_P13660, UniRef:UniRef50_P13660, UniRef:UniRef90_P13660
contig_2	cds	3100	3984	-	ONMMKP_00050		Small GTP-binding domain protein	RefSeq:WP_024133415.1, SO:0001217, UniParc:UPI00016C1B29, UniRef:UniRef100_A0A8G2GY92, UniRef:UniRef50_A0A1Y2SH64, UniRef:UniRef90_A0A8G2GY92
contig_2	cds	4020	4454	-	ONMMKP_00055		Prophage protein	RefSeq:WP_089650385.1, SO:0001217, UniParc:UPI000AE15022, UniRef:UniRef100_A0A736K3V3, UniRef:UniRef50_A0A826J7I4, UniRef:UniRef90_A0A826J7I4
contig_2	cds	4682	5494	-	ONMMKP_00060	ecsC	EcsC family protein	RefSeq:WP_000549944.1, SO:0001217, UniParc:UPI00016C19F9, UniRef:UniRef100_A0A827Z2W0, UniRef:UniRef50_A0A0C5DVH7, UniRef:UniRef90_A0A827Z2W0
contig_2	ncRNA	5688	5791	-	ONMMKP_00065	RNAI	RNAI	RFAM:RF00106, SO:0000655
contig_3	cds	66	623	-	ONMMKP_00070	fin	serine-type DNA invertase Fin	BlastRules:WP_001165559, COG:COG1961, COG:L, EC:3.1.22.-, EC:6.5.1.-, KEGG:K21528, RefSeq:WP_001165558.1, SO:0001217, UniParc:UPI00016C1013, UniRef:UniRef100_A0A627MYS0, UniRef:UniRef50_A0A4D0HW37, UniRef:UniRef90_A0A3Y4AYA1
contig_3	cds	653	1642	+	ONMMKP_00075		Tail protein	SO:0001217, UniRef:UniRef50_A0A4Z9MJU7, UniRef:UniRef90_A0A6C8EXF8
contig_3	cds	1642	2229	+	ONMMKP_00080		Tail fiber assembly protein	SO:0001217, UniParc:UPI00016C1010, UniRef:UniRef100_A0A5I0YJM1, UniRef:UniRef50_S4TUB9, UniRef:UniRef90_A0A3I8FY80
contig_3	cds	2233	2772	-	ONMMKP_00085		Tail fiber assembly like-protein	RefSeq:WP_000972188.1, SO:0001217, UniParc:UPI00016C1011, UniRef:UniRef100_A0A3Y1U3Z9, UniRef:UniRef50_G5RTX1, UniRef:UniRef90_G5RTX1
contig_3	cds	2775	3692	-	ONMMKP_00090		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A5Z6FKC1, UniRef:UniRef90_A0A3J4IIL5
contig_4	cds	37	510	-	ONMMKP_00095		Peptidase	RefSeq:WP_001219015.1, SO:0001217, UniParc:UPI00000CD193, UniRef:UniRef100_A0A5X0DD29, UniRef:UniRef50_A0A3Z7NSE5, UniRef:UniRef90_A0A2T8M946
contig_4	cds	1024	1197	-	ONMMKP_00100		Cytoplasmic protein	RefSeq:WP_000957535.1, SO:0001217, UniParc:UPI0001603DF2, UniRef:UniRef100_A0A8E6XZS2, UniRef:UniRef50_Q57MZ0, UniRef:UniRef90_Q57MZ0
contig_4	cds	1407	3137	-	ONMMKP_00105		Periplasmic protein	RefSeq:WP_000669108.1, SO:0001217, UniParc:UPI00016C1265, UniRef:UniRef100_A0A5V1RUC4, UniRef:UniRef50_A0A0R9PUQ5, UniRef:UniRef90_A0A0R9PUQ5
contig_4	cds	3194	5362	-	ONMMKP_00110		Tetratricopeptide repeat protein	SO:0001217, UniParc:UPI00016A153D, UniRef:UniRef100_A0A6C7HSE3, UniRef:UniRef50_A0A0E8XMD7, UniRef:UniRef90_A0A379NK39
contig_4	cds	5705	6403	-	ONMMKP_00115		Core-binding (CB) domain-containing protein	SO:0001217, UniParc:UPI00016C0819, UniRef:UniRef100_A0A0T9XC94, UniRef:UniRef50_A0A8D5C0H2, UniRef:UniRef90_A0A8D5C0H2
contig_4	ncRNA	6465	6594	-	ONMMKP_00120	EFASI	EFASI RNA	RFAM:RF02957, SO:0000655
contig_4	cds	6879	7352	-	ONMMKP_00125		Peptidase	RefSeq:WP_001219015.1, SO:0001217, UniParc:UPI00000CD193, UniRef:UniRef100_A0A5X0DD29, UniRef:UniRef50_A0A3Z7NSE5, UniRef:UniRef90_A0A2T8M946
contig_4	tRNA	7515	7590	-	ONMMKP_00130	trnN	tRNA-Asn(gtt)	SO:0000257
contig_4	tRNA	8485	8560	-	ONMMKP_00135	trnN	tRNA-Asn(gtt)	SO:0000257
contig_4	cds	8661	9458	-	ONMMKP_00140	mtfA	DgsA anti-repressor MtfA	COG:COG3228, COG:T, GO:0004177, GO:0005829, GO:0008237, RefSeq:WP_000598920.1, SO:0001217, UniParc:UPI00000CD192, UniRef:UniRef100_B5FL88, UniRef:UniRef50_A6TB83, UniRef:UniRef90_Q57N02
contig_4	tRNA	9547	9636	+	ONMMKP_00145	trnS	tRNA-Ser(cga)	SO:0000269
contig_4	cds	10227	10646	+	ONMMKP_00150	umuD	Protein UmuD	COG:COG1974, COG:KT, EC:3.4.21.-, GO:0003677, GO:0006281, GO:0006355, GO:0006508, GO:0008236, GO:0009432, KEGG:K03503, RefSeq:WP_000394197.1, SO:0001217, UniParc:UPI0000059C97, UniRef:UniRef100_A0A5J0RWL6, UniRef:UniRef50_P22493, UniRef:UniRef90_P22493
