#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:541919-542380|-   -            154 1827295at2           -             74   1.5e-24   83.7   1.3   1   1   2.9e-26   7.3e-24   81.6   1.3     8    74    20   111    12   111 0.82 NZ_ABFH02000001.1_498 # 541919 # 542380 # -1 # ID=5_498;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
NZ_ABFH02000002.1:993452-995359|-   -            636 1827295at2           -             74   0.00026   18.9   0.1   1   2    0.0047       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABFH02000002.1_1010 # 993452 # 995359 # -1 # ID=4_1010;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABFH02000002.1:993452-995359|-   -            636 1827295at2           -             74   0.00026   18.9   0.1   2   2    0.0013      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABFH02000002.1_1010 # 993452 # 995359 # -1 # ID=4_1010;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABFH02000001.1:355737-356693|+   -            319 1827295at2           -             74   0.00052   18.0   0.1   1   2   5.6e-06    0.0014   16.5   0.1    10    31     6    27     3    34 0.88 NZ_ABFH02000001.1_316 # 355737 # 356693 # 1 # ID=5_316;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFH02000001.1:355737-356693|+   -            319 1827295at2           -             74   0.00052   18.0   0.1   2   2       6.3   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABFH02000001.1_316 # 355737 # 356693 # 1 # ID=5_316;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABFH02000001.1:1528916-1529437|+ -            174 1827295at2           -             74   0.00073   17.5   0.0   1   1   6.1e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABFH02000001.1_1358 # 1528916 # 1529437 # 1 # ID=5_1358;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFH02000001.1:2382172-2384745|+ -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2    0.0054       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABFH02000001.1_2189 # 2382172 # 2384745 # 1 # ID=5_2189;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.531
NZ_ABFH02000001.1:2382172-2384745|+ -            858 1827295at2           -             74    0.0016   16.4   0.0   2   2    0.0084       2.1    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABFH02000001.1_2189 # 2382172 # 2384745 # 1 # ID=5_2189;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.531
NZ_ABFH02000002.1:1083271-1083954|- -            228 1827295at2           -             74    0.0024   15.8   0.1   1   1   1.8e-05    0.0045   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABFH02000002.1_1096 # 1083271 # 1083954 # -1 # ID=4_1096;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.553
NZ_ABFH02000001.1:1037981-1039486|- -            502 1827295at2           -             74    0.0027   15.7   0.4   1   2    0.0042       1.1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABFH02000001.1_923 # 1037981 # 1039486 # -1 # ID=5_923;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABFH02000001.1:1037981-1039486|- -            502 1827295at2           -             74    0.0027   15.7   0.4   2   2     0.012         3    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABFH02000001.1_923 # 1037981 # 1039486 # -1 # ID=5_923;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABFH02000002.1:1124182-1126458|- -            759 1827295at2           -             74    0.0027   15.6   0.1   1   2      0.02       5.2    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABFH02000002.1_1128 # 1124182 # 1126458 # -1 # ID=4_1128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABFH02000002.1:1124182-1126458|- -            759 1827295at2           -             74    0.0027   15.6   0.1   2   2    0.0031      0.79    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABFH02000002.1_1128 # 1124182 # 1126458 # -1 # ID=4_1128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.540
NZ_ABFH02000002.1:1222710-1224446|+ -            579 1827295at2           -             74    0.0032   15.4   0.7   1   2    0.0015      0.39    8.7   0.1    10    31    35    56    18    63 0.83 NZ_ABFH02000002.1_1223 # 1222710 # 1224446 # 1 # ID=4_1223;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
