#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:2778325-2780124|- -            600 182107at2            -            492  6.7e-222  735.2   6.4   1   1  1.8e-222  7.6e-220  728.5   6.4     1   491     4   594     4   595 0.89 NC_016856.1_2623 # 2778325 # 2780124 # -1 # ID=1_2623;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NC_016856.1:4230968-4232791|+ -            608 182107at2            -            492   3.2e-44  149.2   3.4   1   2   1.5e-41   6.5e-39  131.7   1.9     1   231     5   278     5   286 0.76 NC_016856.1_3973 # 4230968 # 4232791 # 1 # ID=1_3973;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_016856.1:4230968-4232791|+ -            608 182107at2            -            492   3.2e-44  149.2   3.4   2   2   1.4e-06   0.00059   16.4   0.0   261   350   341   424   312   430 0.80 NC_016856.1_3973 # 4230968 # 4232791 # 1 # ID=1_3973;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_016856.1:3613416-3615530|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   1   4   4.8e-24     2e-21   74.0   0.0     2   134    11   168    10   201 0.79 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   2   4     0.049        21    1.4   0.0   118   160   246   291   239   305 0.76 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   3   4   2.1e-09   9.1e-07   25.7   0.0   157   314   312   491   295   504 0.69 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 182107at2            -            492   8.8e-33  111.5   0.1   4   4     0.026        11    2.3   0.0   322   351   612   641   601   691 0.71 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3466794-3469472|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   1   2   2.5e-28     1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NC_016856.1_3271 # 3466794 # 3469472 # -1 # ID=1_3271;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NC_016856.1:3466794-3469472|- -            893 182107at2            -            492   5.5e-26   89.0   0.6   2   2       1.3   5.5e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NC_016856.1_3271 # 3466794 # 3469472 # -1 # ID=1_3271;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NC_016856.1:4826721-4828310|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   3.6e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NC_016856.1_4497 # 4826721 # 4828310 # 1 # ID=1_4497;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_016856.1:4826721-4828310|+ -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2   6.9e-05     0.029   10.8   0.1   220   312   372   469   202   483 0.70 NC_016856.1_4497 # 4826721 # 4828310 # 1 # ID=1_4497;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
