Assembly	GCF_000020925.1_ASM2092v1_genomic
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	4917459
Total length (>= 1000 bp)	4917459
Total length (>= 5000 bp)	4917459
Total length (>= 10000 bp)	4917459
Total length (>= 25000 bp)	4917459
Total length (>= 50000 bp)	4917459
# contigs	2
Largest contig	4842908
Total length	4917459
GC (%)	52.13
N50	4842908
N90	4842908
auN	4770617.5
L50	1
L90	1
# N's per 100 kbp	0.00
