#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000006.1:187233-189032|+ -            600 182107at2            -            492    6e-222  735.2   6.4   1   1  1.5e-222  6.9e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABEH02000006.1_180 # 187233 # 189032 # 1 # ID=14_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NZ_ABEH02000008.1:120206-122029|+ -            608 182107at2            -            492   2.5e-44  149.4   3.4   1   2   1.1e-41     5e-39  131.9   1.9     1   232     5   279     5   287 0.76 NZ_ABEH02000008.1_105 # 120206 # 122029 # 1 # ID=12_105;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEH02000008.1:120206-122029|+ -            608 182107at2            -            492   2.5e-44  149.4   3.4   2   2   1.1e-06   0.00053   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABEH02000008.1_105 # 120206 # 122029 # 1 # ID=12_105;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEH02000003.1:472326-475004|- -            893 182107at2            -            492     5e-26   89.0   0.6   1   2     2e-28   9.5e-26   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABEH02000003.1_446 # 472326 # 475004 # -1 # ID=17_446;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEH02000003.1:472326-475004|- -            893 182107at2            -            492     5e-26   89.0   0.6   2   2       1.1     5e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABEH02000003.1_446 # 472326 # 475004 # -1 # ID=17_446;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEH02000001.1:355525-357114|+ -            530 182107at2            -            492   1.4e-23   80.9   0.5   1   2   2.9e-21   1.4e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABEH02000001.1_323 # 355525 # 357114 # 1 # ID=19_323;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABEH02000001.1:355525-357114|+ -            530 182107at2            -            492   1.4e-23   80.9   0.5   2   2   5.7e-05     0.026   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABEH02000001.1_323 # 355525 # 357114 # 1 # ID=19_323;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABEH02000019.1:234-1172|+      -            313 182107at2            -            492   2.7e-13   47.1   0.1   1   1   1.3e-15     6e-13   45.9   0.1     3   201    14   250    13   278 0.69 NZ_ABEH02000019.1_1 # 234 # 1172 # 1 # ID=1_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABEH02000004.1:219919-221769|+ -            617 182107at2            -            492   1.7e-12   44.4   0.0   1   1   5.3e-15   2.5e-12   43.9   0.0     8   196     7   209     1   218 0.78 NZ_ABEH02000004.1_207 # 219919 # 221769 # 1 # ID=16_207;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NZ_ABEH02000003.1:100375-101814|- -            480 182107at2            -            492   3.7e-11   40.0   0.1   1   2      0.14        67   -0.4   0.0     8    24    34    50    29    58 0.80 NZ_ABEH02000003.1_107 # 100375 # 101814 # -1 # ID=17_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABEH02000003.1:100375-101814|- -            480 182107at2            -            492   3.7e-11   40.0   0.1   2   2   4.2e-13     2e-10   37.6   0.0    25   122    80   182    63   195 0.81 NZ_ABEH02000003.1_107 # 100375 # 101814 # -1 # ID=17_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABEH02000006.1:262683-264155|+ -            491 182107at2            -            492   1.1e-09   35.2   0.0   1   2     0.033        15    1.7   0.0    66   152    73   159     5   173 0.68 NZ_ABEH02000006.1_245 # 262683 # 264155 # 1 # ID=14_245;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000006.1:262683-264155|+ -            491 182107at2            -            492   1.1e-09   35.2   0.0   2   2   3.4e-11   1.6e-08   31.3   0.1     5   158   206   375   203   388 0.73 NZ_ABEH02000006.1_245 # 262683 # 264155 # 1 # ID=14_245;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEH02000006.1:190974-191879|+ -            302 182107at2            -            492   0.00017   18.0   0.1   1   1   5.4e-07   0.00026   17.4   0.1     5   157    12   175     9   185 0.75 NZ_ABEH02000006.1_183 # 190974 # 191879 # 1 # ID=14_183;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.521
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /output/GCF_000171255.1_ASM17125v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171255.1_ASM17125v1_genomic/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /output/GCF_000171255.1_ASM17125v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:51:56 2026
# [ok]
