#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:4532549-4533010|+ -            154 1827295at2           -             74   9.9e-25   84.3   0.9   1   1   1.8e-26   4.5e-24   82.2   0.9     6    74    17   111    12   111 0.82 NC_011149.1_4196 # 4532549 # 4533010 # 1 # ID=1_4196;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_011149.1:1021555-1023462|+ -            636 1827295at2           -             74   0.00026   18.9   0.1   1   2    0.0047       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NC_011149.1_919 # 1021555 # 1023462 # 1 # ID=1_919;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NC_011149.1:1021555-1023462|+ -            636 1827295at2           -             74   0.00026   18.9   0.1   2   2    0.0013      0.33    8.9   0.1     8    33   344   370   332   374 0.81 NC_011149.1_919 # 1021555 # 1023462 # 1 # ID=1_919;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NC_011149.1:4735317-4736273|- -            319 1827295at2           -             74    0.0005   18.0   0.1   1   2   5.6e-06    0.0014   16.5   0.1    10    31     6    27     3    34 0.88 NC_011149.1_4395 # 4735317 # 4736273 # -1 # ID=1_4395;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:4735317-4736273|- -            319 1827295at2           -             74    0.0005   18.0   0.1   2   2       6.3   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NC_011149.1_4395 # 4735317 # 4736273 # -1 # ID=1_4395;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:3558862-3559383|- -            174 1827295at2           -             74   0.00072   17.5   0.0   1   1   6.1e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NC_011149.1_3346 # 3558862 # 3559383 # -1 # ID=1_3346;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.500
NC_011149.1:2715551-2718124|- -            858 1827295at2           -             74    0.0015   16.4   0.0   1   2    0.0054       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NC_011149.1_2520 # 2715551 # 2718124 # -1 # ID=1_2520;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.531
NC_011149.1:2715551-2718124|- -            858 1827295at2           -             74    0.0015   16.4   0.0   2   2    0.0084       2.1    6.4   0.0    11    30   601   620   586   625 0.87 NC_011149.1_2520 # 2715551 # 2718124 # -1 # ID=1_2520;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.531
NC_011149.1:980378-981061|+   -            228 1827295at2           -             74    0.0024   15.8   0.1   1   1   1.8e-05    0.0044   14.9   0.1     9    35     6    32     1    54 0.87 NC_011149.1_889 # 980378 # 981061 # 1 # ID=1_889;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NC_011149.1:4009773-4011278|+ -            502 1827295at2           -             74    0.0026   15.7   0.4   1   2    0.0042         1    7.3   0.1     8    28    27    50    17    57 0.80 NC_011149.1_3744 # 4009773 # 4011278 # 1 # ID=1_3744;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.534
NC_011149.1:4009773-4011278|+ -            502 1827295at2           -             74    0.0026   15.7   0.4   2   2     0.012       2.9    5.9   0.0     9    31   279   301   269   307 0.80 NC_011149.1_3744 # 4009773 # 4011278 # 1 # ID=1_3744;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.534
NC_011149.1:936720-938996|+   -            759 1827295at2           -             74    0.0027   15.6   0.1   1   2      0.02       5.1    5.1   0.0    12    31   211   230   197   237 0.82 NC_011149.1_856 # 936720 # 938996 # 1 # ID=1_856;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.545
