Accession Number,Complete percentage,Complete BUSCOs,Single copy percentage,Single copy BUSCOs,Multi copy percentage,Multi copy BUSCOs,Fragmented percentage,Fragmented BUSCOs,Missing percentage,Missing BUSCOs,n_markers,domain,Number of scaffolds,Number of contigs,Total length,Percent gaps,Scaffold N50,Contigs N50,translation_table
GCF_000171415.1,98.4,122,98.4,122,0.0,0,1.6,2,0.0,0,124,prokaryota,63,63,4948011,0.000%,484233,484233,11
GCF_000171535.2,100.0,124,100.0,124,0.0,0,0.0,0,0.0,0,124,prokaryota,5,5,4876885,0.000%,3027433,3027433,11
GCF_000007545.1,100.0,124,100.0,124,0.0,0,0.0,0,0.0,0,124,prokaryota,1,1,4791961,0.000%,4791961,4791961,11
GCF_000020925.1,98.4,122,98.4,122,0.0,0,0.0,0,1.6,2,124,prokaryota,2,2,4917459,0.000%,4842908,4842908,11
GCF_000170215.1,98.4,122,98.4,122,0.0,0,0.0,0,1.6,2,124,prokaryota,2,2,4726474,0.000%,4719855,4719855,11
GCF_000170255.1,69.4,86,69.4,86,0.0,0,5.6,7,25.0,31,124,prokaryota,113,113,4895918,0.000%,103713,103713,11
GCF_000171255.1,80.6,100,80.6,100,0.0,0,1.6,2,17.7,22,124,prokaryota,19,19,4546142,0.000%,471765,471765,11
GCF_000171275.1,67.7,84,67.7,84,0.0,0,7.3,9,25.0,31,124,prokaryota,53,53,4696566,0.000%,233156,233156,11
GCF_000171315.1,67.7,84,67.7,84,0.0,0,5.6,7,26.6,33,124,prokaryota,48,48,4728232,0.000%,308442,308442,11
GCF_000171515.1,93.5,116,93.5,116,0.0,0,0.8,1,5.6,7,124,prokaryota,50,50,4793325,0.000%,370713,370713,11
GCF_000020745.1,98.4,122,98.4,122,0.0,0,0.0,0,1.6,2,124,prokaryota,3,3,4823887,0.000%,4709075,4709075,11
GCF_000020885.1,99.2,123,99.2,123,0.0,0,0.0,0,0.8,1,124,prokaryota,2,2,4836638,0.000%,4798660,4798660,11
GCF_000022165.1,98.4,122,98.4,122,0.0,0,0.0,0,1.6,2,124,prokaryota,2,2,4964097,0.000%,4870265,4870265,11
