"Gene","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"AJBGEP_01730",1,1,0,0,1,0,1,1,1
"AJBGEP_01735",1,1,1,0,1,0,1,1,1
"AJBGEP_01740",1,1,1,0,1,0,1,1,1
"AJBGEP_01745",1,1,1,0,1,0,1,1,1
"AJBGEP_01750",1,1,1,0,1,0,1,1,1
"AJBGEP_01755",1,1,1,0,1,0,1,1,1
"AJBGEP_01760",1,1,1,0,1,0,1,1,1
"AJBGEP_01765",1,1,1,0,1,0,1,1,1
"AJBGEP_01770",1,1,1,0,1,0,1,1,1
"AJBGEP_01850",1,1,1,0,1,1,1,1,1
"AJBGEP_01855",1,1,1,0,1,1,1,1,1
"AJBGEP_01865",1,1,1,0,1,1,1,1,1
"AJBGEP_01960",1,0,1,0,1,0,1,1,1
"AJBGEP_03700",1,0,0,1,1,1,1,1,0
"AJBGEP_03705",1,0,0,1,1,1,1,1,0
"AJBGEP_03710",1,0,0,1,1,1,1,1,0
"AJBGEP_03715",1,0,0,1,1,1,1,1,0
"AJBGEP_03720",1,0,0,1,1,1,1,1,0
"AJBGEP_03725",1,0,0,1,1,1,1,1,0
"AJBGEP_03730",1,0,0,1,1,1,1,1,0
"AJBGEP_03735",1,0,0,1,1,1,1,1,0
"AJBGEP_03750",1,0,0,1,1,1,1,1,0
"AJBGEP_03755",1,0,0,1,1,1,1,1,0
"AJBGEP_03935",1,1,1,0,1,0,1,1,1
"AJBGEP_03945",1,1,1,0,1,0,1,1,1
"AJBGEP_03950",1,1,1,0,1,0,1,1,1
"AJBGEP_04025",1,1,1,1,1,1,0,1,1
"AJBGEP_04175",1,1,1,1,0,1,1,1,1
"AJBGEP_04180",1,1,1,1,1,0,1,1,1
"AJBGEP_04185",1,1,1,0,1,1,1,1,1
"AJBGEP_05265",1,1,0,0,0,0,0,1,0
"AJBGEP_05275",1,1,0,0,0,0,0,1,0
"AJBGEP_05280",1,1,0,0,0,0,0,1,0
"AJBGEP_05290",1,1,1,1,1,1,1,1,0
"AJBGEP_05340",1,1,1,1,1,1,1,1,0
"AJBGEP_05345",1,1,1,1,1,1,1,1,0
"AJBGEP_05400",1,1,1,0,1,1,1,1,1
"AJBGEP_05430",1,1,1,1,1,0,1,1,1
"AJBGEP_05455",1,1,1,0,1,1,1,1,1
"AJBGEP_05540",1,1,0,0,1,1,1,1,1
"AJBGEP_05630",1,1,0,1,1,1,1,1,1
"AJBGEP_05640",1,1,0,1,1,1,1,1,1
"AJBGEP_05645",1,1,0,1,1,1,1,1,1
"AJBGEP_05655",1,1,0,1,1,1,1,1,1
"AJBGEP_05660",1,1,0,1,1,1,1,1,1
"AJBGEP_05665",1,1,0,1,1,1,1,1,1
"AJBGEP_07605",1,1,0,0,1,1,1,1,1
"AJBGEP_09965",1,1,1,0,1,1,1,1,1
"AJBGEP_10145",1,0,0,0,0,0,0,0,0
"AJBGEP_10160",1,1,1,0,1,1,1,1,1
"AJBGEP_10195",1,1,1,1,1,1,1,0,1
"AJBGEP_10240",1,1,0,1,0,1,1,0,1
"AJBGEP_10305",1,0,0,1,1,1,1,1,1
"AJBGEP_10495",1,0,0,1,1,1,1,1,1
"AJBGEP_10500",1,0,0,1,1,1,1,1,1
"AJBGEP_12725",1,1,0,1,1,0,1,1,1
"AJBGEP_12730",1,1,0,1,1,0,1,1,1
"AJBGEP_14800",1,1,1,0,1,1,1,1,1
"AJBGEP_17160",1,0,0,1,1,0,0,1,1
"AJBGEP_17165",1,0,0,1,1,0,0,1,1
"AJBGEP_17175",1,0,0,1,1,0,0,1,1
"AJBGEP_17265",1,1,1,0,1,0,0,0,0
"AJBGEP_17270",1,1,1,0,1,0,0,0,0
"AJBGEP_17345",1,0,1,0,1,0,0,1,1
"AJBGEP_19145",1,1,1,0,1,0,1,1,1
"AJBGEP_19160",1,1,1,0,1,0,1,1,1
"AJBGEP_19165",1,1,1,0,1,0,1,1,1
"AJBGEP_19170",1,1,1,0,1,0,1,1,1
"AJBGEP_19175",1,1,0,0,1,0,0,1,1
"AJBGEP_19240",1,1,1,1,1,1,0,1,0
"AJBGEP_19460",1,1,1,1,1,0,1,1,1
"AJBGEP_19465",1,1,1,1,1,0,1,1,1
"AJBGEP_19470",1,1,1,1,1,0,1,1,1
"AJBGEP_21215",1,1,1,0,1,1,1,1,1
"AJBGEP_21220",1,1,1,0,1,1,1,1,1
"AJBGEP_21250",1,1,1,1,1,0,1,1,1
"AJBGEP_21575",1,1,1,0,1,0,1,1,1
"AJBGEP_21580",1,1,1,0,1,0,1,1,1
"AJBGEP_21605",1,1,1,0,1,0,1,1,1
"AJBGEP_21620",1,1,0,0,1,0,0,1,1
"AJBGEP_21625",1,1,0,0,1,0,0,1,1
"AJBGEP_21630",1,1,0,0,1,0,0,1,1
"AJBGEP_21635",1,1,0,0,1,0,0,1,1
"AJBGEP_21640",1,1,0,0,1,0,0,1,1
"AJBGEP_21645",1,1,0,0,1,0,0,1,1
"AJBGEP_22915",1,1,1,1,1,0,1,1,1
"AJBGEP_22975",1,1,1,0,1,1,1,1,1
"AJBGEP_23000",1,1,0,1,1,0,1,1,1
"AJBGEP_23030",1,1,1,1,1,1,1,1,0
"AJBGEP_23140",1,0,1,0,1,0,1,0,1
"AJBGEP_23145",1,0,1,0,1,0,1,0,1
"AJBGEP_23150",1,0,1,0,1,0,1,0,1
"AJBGEP_23155",1,0,0,0,0,0,0,0,1
"AJBGEP_23165",1,0,1,0,1,0,1,0,1
"AJBGEP_23170",1,0,1,0,1,0,1,0,1
"AJBGEP_23175",1,0,1,0,1,0,1,0,1
"AJBGEP_23180",1,0,1,0,1,0,1,0,1
"AJBGEP_23185",1,0,1,0,1,0,1,0,1
"AJBGEP_23190",1,0,1,0,1,0,1,0,1
"AJBGEP_23195",1,0,1,0,1,0,1,0,1
"AJBGEP_23200",1,0,1,0,1,0,1,0,1
"AJBGEP_23205",1,0,1,0,1,0,1,0,1
"AJBGEP_23210",1,0,1,0,1,0,1,0,1
"AJBGEP_23215",1,0,1,0,1,0,1,0,1
"AJBGEP_23220",1,0,1,0,1,0,1,0,1
"AJBGEP_23225",1,0,1,0,1,0,1,0,1
"AJBGEP_23230",1,0,1,0,1,0,1,0,1
"AJBGEP_23295",1,1,0,1,1,1,1,1,1
"AJBGEP_23300",1,1,0,1,1,1,1,1,1
"AJBGEP_23910",1,0,0,1,1,1,0,0,0
"AJBGEP_23940",1,0,1,0,1,0,1,1,1
"AJBGEP_23945",1,0,1,0,1,0,1,1,1
"AJBGEP_23950",1,0,1,0,1,0,1,1,1
"AJBGEP_23955",1,0,1,0,1,0,1,1,1
"AJBGEP_23960",1,0,1,0,1,0,1,1,1
"AJBGEP_24005",1,1,1,0,1,1,1,1,1
"ODDLKH_11795",1,0,0,0,1,0,0,0,1
"ODDLKH_11820",1,0,0,0,1,0,1,1,1
"ODDLKH_13670",1,0,0,0,1,0,0,0,0
"ODDLKH_13675",1,0,0,0,1,0,0,0,0
"ODDLKH_13680",1,0,0,0,1,0,0,0,0
"ODDLKH_13695",1,0,0,0,1,0,0,0,0
"ODDLKH_13700",1,0,0,0,1,0,0,0,0
"ODDLKH_13705",1,0,0,0,1,0,0,0,0
"ODDLKH_13710",1,0,0,0,1,0,0,0,0
"ODDLKH_13725",1,0,0,0,1,0,0,0,0
"ODDLKH_15785",1,0,1,0,1,0,0,0,0
"ODDLKH_15790",1,0,0,0,1,0,0,0,0
"ODDLKH_15795",1,0,0,0,1,0,0,0,0
"ODDLKH_15800",1,0,0,0,1,0,0,0,0
"ODDLKH_15805",1,0,0,0,1,0,0,0,0
"ODDLKH_15810",1,0,0,0,1,0,0,0,0
"ODDLKH_15815",1,0,0,0,1,0,0,0,0
"ODDLKH_15820",1,0,0,0,1,0,0,0,0
"ODDLKH_15825",1,0,0,0,1,0,0,0,0
"ODDLKH_15830",1,0,0,0,1,0,0,0,0
"ODDLKH_15840",1,0,0,0,1,0,0,0,0
"ODDLKH_15845",1,0,0,0,1,0,0,0,0
"ODDLKH_15850",1,0,0,0,1,0,0,0,0
"ODDLKH_15855",1,0,0,0,1,0,0,0,0
"ODDLKH_15860",1,0,0,0,1,0,0,0,0
"ODDLKH_15865",1,0,0,0,1,0,0,0,0
"ODDLKH_15870",1,0,0,0,1,0,0,0,0
"ODDLKH_15875",1,0,0,0,1,0,0,0,0
"ODDLKH_15880",1,0,0,0,1,0,0,0,0
"ODDLKH_15885",1,0,0,0,1,0,0,0,0
"ODDLKH_15890",1,0,0,0,1,0,0,0,0
"ODDLKH_15900",1,0,0,0,1,0,0,0,0
"ODDLKH_15905",1,0,1,0,1,0,0,0,0
"ODDLKH_15910",1,0,0,0,1,0,0,0,0
"ODDLKH_15920",1,0,0,0,1,0,0,0,0
"ODDLKH_15925",1,1,0,0,1,0,0,0,0
"ODDLKH_15940",1,0,0,0,1,0,0,0,0
"ODDLKH_15945",1,0,0,0,1,0,0,0,0
"ODDLKH_19630",0,0,1,1,1,0,1,0,1
"ODDLKH_19830",1,1,1,0,1,0,0,1,0
"ODDLKH_19895",1,1,1,0,1,1,1,1,1
"ODDLKH_22000",1,1,1,0,1,0,1,1,1
"LNHIMF_00950",0,0,0,0,0,1,0,0,0
"LNHIMF_00955",0,0,0,0,0,1,0,0,0
"LNHIMF_00960",0,0,0,0,0,1,0,0,0
"LNHIMF_00965",0,0,0,1,0,1,0,0,0
"LNHIMF_00975",0,0,0,0,0,1,0,0,0
"LNHIMF_00980",0,0,0,0,0,1,0,0,0
"LNHIMF_01090",0,1,0,0,0,1,0,0,0
"LNHIMF_03355",0,0,0,0,0,1,0,0,0
"LNHIMF_03360",0,0,0,0,0,1,0,0,0
"LNHIMF_03365",0,0,0,0,0,1,0,0,0
"LNHIMF_03370",0,0,0,0,0,1,0,0,0
"LNHIMF_03375",0,0,0,0,0,1,0,0,0
"LNHIMF_03380",0,0,0,0,0,1,0,0,0
"LNHIMF_03385",0,0,0,0,0,1,0,0,0
"LNHIMF_03390",0,0,0,0,0,1,0,0,0
"LNHIMF_03395",0,0,0,0,0,1,0,0,0
"LNHIMF_03455",0,0,0,0,0,1,0,0,0
"LNHIMF_03465",0,0,0,1,0,1,0,0,0
"LNHIMF_03470",0,0,0,0,0,1,0,0,0
"LNHIMF_03475",0,0,0,0,0,1,0,0,0
"LNHIMF_03480",0,0,0,0,0,1,0,0,0
"LNHIMF_03495",0,0,0,0,0,1,0,0,0
"LNHIMF_03500",0,0,0,0,0,1,0,0,0
"LNHIMF_03505",0,0,0,0,0,1,0,0,0
"LNHIMF_03510",0,0,0,0,0,1,0,0,0
"LNHIMF_03515",0,0,0,0,0,1,0,0,0
"LNHIMF_03520",0,0,0,0,0,1,0,0,0
"LNHIMF_03525",0,0,0,1,0,1,0,0,0
"LNHIMF_03535",0,0,1,1,0,1,0,0,0
