gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors	RGP	Spot	Module
PKJKAM_00005	contig_1	249	617	+	PKJKAM_00005	1	cloud	0	0	0			
PKJKAM_00010	contig_2	256	774	+	PKJKAM_00010	1	cloud	0	0	0			
PKJKAM_00015	contig_4	29	424	+	AJBGEP_05950	1	persistent	4	0	0			
PKJKAM_00020	contig_4	496	720	-	AJBGEP_05945	1	persistent	2	0	0			
PKJKAM_00040	contig_7	460	855	-	PKJKAM_00040	1	cloud	0	0	0			
PKJKAM_00070	contig_11	526	879	+	BEJGEH_09820	1	shell	0	2	0			
PKJKAM_00075	contig_11	813	1214	-	AJBGEP_04710	4	shell	10	2	4			
PKJKAM_00080	contig_12	343	780	-	AJBGEP_21970	2	persistent	3	0	0			
PKJKAM_00085	contig_13	916	1089	-	AJBGEP_05965	1	persistent	2	0	0			
PKJKAM_00100	contig_16	159	629	+	AJBGEP_05605	2	persistent	3	0	0			
PKJKAM_00105	contig_16	876	1220	-	AJBGEP_05505	2	persistent	3	0	0			
PKJKAM_00110	contig_16	1222	1485	-	AJBGEP_05500	2	persistent	2	0	0			
PKJKAM_00120	contig_18	255	779	-	HFCAGB_16595	2	persistent	3	0	1			
PKJKAM_00125	contig_18	1198	1452	+	IKCLMC_21515	2	cloud	1	1	1			
PKJKAM_00130	contig_19	131	676	-	AJBGEP_21800	1	persistent	2	0	0			
PKJKAM_00135	contig_19	678	1061	-	AJBGEP_21795	1	persistent	2	0	0			
PKJKAM_00140	contig_19	1291	2022	-	AJBGEP_18145	2	persistent	4	0	0			
PKJKAM_00145	contig_20	62	814	-	PKJKAM_00145	1	cloud	0	0	1			
PKJKAM_00155	contig_20	1048	1686	+	GEGEGB_23080	2	cloud	0	0	3			
PKJKAM_00160	contig_20	1713	1934	+	GEGEGB_23080	2	cloud	0	0	3			
PKJKAM_00165	contig_20	2515	2943	-	GEGEGB_23095	1	cloud	2	0	3			
PKJKAM_00170	contig_21	149	583	-	PKJKAM_00170	1	cloud	1	0	0			
PKJKAM_00175	contig_21	951	1271	+	AJBGEP_05045	1	persistent	0	0	11			
PKJKAM_00180	contig_21	1362	2339	+	AJBGEP_05050	1	cloud	1	0	1			
PKJKAM_00185	contig_21	2342	3091	+	AJBGEP_05055	1	cloud	0	0	2			
PKJKAM_00195	contig_22	705	1412	-	AJBGEP_16450	1	persistent	2	0	3			
PKJKAM_00200	contig_22	1837	3972	+	AJBGEP_16445	1	persistent	2	0	2			
PKJKAM_00205	contig_22	4034	4300	-	BEJGEH_15640	1	persistent	2	0	1			
PKJKAM_00210	contig_23	662	1108	-	PKJKAM_00210	2	cloud	0	0	3	GCF_000171515.1_contig_23_RGP_0		
PKJKAM_00215	contig_23	1280	3139	+	PKJKAM_00215	1	cloud	0	0	2	GCF_000171515.1_contig_23_RGP_0		
PKJKAM_00220	contig_23	3683	4702	+	LNHIMF_23945	1	cloud	0	0	3	GCF_000171515.1_contig_23_RGP_0		
PKJKAM_00225	contig_23	4963	5127	-	PKJKAM_00210	2	cloud	0	0	3	GCF_000171515.1_contig_23_RGP_0		
PKJKAM_00230	contig_24	65	613	+	AJBGEP_20100	3	persistent	3	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00235	contig_24	613	1269	+	AJBGEP_12110	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00240	contig_24	1312	2058	+	AJBGEP_12105	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00245	contig_24	2055	2267	+	AJBGEP_12100	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00250	contig_24	2264	2743	+	HFCAGB_12560	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00255	contig_24	2740	4671	+	AJBGEP_12090	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00260	contig_24	4668	5225	+	AJBGEP_12085	3	persistent	2	0	0	GCF_000171515.1_contig_24_RGP_0		module_24
PKJKAM_00265	contig_25	924	1199	+	PKJKAM_00265	1	cloud	1	0	0			
PKJKAM_00270	contig_25	1192	2130	-	AJBGEP_11865	1	persistent	2	0	1			
PKJKAM_00275	contig_25	2130	3260	-	AJBGEP_11870	1	persistent	3	0	0			
PKJKAM_00280	contig_25	3328	3435	-	AJBGEP_11875	1	persistent	2	0	0			
PKJKAM_00285	contig_25	3629	4810	+	AJBGEP_11880	1	persistent	3	0	0			
PKJKAM_00290	contig_25	4875	5540	-	AJBGEP_11885	1	persistent	2	0	0			
PKJKAM_00295	contig_25	6052	6306	-	HFCAGB_12405	1	persistent	2	0	0			
PKJKAM_00300	contig_26	205	411	+	PKJKAM_00300	1	cloud	1	0	0			
PKJKAM_00305	contig_26	573	2333	+	AJBGEP_05335	1	persistent	2	0	1			
PKJKAM_00310	contig_26	2402	2920	+	AJBGEP_05330	1	persistent	2	0	0			
PKJKAM_00315	contig_26	3443	4006	-	AJBGEP_05325	1	persistent	2	0	0			
PKJKAM_00320	contig_26	4003	5643	-	AJBGEP_05320	1	persistent	2	0	0			
PKJKAM_00325	contig_26	5648	6901	-	AJBGEP_05315	1	persistent	2	0	0			
PKJKAM_00330	contig_26	6916	8823	-	AJBGEP_05310	1	persistent	2	0	0			
PKJKAM_00335	contig_26	8836	10944	-	AJBGEP_05305	1	persistent	2	0	0			
PKJKAM_00340	contig_26	11043	12152	+	AJBGEP_05300	1	persistent	2	0	0			
PKJKAM_00345	contig_26	12149	12691	-	AJBGEP_05295	1	persistent	2	0	0			
PKJKAM_00350	contig_27	58	477	+	AJBGEP_07550	1	persistent	2	0	0			
PKJKAM_00355	contig_27	474	1499	-	AJBGEP_07555	1	persistent	2	0	0			
PKJKAM_00365	contig_27	1795	1884	+	AJBGEP_07565	1	persistent	2	0	0			
PKJKAM_00370	contig_27	1967	2548	-	BEJGEH_08270	1	persistent	2	0	0			
