#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000004.1:168244-168723|- -            160 1846503at2           -            110   5.4e-38  127.4   0.2   1   1   4.3e-39     4e-36  121.3   0.2     1   108     3   137     3   139 0.87 NZ_ABEW01000004.1_156 # 168244 # 168723 # -1 # ID=60_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABEW01000003.1:309819-311051|- -            411 1846503at2           -            110   4.3e-06   24.7   0.1   1   3     2e-07   0.00019   19.4   0.0     2    37    66   101    65   138 0.88 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000003.1:309819-311051|- -            411 1846503at2           -            110   4.3e-06   24.7   0.1   2   3     0.042        40    2.3   0.0     8    31   283   306   276   315 0.87 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000003.1:309819-311051|- -            411 1846503at2           -            110   4.3e-06   24.7   0.1   3   3       3.1   2.9e+03   -3.8   0.0    47    61   369   383   367   385 0.82 NZ_ABEW01000003.1_269 # 309819 # 311051 # -1 # ID=61_269;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABEW01000005.1:452859-453509|- -            217 1846503at2           -            110   0.00076   17.5   0.0   1   2   3.3e-06    0.0031   15.5   0.0     2    28     8    34     7    44 0.81 NZ_ABEW01000005.1_449 # 452859 # 453509 # -1 # ID=59_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEW01000005.1:452859-453509|- -            217 1846503at2           -            110   0.00076   17.5   0.0   2   2      0.47   4.4e+02   -1.1   0.0    88   105   172   189   164   193 0.84 NZ_ABEW01000005.1_449 # 452859 # 453509 # -1 # ID=59_449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEW01000002.1:201019-202452|+ -            478 1846503at2           -            110    0.0028   15.6   0.0   1   1   7.3e-06    0.0069   14.4   0.0     3    39   343   379   341   386 0.88 NZ_ABEW01000002.1_188 # 201019 # 202452 # 1 # ID=62_188;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NZ_ABEW01000003.1:219742-220710|- -            323 1846503at2           -            110     0.011   13.7   0.0   1   2   3.1e-05      0.03   12.3   0.0    10    49   133   178   127   194 0.83 NZ_ABEW01000003.1_192 # 219742 # 220710 # -1 # ID=61_192;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABEW01000003.1:219742-220710|- -            323 1846503at2           -            110     0.011   13.7   0.0   2   2       1.8   1.7e+03   -3.0   0.0    93   107   277   291   267   293 0.74 NZ_ABEW01000003.1_192 # 219742 # 220710 # -1 # ID=61_192;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000171415.1_ASM17141v1_genomic/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm /output/GCF_000171415.1_ASM17141v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:53:26 2026
# [ok]
