representative_rgp	representative_rgp_genome	identical_rgp	identical_rgp_genome
GCF_000020885.1_contig_1_RGP_22	GCF_000020885.1	GCF_000020885.1_contig_1_RGP_22	GCF_000020885.1
GCF_000020885.1_contig_1_RGP_22	GCF_000020885.1	GCF_000170215.1_contig_2_RGP_17	GCF_000170215.1
GCF_000020885.1_contig_1_RGP_22	GCF_000020885.1	GCF_000022165.1_contig_1_RGP_21	GCF_000022165.1
GCF_000020925.1_contig_1_RGP_13	GCF_000020925.1	GCF_000020925.1_contig_1_RGP_13	GCF_000020925.1
GCF_000020925.1_contig_1_RGP_13	GCF_000020925.1	GCF_000007545.1_contig_1_RGP_16	GCF_000007545.1
GCF_000171415.1_contig_58_RGP_0	GCF_000171415.1	GCF_000171415.1_contig_58_RGP_0	GCF_000171415.1
GCF_000171415.1_contig_58_RGP_0	GCF_000171415.1	GCF_000171515.1_contig_50_RGP_2	GCF_000171515.1
GCF_000020745.1_contig_1_RGP_10	GCF_000020745.1	GCF_000020745.1_contig_1_RGP_10	GCF_000020745.1
