#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000008.1:29557-31356|+   -            600 182107at2            -            492  6.8e-222  735.2   6.4   1   1  1.5e-222  7.7e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABEW01000008.1_29 # 29557 # 31356 # 1 # ID=56_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEW01000011.1:16172-17995|+   -            608 182107at2            -            492   4.7e-44  148.7   3.4   1   2   1.8e-41   9.4e-39  131.2   1.9     1   232     5   279     5   287 0.76 NZ_ABEW01000011.1_16 # 16172 # 17995 # 1 # ID=53_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEW01000011.1:16172-17995|+   -            608 182107at2            -            492   4.7e-44  148.7   3.4   2   2   1.1e-06    0.0006   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABEW01000011.1_16 # 16172 # 17995 # 1 # ID=53_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NZ_ABEW01000004.1:487788-489902|+ -            705 182107at2            -            492   8.9e-33  111.5   0.1   1   4   3.9e-24   2.1e-21   74.0   0.0     2   134    11   168    10   201 0.79 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 182107at2            -            492   8.9e-33  111.5   0.1   2   4      0.04        21    1.4   0.0   118   160   246   291   239   305 0.76 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 182107at2            -            492   8.9e-33  111.5   0.1   3   4   1.8e-09   9.2e-07   25.7   0.0   157   314   312   491   295   504 0.69 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000004.1:487788-489902|+ -            705 182107at2            -            492   8.9e-33  111.5   0.1   4   4     0.021        11    2.3   0.0   322   351   612   641   601   691 0.71 NZ_ABEW01000004.1_433 # 487788 # 489902 # 1 # ID=60_433;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NZ_ABEW01000002.1:110421-113099|+ -            893 182107at2            -            492   5.6e-26   89.0   0.6   1   2     2e-28   1.1e-25   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABEW01000002.1_106 # 110421 # 113099 # 1 # ID=62_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEW01000002.1:110421-113099|+ -            893 182107at2            -            492   5.6e-26   89.0   0.6   2   2       1.1   5.6e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABEW01000002.1_106 # 110421 # 113099 # 1 # ID=62_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABEW01000003.1:331383-332972|- -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   2.9e-21   1.5e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABEW01000003.1_289 # 331383 # 332972 # -1 # ID=61_289;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEW01000003.1:331383-332972|- -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2   5.7e-05      0.03   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABEW01000003.1_289 # 331383 # 332972 # -1 # ID=61_289;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
