"Gene","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"AJBGEP_01610",1,1,1,1,1,1,1,1,1
"AJBGEP_01620",1,1,1,1,1,1,1,1,1
"AJBGEP_01625",1,1,1,1,1,1,1,1,1
"AJBGEP_01630",1,1,1,1,1,1,1,1,1
"AJBGEP_01635",1,1,1,1,1,1,1,1,1
"AJBGEP_01640",1,1,1,1,1,1,1,1,1
"AJBGEP_01645",1,1,1,1,1,1,1,1,1
"AJBGEP_01650",1,1,1,1,1,1,1,1,1
"AJBGEP_01655",1,1,1,1,1,1,1,1,1
"AJBGEP_01660",1,1,1,1,1,1,1,1,1
"AJBGEP_01675",1,1,1,1,1,1,1,1,1
"AJBGEP_01680",1,1,1,1,1,1,1,1,1
"AJBGEP_01685",1,1,1,1,1,1,1,1,1
"AJBGEP_01690",1,1,1,1,1,1,1,1,1
"AJBGEP_01695",1,1,1,1,1,1,1,1,1
"AJBGEP_01705",1,1,1,1,1,1,1,1,1
"AJBGEP_01785",1,1,1,1,1,1,1,1,1
"AJBGEP_01795",1,1,1,1,1,1,1,1,1
"AJBGEP_01800",1,1,1,1,1,1,1,1,1
"AJBGEP_01805",1,1,1,1,1,1,1,1,1
"AJBGEP_01810",1,1,1,1,1,1,1,1,1
"AJBGEP_01815",1,1,1,1,1,1,1,1,1
"AJBGEP_01820",1,1,1,1,1,1,1,1,1
"AJBGEP_01825",1,1,1,1,1,1,1,1,1
"AJBGEP_01830",1,1,1,1,1,1,1,1,1
"AJBGEP_01835",1,1,1,1,1,1,1,1,1
"AJBGEP_01840",1,1,1,1,1,1,1,1,1
"AJBGEP_01845",1,1,1,1,1,1,1,1,1
"AJBGEP_01870",1,1,1,1,1,1,1,1,1
"AJBGEP_01875",1,1,1,1,1,1,1,1,1
"AJBGEP_01880",1,1,1,1,1,1,1,1,1
"AJBGEP_01885",1,1,1,1,1,1,1,1,1
"AJBGEP_01890",1,1,1,1,1,1,1,1,1
"AJBGEP_01895",1,1,1,1,1,1,1,1,1
"AJBGEP_01905",1,1,1,1,1,1,1,1,1
"AJBGEP_01910",1,1,1,1,1,1,1,1,1
"AJBGEP_01920",1,1,1,1,1,1,1,1,1
"AJBGEP_01925",1,1,1,1,1,1,1,1,1
"AJBGEP_01940",1,1,1,1,1,1,1,1,1
"AJBGEP_01945",1,1,1,1,1,1,1,1,1
"AJBGEP_01950",1,1,1,1,1,1,1,1,1
"AJBGEP_01955",1,1,1,1,1,1,1,1,1
"AJBGEP_01965",1,1,1,1,1,1,1,1,1
"AJBGEP_01970",1,1,1,1,1,1,1,1,1
"AJBGEP_01975",1,1,1,1,1,1,1,1,1
"AJBGEP_01980",1,1,1,1,1,1,1,1,1
"AJBGEP_01985",1,1,1,1,1,1,1,1,1
"AJBGEP_01990",1,1,1,1,1,1,1,1,1
"AJBGEP_01995",1,1,1,1,1,1,1,1,1
"AJBGEP_02000",1,1,1,1,1,1,1,1,1
"AJBGEP_02010",1,1,1,1,1,1,1,1,1
"AJBGEP_02015",1,1,1,1,1,1,1,1,1
"AJBGEP_02020",1,1,1,1,1,1,1,1,1
"AJBGEP_02025",1,1,1,1,1,1,1,1,1
"AJBGEP_02030",1,1,1,1,1,1,1,1,1
"AJBGEP_02035",1,1,1,1,1,1,1,1,1
"AJBGEP_02045",1,1,1,1,1,1,1,1,1
"AJBGEP_02050",1,1,1,1,1,1,1,1,1
"AJBGEP_02055",1,1,1,1,1,1,1,1,1
"AJBGEP_02060",1,1,1,1,1,1,1,1,1
"AJBGEP_02065",1,1,1,1,1,1,1,1,1
"AJBGEP_02075",1,1,1,1,1,1,1,1,1
"AJBGEP_02080",1,1,1,1,1,1,1,1,1
"AJBGEP_02085",1,1,1,1,1,1,1,1,1
"AJBGEP_02090",1,1,1,1,1,1,1,1,1
"AJBGEP_02095",1,1,1,1,1,1,1,1,1
"AJBGEP_02105",1,1,1,1,1,1,1,1,1
"AJBGEP_02110",1,1,1,1,1,1,1,1,1
"AJBGEP_03760",1,1,1,1,1,1,1,1,1
"AJBGEP_03765",1,1,1,1,1,1,1,1,1
"AJBGEP_03770",1,1,1,1,1,1,1,1,1
"AJBGEP_03780",1,1,1,1,1,1,1,1,1
"AJBGEP_03785",1,1,1,1,1,1,1,1,1
"AJBGEP_03790",1,1,1,1,1,1,1,1,1
"AJBGEP_03795",1,1,1,1,1,1,1,1,1
"AJBGEP_03805",1,1,1,1,1,1,1,1,1
"AJBGEP_03810",1,1,1,1,1,1,1,1,1
"AJBGEP_03815",1,1,1,1,1,1,1,1,1
"AJBGEP_03825",1,1,1,1,1,1,1,1,1
"AJBGEP_03830",1,1,1,1,1,1,1,1,1
"AJBGEP_03835",1,1,1,1,1,1,1,1,1
"AJBGEP_03845",1,1,1,1,1,1,1,1,1
"AJBGEP_03850",1,1,1,1,1,1,1,1,1
"AJBGEP_03855",1,1,1,1,1,1,1,1,1
"AJBGEP_03860",1,1,1,1,1,1,1,1,1
"AJBGEP_03865",1,1,1,1,1,1,1,1,1
"AJBGEP_03870",1,1,1,1,1,1,1,1,1
"AJBGEP_03875",1,1,1,1,1,1,1,1,1
"AJBGEP_03905",1,1,1,1,1,1,1,1,1
"AJBGEP_03910",1,1,1,1,1,1,1,1,1
"AJBGEP_03920",1,1,1,1,1,1,1,1,1
"AJBGEP_03925",1,1,1,1,1,1,1,1,1
"AJBGEP_03975",1,1,1,1,1,1,1,1,1
"AJBGEP_03985",1,1,1,1,1,1,1,1,1
