#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000020.1:9239-9700|-     -            154 1827295at2           -             74   8.5e-25   84.5   0.8   1   1   1.7e-26   3.9e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEL01000020.1_10 # 9239 # 9700 # -1 # ID=29_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
NZ_ABEL01000010.1:84115-86022|+   -            636 1827295at2           -             74   0.00025   18.9   0.1   1   2    0.0049       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABEL01000010.1_88 # 84115 # 86022 # 1 # ID=39_88;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABEL01000010.1:84115-86022|+   -            636 1827295at2           -             74   0.00025   18.9   0.1   2   2    0.0014      0.32    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABEL01000010.1_88 # 84115 # 86022 # 1 # ID=39_88;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.529
NZ_ABEL01000011.1:23329-24285|+   -            319 1827295at2           -             74   0.00048   18.0   0.1   1   2   5.7e-06    0.0013   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABEL01000011.1_23 # 23329 # 24285 # 1 # ID=38_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEL01000011.1:23329-24285|+   -            319 1827295at2           -             74   0.00048   18.0   0.1   2   2       6.6   1.5e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABEL01000011.1_23 # 23329 # 24285 # 1 # ID=38_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEL01000001.1:16606-19245|+   -            880 1827295at2           -             74   0.00062   17.7   0.1   1   2    0.0027      0.62    8.0   0.0    12    32   236   257   223   263 0.83 NZ_ABEL01000001.1_17 # 16606 # 19245 # 1 # ID=48_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABEL01000001.1:16606-19245|+   -            880 1827295at2           -             74   0.00062   17.7   0.1   2   2    0.0062       1.5    6.9   0.0     8    32   606   635   595   641 0.78 NZ_ABEL01000001.1_17 # 16606 # 19245 # 1 # ID=48_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.595
NZ_ABEL01000003.1:39176-39697|-   -            174 1827295at2           -             74   0.00071   17.5   0.0   1   1   6.4e-06    0.0015   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABEL01000003.1_39 # 39176 # 39697 # -1 # ID=46_39;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEL01000017.1:191-2764|-      -            858 1827295at2           -             74    0.0015   16.4   0.0   1   2    0.0057       1.3    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABEL01000017.1_1 # 191 # 2764 # -1 # ID=32_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEL01000017.1:191-2764|-      -            858 1827295at2           -             74    0.0015   16.4   0.0   2   2    0.0088       2.1    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABEL01000017.1_1 # 191 # 2764 # -1 # ID=32_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEL01000001.1:764621-765304|+ -            228 1827295at2           -             74    0.0023   15.8   0.1   1   1   1.9e-05    0.0043   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABEL01000001.1_731 # 764621 # 765304 # 1 # ID=48_731;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEL01000030.1:12706-14211|+   -            502 1827295at2           -             74    0.0026   15.7   0.4   1   2    0.0044         1    7.3   0.1     8    28    27    50    17    57 0.80 NZ_ABEL01000030.1_12 # 12706 # 14211 # 1 # ID=19_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABEL01000030.1:12706-14211|+   -            502 1827295at2           -             74    0.0026   15.7   0.4   2   2     0.012       2.9    5.9   0.0     9    31   279   301   269   307 0.80 NZ_ABEL01000030.1_12 # 12706 # 14211 # 1 # ID=19_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABEL01000001.1:722488-724764|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   1   2     0.021         5    5.1   0.0    12    31   211   230   197   237 0.82 NZ_ABEL01000001.1_699 # 722488 # 724764 # 1 # ID=48_699;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABEL01000001.1:722488-724764|+ -            759 1827295at2           -             74    0.0026   15.6   0.1   2   2    0.0033      0.76    7.8   0.1    10    33   490   513   473   517 0.85 NZ_ABEL01000001.1_699 # 722488 # 724764 # 1 # ID=48_699;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABEL01000001.1:626633-628369|- -            579 1827295at2           -             74    0.0031   15.4   0.7   1   2    0.0016      0.38    8.7   0.1    10    31    35    56    18    63 0.83 NZ_ABEL01000001.1_607 # 626633 # 628369 # -1 # ID=48_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
