"gene","contig","start","stop","strand","family","nb_copy_in_genome","partition","persistent_neighbors","shell_neighbors","cloud_neighbors","RGP","Spot","Module","Source_File"
"GEGEGB_00005","contig_1",169,255,"+","AJBGEP_00005",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00010","contig_1",337,2799,"+","AJBGEP_00010",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00015","contig_1",2801,3730,"+","AJBGEP_00015",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00020","contig_1",3734,5020,"+","AJBGEP_00020",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00025","contig_1",5114,5887,"-","AJBGEP_00025",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00030","contig_1",5966,7396,"-","AJBGEP_00030",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00035","contig_1",7665,8618,"+","AJBGEP_00035",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00040","contig_1",8729,9319,"+","AJBGEP_00040",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00045","contig_1",9376,9942,"-","AJBGEP_00045",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00050","contig_1",10092,10805,"-","AJBGEP_00050",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00055","contig_1",10841,11245,"-","AJBGEP_00055",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00060","contig_1",11594,13510,"+","AJBGEP_00060",1,"persistent",2,0,0,"","","","GCF_000007545.1.tsv"
"GEGEGB_00070","contig_1",13596,14735,"+","AJBGEP_00070",1,"persistent",2,0,1,"","","","GCF_000007545.1.tsv"
