#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:3184563-3186362|- -            600 182107at2            -            492  6.2e-222  735.2   6.4   1   1  1.6e-222  7.1e-220  728.5   6.4     1   491     4   594     4   595 0.89 NZ_ABAM02000001.1_2942 # 3184563 # 3186362 # -1 # ID=2_2942;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:4585155-4586978|+ -            608 182107at2            -            492   5.1e-44  148.4   3.4   1   2   2.4e-41     1e-38  130.9   1.9     1   231     5   278     5   286 0.76 NZ_ABAM02000001.1_4224 # 4585155 # 4586978 # 1 # ID=2_4224;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAM02000001.1:4585155-4586978|+ -            608 182107at2            -            492   5.1e-44  148.4   3.4   2   2   1.3e-06   0.00055   16.4   0.0   261   350   341   424   312   430 0.80 NZ_ABAM02000001.1_4224 # 4585155 # 4586978 # 1 # ID=2_4224;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABAM02000001.1:3972858-3974972|- -            705 182107at2            -            492   8.2e-33  111.5   0.1   1   4   4.4e-24   1.9e-21   74.0   0.0     2   134    11   168    10   201 0.79 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 182107at2            -            492   8.2e-33  111.5   0.1   2   4     0.045        19    1.4   0.0   118   160   246   291   239   305 0.76 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 182107at2            -            492   8.2e-33  111.5   0.1   3   4   1.9e-09   8.5e-07   25.7   0.0   157   314   312   491   295   504 0.69 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3972858-3974972|- -            705 182107at2            -            492   8.2e-33  111.5   0.1   4   4     0.024        10    2.3   0.0   322   351   612   641   601   691 0.71 NZ_ABAM02000001.1_3689 # 3972858 # 3974972 # -1 # ID=2_3689;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.516
NZ_ABAM02000001.1:3826959-3829637|- -            893 182107at2            -            492   5.2e-26   89.0   0.6   1   2   2.3e-28   9.8e-26   88.1   0.2     5   194   397   599   395   614 0.81 NZ_ABAM02000001.1_3533 # 3826959 # 3829637 # -1 # ID=2_3533;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABAM02000001.1:3826959-3829637|- -            893 182107at2            -            492   5.2e-26   89.0   0.6   2   2       1.2   5.2e+02   -3.3   0.0   175   201   811   837   776   840 0.77 NZ_ABAM02000001.1_3533 # 3826959 # 3829637 # -1 # ID=2_3533;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_ABAM02000001.1:457752-459341|+   -            530 182107at2            -            492   1.5e-23   80.9   0.5   1   2   3.2e-21   1.4e-18   64.5   0.0     2   128    14   162    13   171 0.82 NZ_ABAM02000001.1_409 # 457752 # 459341 # 1 # ID=2_409;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAM02000001.1:457752-459341|+   -            530 182107at2            -            492   1.5e-23   80.9   0.5   2   2   6.3e-05     0.027   10.8   0.1   220   312   372   469   202   483 0.70 NZ_ABAM02000001.1_409 # 457752 # 459341 # 1 # ID=2_409;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
