#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3912693-3913172|- -            160 1846503at2           -            110   7.2e-38  126.9   0.2   1   1   6.6e-39   6.1e-36  120.7   0.2     1   108     3   137     3   139 0.87 NC_004631.1_3784 # 3912693 # 3913172 # -1 # ID=1_3784;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NC_004631.1:4770527-4771759|+ -            411 1846503at2           -            110   4.2e-06   24.7   0.1   1   3     2e-07   0.00019   19.4   0.0     2    37    66   101    65   138 0.88 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:4770527-4771759|+ -            411 1846503at2           -            110   4.2e-06   24.7   0.1   2   3     0.042        39    2.3   0.0     8    31   283   306   276   315 0.87 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:4770527-4771759|+ -            411 1846503at2           -            110   4.2e-06   24.7   0.1   3   3       3.1   2.9e+03   -3.8   0.0    47    61   369   383   367   385 0.82 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:2288826-2289476|+ -            217 1846503at2           -            110   0.00076   17.4   0.0   1   2   3.3e-06    0.0031   15.5   0.0     2    28     8    34     7    44 0.81 NC_004631.1_2224 # 2288826 # 2289476 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.541
NC_004631.1:2288826-2289476|+ -            217 1846503at2           -            110   0.00076   17.4   0.0   2   2      0.47   4.3e+02   -1.1   0.0    88   105   172   189   164   193 0.84 NC_004631.1_2224 # 2288826 # 2289476 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.541
NC_004631.1:3205555-3206988|- -            478 1846503at2           -            110    0.0028   15.6   0.0   1   1   7.3e-06    0.0068   14.4   0.0     3    39   343   379   341   386 0.88 NC_004631.1_3110 # 3205555 # 3206988 # -1 # ID=1_3110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NC_004631.1:68633-69676|+     -            348 1846503at2           -            110     0.011   13.7   0.0   1   2   3.5e-05     0.033   12.2   0.0    10    49   158   203   152   219 0.83 NC_004631.1_60 # 68633 # 69676 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535
NC_004631.1:68633-69676|+     -            348 1846503at2           -            110     0.011   13.7   0.0   2   2       2.2     2e+03   -3.3   0.0    93   107   302   316   292   318 0.74 NC_004631.1_60 # 68633 # 69676 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm
# Target file:     /output/GCF_000007545.1_ASM754v1_genomic/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /output/GCF_000007545.1_ASM754v1_genomic/run_bacteria_odb10/hmmer_output/1846503at2.out --cpu 1 /busco_wd/busco_downloads/lineages/bacteria_odb10/hmms/1846503at2.hmm /output/GCF_000007545.1_ASM754v1_genomic/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /busco_wd
# Date:            Wed Feb 25 15:48:23 2026
# [ok]
