#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:532319-532780|- -            154 1827295at2           -             74     9e-25   84.5   0.8   1   1   1.8e-26   4.2e-24   82.4   0.8     6    74    17   111    12   111 0.82 NZ_ABEW01000003.1_486 # 532319 # 532780 # -1 # ID=61_486;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.532
NZ_ABEW01000012.1:16949-18856|+   -            636 1827295at2           -             74   0.00027   18.9   0.1   1   2    0.0052       1.2    7.2   0.0     9    31    30    52    19    56 0.79 NZ_ABEW01000012.1_15 # 16949 # 18856 # 1 # ID=52_15;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEW01000012.1:16949-18856|+   -            636 1827295at2           -             74   0.00027   18.9   0.1   2   2    0.0015      0.34    8.9   0.1     8    33   344   370   332   374 0.81 NZ_ABEW01000012.1_15 # 16949 # 18856 # 1 # ID=52_15;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEW01000003.1:359603-360559|+ -            319 1827295at2           -             74   0.00051   18.0   0.1   1   2     6e-06    0.0014   16.6   0.1    10    31     6    27     2    34 0.88 NZ_ABEW01000003.1_316 # 359603 # 360559 # 1 # ID=61_316;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABEW01000003.1:359603-360559|+ -            319 1827295at2           -             74   0.00051   18.0   0.1   2   2         7   1.6e+03   -2.8   0.0    27    45   171   187   145   199 0.67 NZ_ABEW01000003.1_316 # 359603 # 360559 # 1 # ID=61_316;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
NZ_ABEW01000005.1:16542-19205|+   -            888 1827295at2           -             74   0.00068   17.6   0.1   1   2    0.0028      0.67    8.0   0.0    12    32   236   257   223   263 0.83 NZ_ABEW01000005.1_17 # 16542 # 19205 # 1 # ID=59_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEW01000005.1:16542-19205|+   -            888 1827295at2           -             74   0.00068   17.6   0.1   2   2    0.0066       1.6    6.8   0.0     8    32   606   635   595   641 0.78 NZ_ABEW01000005.1_17 # 16542 # 19205 # 1 # ID=59_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_ABEW01000004.1:447455-447976|+ -            174 1827295at2           -             74   0.00075   17.5   0.0   1   1   6.7e-06    0.0016   16.4   0.0    10    33     6    29     1    33 0.88 NZ_ABEW01000004.1_392 # 447455 # 447976 # 1 # ID=60_392;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEW01000002.1:700022-702595|+ -            858 1827295at2           -             74    0.0016   16.4   0.0   1   2     0.006       1.4    7.0   0.0    12    36   203   228   189   230 0.82 NZ_ABEW01000002.1_658 # 700022 # 702595 # 1 # ID=62_658;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEW01000002.1:700022-702595|+ -            858 1827295at2           -             74    0.0016   16.4   0.0   2   2    0.0093       2.2    6.4   0.0    11    30   601   620   586   625 0.87 NZ_ABEW01000002.1_658 # 700022 # 702595 # 1 # ID=62_658;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABEW01000007.1:196907-197590|+ -            228 1827295at2           -             74    0.0025   15.8   0.1   1   1     2e-05    0.0046   14.9   0.1     9    35     6    32     1    54 0.87 NZ_ABEW01000007.1_180 # 196907 # 197590 # 1 # ID=57_180;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
