Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
gatY,gatY,tagatose bisphosphate family class II aldolase,9,9,1.0,1,6597,,,,855,855,855.0,AJBGEP_17170,HFCAGB_17435,BEJGEH_16405,GEGEGB_16710,ODDLKH_18470,LNHIMF_16535,ONMMKP_17925,IKCLMC_17990,PKJKAM_08890
gtrA,gtrA;,Bactoprenol-linked glucose translocase,9,9,1.0,1,6595,,,,363,363,363.0,AJBGEP_02910,HFCAGB_03225,2_refound_36,3_refound_54,ODDLKH_05245,5_refound_74,ONMMKP_07970,IKCLMC_11935,PKJKAM_15640
group_3110,aslA,Arylsulfatase A or related enzyme AlkP superfamily,9,9,1.0,1,6574,,,,1494,1494,1494.0,AJBGEP_00185,HFCAGB_00190,BEJGEH_00190,GEGEGB_00200,ODDLKH_02565,LNHIMF_00185,ONMMKP_10740,IKCLMC_15860,PKJKAM_10355
group_3109,;aslB,anaerobic sulfatase maturase,9,9,1.0,1,6573,,,,1191,1197,1191.6666666666667,AJBGEP_00190,HFCAGB_00195,BEJGEH_00195,GEGEGB_00205,ODDLKH_02570,LNHIMF_00190,ONMMKP_10735,IKCLMC_15855,PKJKAM_10350
tnp~~~iS285,;tnp;iS285,Mutator family transposase;IS256 family transposase;Transposase,9,13,1.4444444444444444,1,6557,,,,126,1209,626.7692307692307,AJBGEP_09770;AJBGEP_09765,HFCAGB_07090;HFCAGB_07085,BEJGEH_05990,GEGEGB_05410;GEGEGB_05415,ODDLKH_11755,LNHIMF_09655,ONMMKP_00885,IKCLMC_21500;IKCLMC_21495,PKJKAM_21580
insA,;insA,IS1 family transposase;Cytoplasmic protein;Transposase InsA,9,9,1.0,1,6554,,,,984,1257,1226.3333333333333,AJBGEP_00195,HFCAGB_00200,BEJGEH_00200,GEGEGB_00210,ODDLKH_02575,LNHIMF_00195,ONMMKP_10730,IKCLMC_15850,PKJKAM_10345
ratB,;ratB,Outer membrane protein;Putative outer membrane protein;Immunoglobulin-like domain BIg-containing protein;DUF823 DUF824 domains-containing protein;putative outer membrane protein,9,16,1.7777777777777777,1,6544,,,,90,7308,2770.5,AJBGEP_13445;AJBGEP_13450,HFCAGB_13965,BEJGEH_12730,GEGEGB_01875;GEGEGB_01885;GEGEGB_01880;GEGEGB_01870,ODDLKH_15115,LNHIMF_13265;LNHIMF_13260,ONMMKP_21650;ONMMKP_21655,IKCLMC_06330,PKJKAM_13770;PKJKAM_13775
ratA,;ratA,RatA-like protein;DUF823 DUF824 domains-containing protein;Outer membrane protein;Exported protein (RatA),9,10,1.1111111111111112,1,6543,,,,1692,6393,5087.1,AJBGEP_13455,HFCAGB_13970;HFCAGB_13975,BEJGEH_12735,GEGEGB_01865,ODDLKH_15120,LNHIMF_13270,ONMMKP_21645,IKCLMC_06325,PKJKAM_13765
sinI,;sinI,Outer membrane protein;SinI protein,9,9,1.0,1,6541,,,,960,972,963.6666666666666,AJBGEP_13460,HFCAGB_13980,BEJGEH_12740,GEGEGB_01860,ODDLKH_15125,LNHIMF_13275,ONMMKP_21640,IKCLMC_06320,PKJKAM_13760
group_3075,yicI,alpha-glucosidase,9,9,1.0,1,6530,,,,2037,2037,2037.0,AJBGEP_21145,HFCAGB_21365,BEJGEH_20390,GEGEGB_18985,ODDLKH_22395,LNHIMF_20365,ONMMKP_13855,IKCLMC_03310,PKJKAM_07340
waaB,waaB,lipopolysaccharide 16-galactosyltransferase,9,9,1.0,1,6528,,,,1080,1092,1090.6666666666667,AJBGEP_19580,HFCAGB_19860,BEJGEH_18830,GEGEGB_20085,ODDLKH_20880,LNHIMF_18815,ONMMKP_15595,IKCLMC_13315,PKJKAM_18220
thiF,thiF,Molybdopterin or thiamine biosynthesis adenylyltransferase;thiazole biosynthesis adenylyltransferase ThiF,9,9,1.0,1,6526,,,,759,759,759.0,AJBGEP_21870,HFCAGB_22110,BEJGEH_21110,GEGEGB_18270,ODDLKH_00100,LNHIMF_21050,ONMMKP_13145,IKCLMC_01205,PKJKAM_01070
sinH,sinH,intimin-like inverse autotransporter SinH,9,10,1.1111111111111112,1,6523,,,,252,2193,1967.7,AJBGEP_13465,HFCAGB_13985,BEJGEH_12745,GEGEGB_01855;GEGEGB_01850,ODDLKH_15130,LNHIMF_13280,ONMMKP_21635,IKCLMC_06315,PKJKAM_13755
group_3067,,Lipoprotein;DKNYY family protein;putative exported protein,9,16,1.7777777777777777,1,6519,,,,93,2013,436.3125,AJBGEP_20750;AJBGEP_20755,HFCAGB_20975;HFCAGB_20970,BEJGEH_19995;BEJGEH_20000,GEGEGB_17675,ODDLKH_22005;ODDLKH_22000,LNHIMF_19985,ONMMKP_14220;ONMMKP_14225,IKCLMC_02475;IKCLMC_02480,PKJKAM_07710;PKJKAM_07705
group_3063,shdA;,fibronectin-binding autotransporter adhesin ShdA;autotransporter-associated beta strand repeat-containing protein;autotransporter outer membrane beta-barrel domain-containing protein;AIDA autotransporter-like protein,9,11,1.2222222222222223,1,6514,,,,771,6228,4686.0,AJBGEP_13440,HFCAGB_13960;HFCAGB_13955,BEJGEH_12725,GEGEGB_01895;GEGEGB_01890,ODDLKH_15110,LNHIMF_13255,ONMMKP_21660,IKCLMC_06335,PKJKAM_13780
group_3061,,DUF3021 domain-containing protein,9,9,1.0,1,6512,,,,381,390,389.0,AJBGEP_20745,HFCAGB_20965,BEJGEH_19990,GEGEGB_17680,ODDLKH_21995,LNHIMF_19980,ONMMKP_14230,IKCLMC_02485,PKJKAM_07715
group_3058,,Inner membrane protein,9,9,1.0,1,6509,,,,165,165,165.0,AJBGEP_09740,HFCAGB_07115,BEJGEH_06060,GEGEGB_05445,ODDLKH_11730,LNHIMF_09625,ONMMKP_00910,IKCLMC_21555,PKJKAM_21635
group_3057,;xerD,Core-binding (CB) domain-containing protein;Site-specific recombinase XerD;Integrase;Tyrosine-type recombinase/integrase,9,11,1.2222222222222223,1,6508,,,,270,1080,640.6363636363636,AJBGEP_09840,HFCAGB_06735,BEJGEH_05980,GEGEGB_05370,ODDLKH_11825,LNHIMF_09735,ONMMKP_00800;ONMMKP_00805,IKCLMC_21420,PKJKAM_21490;PKJKAM_21495
yebB,yebB,YebB family permuted papain-like enzyme,9,9,1.0,1,6507,,,,597,600,599.0,AJBGEP_09980,HFCAGB_06600,BEJGEH_05845,GEGEGB_05235,ODDLKH_11960,LNHIMF_09870,ONMMKP_00665,IKCLMC_21265,PKJKAM_21350
yfeK,yfeK,Uncharacterized protein YfeK;YfeK,9,9,1.0,1,6492,,,,360,363,361.6666666666667,AJBGEP_13065,HFCAGB_13570,BEJGEH_12335,GEGEGB_02280,ODDLKH_14745,LNHIMF_12895,ONMMKP_22035,IKCLMC_06705,PKJKAM_14150
sadA,sadA;,trimeric autotransporter adhesin SadA;Autotransporter,9,9,1.0,1,6491,,,,3351,4419,4230.0,AJBGEP_19430,HFCAGB_19705,BEJGEH_18680,GEGEGB_20240,ODDLKH_20730,LNHIMF_18680,ONMMKP_15745,IKCLMC_13465,PKJKAM_18375
thiE,thiE,thiamine phosphate synthase,9,9,1.0,1,6486,,,,636,636,636.0,AJBGEP_21875,HFCAGB_22115,BEJGEH_21115,GEGEGB_18265,ODDLKH_00105,LNHIMF_21055,ONMMKP_13140,IKCLMC_01200,PKJKAM_01065
yihP,;yihP,MFS transporter;Putative 23-dihydroxypropane-1-sulfonate exporter,9,9,1.0,1,6477,,,,1383,1383,1383.0,AJBGEP_21140,HFCAGB_21360,BEJGEH_20385,GEGEGB_18990,ODDLKH_22390,LNHIMF_20360,ONMMKP_13860,IKCLMC_03305,PKJKAM_07345
sopF,sopF,type III secretion system effector SopF,9,9,1.0,1,6475,,,,1125,1125,1125.0,AJBGEP_06570,HFCAGB_10300,BEJGEH_09275,GEGEGB_05895,ODDLKH_08570,LNHIMF_06415,ONMMKP_04490,IKCLMC_04785,PKJKAM_02540
livJ,;livJ,Leu/Ile/Val/Thr-binding protein;branched chain amino acid ABC transporter substrate-binding protein LivJ,9,10,1.1111111111111112,1,6471,,,,435,1098,978.3,AJBGEP_18780,HFCAGB_19050,BEJGEH_18020,GEGEGB_20910;GEGEGB_20905,ODDLKH_20085,LNHIMF_18050,ONMMKP_16405,IKCLMC_14115,PKJKAM_19025
waaO,waaO,lipopolysaccharide 3-alpha-galactosyltransferase,9,9,1.0,1,6465,,,,1014,1023,1022.0,AJBGEP_19575,HFCAGB_19855,BEJGEH_18825,GEGEGB_20090,ODDLKH_20875,LNHIMF_18810,ONMMKP_15600,IKCLMC_13320,PKJKAM_18225
cas1e,cas1e,type I-E CRISPR-associated endonuclease Cas1e,9,9,1.0,1,6464,,,,918,921,920.0,AJBGEP_15520,HFCAGB_15755,BEJGEH_14685,GEGEGB_14905,ODDLKH_16830,LNHIMF_14880,ONMMKP_19675,IKCLMC_19640,PKJKAM_12205
thiH,thiH,2-iminoacetate synthase ThiH,9,9,1.0,1,6461,,,,1134,1134,1134.0,AJBGEP_21855,HFCAGB_22095,BEJGEH_21095,GEGEGB_18280,ODDLKH_00085,LNHIMF_21035,ONMMKP_13155,IKCLMC_01220,PKJKAM_01085
ybdN,ybdN,DUF3440 domain-containing protein,9,9,1.0,1,6459,,,,1236,1236,1236.0,AJBGEP_03140,HFCAGB_03470,BEJGEH_03065,GEGEGB_11930,ODDLKH_05475,LNHIMF_03740,ONMMKP_07765,IKCLMC_12130,PKJKAM_15410
lldP,lldP,L-lactate permease,9,9,1.0,1,6458,,,,1656,1656,1656.0,AJBGEP_19440,HFCAGB_19715,BEJGEH_18690,GEGEGB_20230,ODDLKH_20740,LNHIMF_18690,ONMMKP_15735,IKCLMC_13455,PKJKAM_18365
group_3021,,DUF4751 domain-containing protein,9,9,1.0,1,6457,,,,246,420,400.6666666666667,AJBGEP_00520,HFCAGB_00495,BEJGEH_00530,GEGEGB_00545,ODDLKH_02890,LNHIMF_00510,ONMMKP_10415,IKCLMC_15535,PKJKAM_10025
sopB,sopB,SPI-1 type III secretion system effector inositol phosphate phosphatase SopB,9,9,1.0,1,6448,,,,1686,1686,1686.0,AJBGEP_05450,HFCAGB_05700,BEJGEH_04980,GEGEGB_09660,ODDLKH_07480,LNHIMF_05625,ONMMKP_05250,IKCLMC_02935,PKJKAM_03280
group_3013,,Inverse autotransporter beta-domain domain-containing protein,9,9,1.0,1,6446,,,,1983,1983,1983.0,AJBGEP_08790,HFCAGB_08060,BEJGEH_07000,GEGEGB_08330,ODDLKH_10795,LNHIMF_08670,ONMMKP_01850,IKCLMC_22500,PKJKAM_22580
group_3012,tpx,Peroxiredoxin,9,9,1.0,1,6445,,,,519,519,519.0,AJBGEP_08780,HFCAGB_08070,BEJGEH_07010,GEGEGB_08320,ODDLKH_10785,LNHIMF_08660,ONMMKP_01860,IKCLMC_22510,PKJKAM_22590
sopA,;sopA,pentapeptide repeat-containing protein;E3 ubiquitin-protein ligase SopA;SPI-1 type III secretion system effector HECT-type E3 ubiquitin transferase SopA;type III secretion system effector SopA E3 ubiquitin ligase,9,13,1.4444444444444444,1,6442,,,,159,2349,1532.5384615384614,AJBGEP_11135,HFCAGB_11640,BEJGEH_10425,GEGEGB_04295;GEGEGB_04290;GEGEGB_04300,ODDLKH_12810,LNHIMF_10740,ONMMKP_23905;ONMMKP_23910,IKCLMC_09710;IKCLMC_09705,PKJKAM_20490
torS,torS,TMAO reductase system sensor histidine kinase/response regulator TorS,9,9,1.0,1,6438,,,,2736,2820,2745.3333333333335,AJBGEP_20135,HFCAGB_20405,BEJGEH_19415,GEGEGB_19490,ODDLKH_21430,LNHIMF_19410,ONMMKP_15065,IKCLMC_12810,PKJKAM_17685
group_3007,,STMF1-40 protein;Cytoplasmic protein;hypothetical protein,9,12,1.3333333333333333,1,6435,,,,123,450,288.75,AJBGEP_21845,HFCAGB_22085,BEJGEH_21085;BEJGEH_21080,GEGEGB_18290,ODDLKH_00075;ODDLKH_00080,LNHIMF_21030,ONMMKP_13165,IKCLMC_01230;IKCLMC_01225,PKJKAM_01095
group_3003,;fimA,type 1 fimbrial protein;Putative major fimbrial subunit;fimbrial major subunit SthE,9,10,1.1111111111111112,1,6431,,,,465,1086,981.0,AJBGEP_24045,HFCAGB_24155,BEJGEH_23475,GEGEGB_24455;GEGEGB_24460,ODDLKH_02340,LNHIMF_23285,ONMMKP_10955,IKCLMC_16085,PKJKAM_10585
group_3002,,Putative hydroxymethyltransferase;Chitinase;Hydroxymethyltransferase,9,10,1.1111111111111112,1,6429,,,,1092,2997,2693.1,AJBGEP_00100,HFCAGB_00105,BEJGEH_00105,GEGEGB_00100;GEGEGB_00105,ODDLKH_02480,LNHIMF_00100,ONMMKP_10815,IKCLMC_15945,PKJKAM_10440
group_2996,;ybhL,Integral membrane protein;Integral membrane protein YbhL putative Ca2+ regulator Bax inhibitor (BI-1)/TMBIM family,9,9,1.0,1,6423,,,,522,654,536.6666666666666,AJBGEP_04175,HFCAGB_04440,BEJGEH_04040,GEGEGB_10970,ODDLKH_06505,LNHIMF_04695,ONMMKP_06540,IKCLMC_07005,PKJKAM_05440
group_2995,,Cytoplasmic protein,9,9,1.0,1,6422,,,,912,912,912.0,AJBGEP_23600,HFCAGB_23685,BEJGEH_23090,GEGEGB_24050,ODDLKH_01895,LNHIMF_22890,ONMMKP_11360,IKCLMC_16550,PKJKAM_11025
group_2993,;rpnC,Transposase (putative) YhgA-like domain-containing protein;Recombination-promoting DNA endonuclease RpnC/YadD,9,10,1.1111111111111112,1,6419,,,,204,966,735.6,AJBGEP_23675,HFCAGB_23765;HFCAGB_23760,BEJGEH_23165,GEGEGB_24125,ODDLKH_01970,LNHIMF_22965,ONMMKP_11285,IKCLMC_16475,PKJKAM_10950
cbiN,cbiN,energy-coupling factor ABC transporter substrate-binding protein,9,9,1.0,1,6414,,,,282,294,283.3333333333333,AJBGEP_10910,HFCAGB_11415,BEJGEH_10200,GEGEGB_04535,ODDLKH_12585,LNHIMF_10515,ONMMKP_24140,IKCLMC_09940,PKJKAM_20715
ysdA,ysdA,DUF1294 domain-containing protein,9,9,1.0,1,6412,,,,345,345,345.0,AJBGEP_08595,HFCAGB_08265,BEJGEH_07205,GEGEGB_08095,ODDLKH_10600,LNHIMF_08465,ONMMKP_02050,IKCLMC_22700,PKJKAM_22780
pagD,pagD,Virulence protein PagD;virulence protein PagD,9,9,1.0,1,6411,,,,264,264,264.0,AJBGEP_06600,HFCAGB_10270,BEJGEH_09235,GEGEGB_05935,ODDLKH_08600,LNHIMF_06460,ONMMKP_04460,IKCLMC_04815,PKJKAM_02510
