"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"Cytoplasmic protein",NA,200,"GEGEGB_00210","SO:0001217, UniParc:UPI0000059987, UniRef:UniRef100_Q8Z9N7, UniRef:UniRef50_Q8Z9N7, UniRef:UniRef90_Q8Z9N7"
"Inner membrane protein",NA,154,"GEGEGB_02495","RefSeq:WP_000639889.1, SO:0001217, UniParc:UPI0000059B14, UniRef:UniRef100_A0A8E6XFM3, UniRef:UniRef50_S5MSM4, UniRef:UniRef90_S5MSM4"
"DNA-binding transcriptional regulator, LysR family","lysR",139,"GEGEGB_00075","COG:COG0583, COG:K, RefSeq:WP_000534904.1, SO:0001217, UniParc:UPI000005996F, UniRef:UniRef100_A0A725VGS1, UniRef:UniRef50_A0A7H4N821, UniRef:UniRef90_A0A6C8WAW6"
"hypothetical protein",NA,123,"GEGEGB_01440","PFAM:PF00126.31, SO:0001217, UniRef:UniRef50_R4Y9R8"
"putative arabinose efflux permease AraJ, MFS family","araJ",99,"GEGEGB_01385","COG:COG2814, COG:G, RefSeq:WP_000807800.1, SO:0001217, UniParc:UPI0000059A58, UniRef:UniRef100_A0A725VJ50, UniRef:UniRef50_A0A085G5U1, UniRef:UniRef90_A0A0K0HDI9"
"Sugar phosphate permease","uhpC",87,"GEGEGB_00420","COG:COG2271, COG:G, RefSeq:WP_001136168.1, SO:0001217, UniParc:UPI00000599B0, UniRef:UniRef100_A0A725FXR8, UniRef:UniRef50_P31679, UniRef:UniRef90_A9MQG9"
"Lipoprotein",NA,58,"GEGEGB_05990","RefSeq:WP_000182479.1, SO:0001217, UniParc:UPI0000059D7E, UniRef:UniRef100_A0A8E6XG59, UniRef:UniRef50_U2ZTS6, UniRef:UniRef90_A0A6C8XU30"
"AraC-type DNA-binding domain and AraC-containing proteins","araC",54,"GEGEGB_08340","COG:COG2207, COG:K, KEGG:K05804, SO:0001217, UniParc:UPI0000059F0F, UniRef:UniRef100_A0A725VMQ4, UniRef:UniRef50_A9MQ68, UniRef:UniRef90_A9MQ68"
"Periplasmic protein",NA,46,"GEGEGB_06115","RefSeq:WP_000487129.1, SO:0001217, UniParc:UPI0000059D94, UniRef:UniRef100_A0A1S0ZK53, UniRef:UniRef50_A0A3Z5DAC2, UniRef:UniRef90_A0A3Z5DAC2"
"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family","glpR",45,"GEGEGB_00900","COG:COG1349, COG:KG, RefSeq:WP_000678254.1, SO:0001217, UniParc:UPI0000059A08, UniRef:UniRef100_A0A5H6JCF2, UniRef:UniRef50_A0A0H3CK74, UniRef:UniRef90_A0A6C8GUI3"
"DNA-binding transcriptional regulator, GntR family","gntR",45,"GEGEGB_03155","COG:COG1802, COG:K, RefSeq:WP_000944713.1, SO:0001217, UniParc:UPI000190EF8D, UniRef:UniRef100_A0A725G778, UniRef:UniRef50_A0A655EM41, UniRef:UniRef90_A0A655EM41"
"Sugar or nucleoside kinase, ribokinase family","rbsK",45,"GEGEGB_03805","COG:COG0524, COG:G, RefSeq:WP_001012656.1, SO:0001217, UniParc:UPI0000059C01, UniRef:UniRef100_A0A8E7D108, UniRef:UniRef50_P76419, UniRef:UniRef90_A0A379URW9"
"Anaerobic selenocysteine-containing dehydrogenase","bisC",42,"GEGEGB_07485","COG:C, COG:COG0243, RefSeq:WP_001117601.1, SO:0001217, UniParc:UPI0000059E85, UniRef:UniRef100_A0A8G1FD98, UniRef:UniRef50_P77374, UniRef:UniRef90_A0A379SW56"
